,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Philadelphia,18,2000,28,25,1706,19,3,1,3,0,0,3,0,0.16,0.05,0.21,0.16,0.21,3.9,3.9,2.1,6,0.2,0.11,0.32,0.2,0.32,Matches,5bc43860
2,Saad Abdul-Salaam,us USA,DF,Seattle,27,1991,18,11,1067,11.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.01,0.07,0.08,0.01,0.08,Matches,4705543b
3,Lalas Abubakar,gh GHA,DF,Colorado Rapids,24,1994,22,22,1980,22,0,0,0,0,0,7,0,0,0,0,0,0,1.3,1.3,0.1,1.4,0.06,0,0.06,0.06,0.06,Matches,4a67f05b
4,Lalas Abubakar,gh GHA,DF,Columbus Crew,24,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0,0.19,0.19,0.19,Matches,4a67f05b
5,David Accam,gh GHA,FW,Philadelphia,28,1990,8,4,338,3.8,4,2,4,0,0,0,0,1.07,0.53,1.6,1.07,1.6,2.1,2.1,0.2,2.3,0.56,0.05,0.62,0.56,0.62,Matches,f5220ece
6,David Accam,gh GHA,FWMF,Columbus Crew,28,1990,15,8,667,7.4,2,1,2,0,0,1,0,0.27,0.13,0.4,0.27,0.4,1.2,1.2,1,2.2,0.16,0.13,0.3,0.16,0.3,Matches,f5220ece
7,Bryan Acosta,hn HON,MF,FC Dallas,25,1993,26,23,2073,23,2,1,2,0,0,12,0,0.09,0.04,0.13,0.09,0.13,2,2,2.2,4.2,0.09,0.09,0.18,0.09,0.18,Matches,c5f400f4
8,Danilo Acosta,hn HON,DF,Orlando City,21,1997,8,8,667,7.4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,41f720a5
9,Kellyn Acosta,us USA,MF,Colorado Rapids,23,1995,31,30,2615,29.1,2,1,2,0,0,10,1,0.07,0.03,0.1,0.07,0.1,1.5,1.5,2.3,3.9,0.05,0.08,0.13,0.05,0.13,Matches,ece10cfe
10,Luciano Acosta,ar ARG,MFFW,D.C. United,24,1994,31,22,2122,23.6,6,1,6,0,0,0,1,0.25,0.04,0.3,0.25,0.3,4.3,4.3,2.8,7.2,0.18,0.12,0.3,0.18,0.3,Matches,363ba6d7
11,Mo Adams,eng ENG,DFMF,Atlanta Utd,22,1996,4,1,93,1,1,0,1,0,0,1,0,0.97,0,0.97,0.97,0.97,0.1,0.1,0.1,0.3,0.13,0.12,0.25,0.13,0.25,Matches,00362ef7
12,Mo Adams,eng ENG,MF,Chicago Fire,22,1996,10,5,487,5.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0.4,0.01,0.08,0.09,0.01,0.09,Matches,00362ef7
13,Fanendo Adi,ng NGA,FW,FC Cincinnati,28,1990,12,7,700,7.8,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,3,3,0.1,3,0.38,0.01,0.39,0.38,0.39,Matches,ae2dd50a
14,Ali Adnan Kadhim,iq IRQ,DF,Vancouver,25,1993,28,28,2410,26.8,1,3,1,0,1,6,0,0.04,0.11,0.15,0.04,0.15,2.4,1.7,1.9,3.6,0.09,0.07,0.16,0.06,0.14,Matches,06050480
15,François Affolter,ch SUI,DF,San Jose,27,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3bab978e
16,Harrison Afful,gh GHA,DF,Columbus Crew,32,1986,22,22,1903,21.1,0,2,0,0,0,3,1,0,0.09,0.09,0,0.09,0.7,0.7,1.5,2.2,0.03,0.07,0.11,0.03,0.11,Matches,7d8ede09
17,Juan Agudelo,us USA,MFFW,New England,26,1992,28,21,1954,21.7,3,1,3,0,0,7,0,0.14,0.05,0.18,0.14,0.18,4.2,3.6,2.3,5.9,0.19,0.1,0.3,0.17,0.27,Matches,0cb2115f
