,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
18,Tesho Akindele,ca CAN,FW,Orlando City,26,1992,28,22,1875,20.8,10,1,10,0,0,1,0,0.48,0.05,0.53,0.48,0.53,8.9,8.9,1.7,10.6,0.43,0.08,0.51,0.43,0.51,Matches,897304e5
19,Ayo Akinola,ca CAN,FWMF,Toronto FC,19,2000,8,2,257,2.9,1,0,1,0,0,1,0,0.35,0,0.35,0.35,0.35,1.4,1.4,0.1,1.5,0.47,0.03,0.51,0.47,0.51,Matches,214d2406
20,Fatai Alashe,us USA,MFDF,FC Cincinnati,25,1993,11,4,438,4.9,1,0,1,0,0,2,0,0.21,0,0.21,0.21,0.21,0.5,0.5,0,0.5,0.1,0,0.1,0.1,0.1,Matches,eb67fa0a
21,Nazmi Albadawi,ps PLE,MF,FC Cincinnati,27,1991,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dfa41593
22,Romain Alessandrini,fr FRA,FW,LA Galaxy,29,1989,5,5,277,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.3,0.9,0.17,0.1,0.28,0.17,0.28,Matches,7a7610d2
23,Eric Alexander,us USA,MFFW,FC Cincinnati,30,1988,6,4,313,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,0,0,0.3,0.3,0,0.08,0.08,0,0.08,Matches,717d12ec
24,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,33,1985,27,27,2365,26.3,2,0,2,0,0,4,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.8,1.3,0.02,0.03,0.05,0.02,0.05,Matches,8449bfda
25,Jozy Altidore,us USA,FW,Toronto FC,29,1989,22,18,1688,18.8,11,5,11,0,0,4,0,0.59,0.27,0.85,0.59,0.85,8.9,8.9,2.8,11.7,0.47,0.15,0.62,0.47,0.62,Matches,8db8ad1e
26,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,16,2002,14,4,523,5.8,0,3,0,0,0,2,1,0,0.52,0.52,0,0.52,0.6,0.6,0.9,1.5,0.09,0.16,0.26,0.09,0.26,Matches,3cd08ab7
27,Fabio Álvarez,ar ARG,MFFW,LA Galaxy,26,1993,18,16,1260,14,3,4,3,0,0,5,0,0.21,0.29,0.5,0.21,0.5,2.6,2.6,2.1,4.7,0.18,0.15,0.34,0.18,0.34,Matches,2aae3ff2
28,Quincy Amarikwa,us USA,FWMF,D.C. United,31,1987,23,3,429,4.8,1,0,1,0,0,3,0,0.21,0,0.21,0.21,0.21,1.3,1.3,0.5,1.8,0.27,0.11,0.38,0.27,0.38,Matches,6a9e4cc0
29,Frankie Amaya,us USA,MF,FC Cincinnati,18,2000,19,15,1238,13.8,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,1.5,2.1,0.05,0.11,0.15,0.05,0.15,Matches,2e8bd00c
30,Mikey Ambrose,us USA,DF,Atlanta Utd,25,1993,4,3,266,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches,f649d6aa
31,Michael Amir Murillo,pa PAN,DF,NY Red Bulls,22,1996,22,18,1696,18.8,1,3,1,0,0,6,1,0.05,0.16,0.21,0.05,0.21,0.4,0.4,1.9,2.4,0.02,0.1,0.13,0.02,0.13,Matches,349cae8f
32,Sebastian Anderson,us USA,DFFW,Colorado Rapids,16,2002,6,5,314,3.5,1,0,1,0,0,1,1,0.29,0,0.29,0.29,0.29,0,0,0.1,0.2,0.01,0.04,0.04,0.01,0.04,Matches,3a9911ce
33,Jalil Anibaba,us USA,DF,New England,30,1988,22,19,1764,19.6,1,0,1,0,0,4,1,0.05,0,0.05,0.05,0.05,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches,e44593b0
34,Uriel Antuna,mx MEX,FWMF,LA Galaxy,21,1997,31,29,2413,26.8,6,5,6,0,0,1,0,0.22,0.19,0.41,0.22,0.41,8.9,8.9,4.3,13.3,0.33,0.16,0.49,0.33,0.49,Matches,a35f5848
35,Pablo Aránguiz,cl CHI,MFFW,FC Dallas,21,1997,11,7,561,6.2,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.5,0.18,0.05,0.23,0.18,0.23,Matches,a14cf2e4
36,Julian Araujo,mx MEX,DFFW,LA Galaxy,17,2001,18,10,895,9.9,0,1,0,0,0,3,0,0,0.1,0.1,0,0.1,0.5,0.5,0.5,1.1,0.06,0.05,0.11,0.06,0.11,Matches,8f4541c2
37,Joaquín Ardaiz,uy URU,FW,Vancouver,20,1999,16,3,415,4.6,0,0,0,0,0,1,0,0,0,0,0,0,1.7,1.7,0.1,1.7,0.36,0.01,0.38,0.36,0.38,Matches,eb823875
38,Luis Argudo,us USA,FWMF,Columbus Crew,23,1995,21,10,1065,11.8,1,3,1,0,0,1,0,0.08,0.25,0.34,0.08,0.34,1.8,1.8,1.2,3,0.15,0.1,0.25,0.15,0.25,Matches,71e5d21d
39,Xavier Arreaga,ec ECU,DF,Seattle,24,1994,14,12,1119,12.4,0,0,0,0,0,5,2,0,0,0,0,0,0.1,0.1,0,0.2,0.01,0,0.01,0.01,0.01,Matches,7f2b7640
40,Luis Arriaga,us USA,MFDF,Real Salt Lake,18,2001,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,50e2ffdf
41,Paul Arriola,us USA,FWMF,D.C. United,23,1995,29,28,2425,26.9,6,2,6,0,0,6,1,0.22,0.07,0.3,0.22,0.3,5.9,5.9,3.4,9.3,0.22,0.13,0.35,0.22,0.35,Matches,1bb2acce
42,Artur,br BRA,MF,Columbus Crew,22,1996,30,28,2450,27.2,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.02,0.02,0.03,0.02,0.03,Matches,ea6803c7
43,Carlos Ascues,pe PER,MFDF,Orlando City,26,1992,17,14,1111,12.3,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,0.9,2.2,0.11,0.07,0.18,0.11,0.18,Matches,38851eb2
44,Dairon Asprilla,co COL,FWMF,Portland Timbers,26,1992,13,7,564,6.3,2,0,1,1,1,1,1,0.32,0,0.32,0.16,0.16,3.3,2.6,0.5,3.1,0.53,0.08,0.61,0.41,0.49,Matches,218d336c
45,Jeff Attinella,us USA,GK,Portland Timbers,30,1988,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4277b946
46,Francis Atuahene,gh GHA,FW,FC Dallas,22,1996,1,0,27,0.3,1,0,1,0,0,0,0,3.33,0,3.33,3.33,3.33,0.1,0.1,0,0.1,0.3,0,0.3,0.3,0.3,Matches,34d8cfd4
47,Eduard Atuesta,co COL,MF,Los Angeles FC,21,1997,30,30,2631,29.2,3,8,3,0,0,8,0,0.1,0.27,0.38,0.1,0.38,2.6,2.6,4.7,7.3,0.09,0.16,0.25,0.09,0.25,Matches,60990b81
48,Auro,br BRA,DF,Toronto FC,23,1996,23,22,1883,20.9,0,3,0,0,0,0,0,0,0.14,0.14,0,0.14,0.2,0.2,3,3.3,0.01,0.15,0.16,0.01,0.16,Matches,b234cb0e
49,Micheal Azira,ug UGA,MF,Chicago Fire,31,1987,4,2,218,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.12,0.05,0.17,0.12,0.17,Matches,87c0db23
50,Micheal Azira,ug UGA,MF,Montreal Impact,31,1987,19,16,1444,16,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0.6,0.6,0.7,1.3,0.04,0.04,0.08,0.04,0.08,Matches,87c0db23
51,Dominique Badji,sn SEN,FW,FC Dallas,26,1992,28,24,2029,22.5,6,3,6,0,0,6,0,0.27,0.13,0.4,0.27,0.4,7.5,7.5,2.1,9.7,0.33,0.09,0.43,0.33,0.43,Matches,758ac389
52,Theo Bair,ca CAN,FWMF,Vancouver,19,1999,17,10,822,9.1,2,2,2,0,0,1,0,0.22,0.22,0.44,0.22,0.44,1.8,1.8,0.7,2.5,0.2,0.07,0.27,0.2,0.27,Matches,c724745e
53,Corey Baird,us USA,FWMF,Real Salt Lake,23,1996,31,23,2098,23.3,5,3,5,0,0,6,0,0.21,0.13,0.34,0.21,0.34,3.5,3.5,1.9,5.4,0.15,0.08,0.23,0.15,0.23,Matches,2d0d1442
54,Lass Bangoura,gn GUI,FWMF,Vancouver,26,1992,17,7,634,7,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.3,0.3,0.8,1,0.04,0.11,0.15,0.04,0.15,Matches,740f39d4
55,Botond Baráth,hu HUN,DF,Sporting KC,26,1992,21,20,1748,19.4,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,1.1,1.1,0.4,1.5,0.06,0.02,0.08,0.06,0.08,Matches,40011a79
56,Ezequiel Barco,ar ARG,FWMF,Atlanta Utd,19,1999,15,11,975,10.8,4,2,4,0,0,1,0,0.37,0.18,0.55,0.37,0.55,3.3,3.3,2.5,5.8,0.3,0.23,0.53,0.3,0.53,Matches,7fa737c4
57,Tom Barlow,us USA,FW,NY Red Bulls,23,1995,12,8,602,6.7,3,0,3,0,0,0,0,0.45,0,0.45,0.45,0.45,3.2,3.2,0.4,3.6,0.49,0.06,0.54,0.49,0.54,Matches,da4821de
58,Michael Barrios,co COL,FW,FC Dallas,27,1991,32,31,2724,30.3,5,13,5,0,0,6,0,0.17,0.43,0.59,0.17,0.59,5.3,5.3,10.8,16.1,0.17,0.36,0.53,0.17,0.53,Matches,df782c79
59,Cole Bassett,us USA,MF,Colorado Rapids,17,2001,20,14,1059,11.8,2,1,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,1.9,1.9,0.9,2.8,0.16,0.07,0.23,0.16,0.23,Matches,2c8da8a1
60,Clement Bayiha,ca CAN,FWMF,Montreal Impact,19,1999,11,4,473,5.3,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,0.2,0.2,0.5,0.7,0.03,0.1,0.13,0.03,0.13,Matches,ca9f2034
61,DaMarcus Beasley,us USA,DF,Houston Dynamo,36,1982,12,12,1030,11.4,0,2,0,0,0,0,0,0,0.17,0.17,0,0.17,0.1,0.1,0.8,0.9,0.01,0.07,0.08,0.01,0.08,Matches,e4d6e7d9
62,Kyle Beckerman,us USA,MF,Real Salt Lake,36,1982,25,24,2127,23.6,0,4,0,0,0,9,0,0,0.17,0.17,0,0.17,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches,3485cb96
63,Alejandro Bedoya,us USA,MF,Philadelphia,31,1987,32,32,2833,31.5,4,3,4,0,0,6,0,0.13,0.1,0.22,0.13,0.22,2.1,2.1,3.1,5.2,0.07,0.1,0.17,0.07,0.17,Matches,9a6f8dfd
64,Dan Bedoya,co COL,FW,NYCFC,24,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,14828662
65,Steven Beitashour,ir IRN,DF,Los Angeles FC,31,1987,25,24,1875,20.8,1,2,1,0,0,3,0,0.05,0.1,0.14,0.05,0.14,1.1,1.1,1.6,2.8,0.05,0.08,0.13,0.05,0.13,Matches,64f1680a
66,Joe Bendik,us USA,GK,Columbus Crew,29,1989,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c3e50b67
67,Nicolas Benezet,fr FRA,FWMF,Toronto FC,27,1991,8,5,438,4.9,2,0,2,0,0,2,0,0.41,0,0.41,0.41,0.41,2.2,2.2,0.2,2.4,0.45,0.04,0.5,0.45,0.5,Matches,30395d3b
68,Leonardo Bertone,ch SUI,MF,FC Cincinnati,24,1994,25,22,2056,22.8,1,1,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.5,2.5,0.04,0.07,0.11,0.04,0.11,Matches,2e06f387
69,Matt Besler,us USA,DF,Sporting KC,31,1987,27,25,2112,23.5,0,0,0,0,0,4,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0,0.02,0.02,0,0.02,Matches,8393a973
70,Nick Besler,us USA,MF,Real Salt Lake,25,1993,17,7,734,8.2,1,1,1,0,0,4,0,0.12,0.12,0.25,0.12,0.25,0.9,0.9,0.7,1.6,0.11,0.08,0.19,0.11,0.19,Matches,cc9fa1a8
71,Vincent Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,8,7,449,5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.06,0.07,0.13,0.06,0.13,Matches,06545d47
72,David Bingham,us USA,GK,LA Galaxy,29,1989,33,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,7fd42a85
73,Steve Birnbaum,us USA,DF,D.C. United,28,1991,34,34,3031,33.7,1,0,1,0,0,5,0,0.03,0,0.03,0.03,0.03,2,2,0.5,2.5,0.06,0.01,0.07,0.06,0.07,Matches,26637ac8
74,José Bizama,cl CHI,DF,Houston Dynamo,24,1994,5,4,354,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,fbcb25ab
75,Tristan Blackmon,us USA,DF,Los Angeles FC,22,1996,18,15,1378,15.3,1,4,1,0,0,3,0,0.07,0.26,0.33,0.07,0.33,0.7,0.7,1.7,2.4,0.05,0.11,0.16,0.05,0.16,Matches,7f35d14e
76,Andre Blake,jm JAM,GK,Philadelphia,28,1990,26,26,2303,25.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b3b21a11
77,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,30,1988,30,28,2507,27.9,6,10,6,0,0,8,0,0.22,0.36,0.57,0.22,0.57,6.6,6.6,9.5,16.2,0.24,0.34,0.58,0.24,0.58,Matches,4ddd0834
78,Latif Blessing,gh GHA,MFDF,Los Angeles FC,22,1996,34,29,2691,29.9,6,3,6,0,0,7,0,0.2,0.1,0.3,0.2,0.3,6.1,6.1,5.9,12,0.2,0.2,0.4,0.2,0.4,Matches,5153d32e
79,Johan Blomberg,se SWE,MFFW,Colorado Rapids,31,1987,3,1,88,1,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,b1794e60
80,Emmanuel Boateng,gh GHA,FWMF,LA Galaxy,25,1994,21,7,887,9.9,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,1.8,1.8,1.8,3.6,0.18,0.19,0.36,0.18,0.36,Matches,25f77a5f
81,Emmanuel Boateng,gh GHA,FWMF,D.C. United,25,1994,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,25f77a5f
82,Corben Bone,us USA,MFFW,FC Cincinnati,30,1988,6,2,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.24,0.24,0,0.24,Matches,5c98c6ce
83,Alex Bono,us USA,GK,Toronto FC,24,1994,7,6,556,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aa28a396
84,Jonathan Bornstein,us USA,DF,Chicago Fire,34,1984,11,11,911,10.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.02,0.02,0.01,0.02,Matches,79a6c95f
85,Gustavo Bou,ar ARG,FWMF,New England,28,1990,14,13,1152,12.8,9,1,9,0,0,1,0,0.7,0.08,0.78,0.7,0.78,4.1,4.1,1.2,5.3,0.32,0.09,0.41,0.32,0.41,Matches,3dfcc735
86,Michael Boxall,nz NZL,DF,Minnesota Utd,30,1988,29,29,2576,28.6,2,0,2,0,0,3,0,0.07,0,0.07,0.07,0.07,1.3,1.3,0.4,1.6,0.04,0.01,0.06,0.04,0.06,Matches,6bfa0d3a
87,Terrence Boyd,us USA,FWMF,Toronto FC,27,1991,11,3,345,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.1,0,0.1,0.1,0.1,Matches,6e282452
88,Michael Bradley,us USA,MF,Toronto FC,31,1987,27,26,2373,26.4,3,1,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,2.3,2.3,1.2,3.5,0.09,0.04,0.13,0.09,0.13,Matches,fd5e3a73
89,Zachary Brault-Guillard,ca CAN,DF,Montreal Impact,20,1998,13,9,874,9.7,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,0.6,0.6,1.5,2.1,0.06,0.15,0.21,0.06,0.21,Matches,948a58c2
90,Bressan,br BRA,DF,FC Dallas,26,1993,18,12,1120,12.4,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.3,0.3,0.5,0.8,0.03,0.04,0.07,0.03,0.07,Matches,3db1684c
91,Shaft Brewer,us USA,DF,Los Angeles FC,19,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,7fac343b
92,Frédéric Brillant,fr FRA,DF,D.C. United,33,1985,34,33,2959,32.9,2,1,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09,2.9,2.9,0.6,3.5,0.09,0.02,0.11,0.09,0.11,Matches,5b14180f
93,Brandt Bronico,us USA,MFDF,Chicago Fire,23,1995,29,20,1866,20.7,1,2,1,0,0,2,0,0.05,0.1,0.14,0.05,0.14,0.6,0.6,1.9,2.6,0.03,0.09,0.12,0.03,0.12,Matches,bd4460b1
94,Omar Browne,pa PAN,FWMF,Montreal Impact,24,1994,10,5,564,6.3,2,1,2,0,0,1,0,0.32,0.16,0.48,0.32,0.48,1.3,1.3,1.1,2.4,0.2,0.18,0.38,0.2,0.38,Matches,7d47ee38
95,Will Bruin,us USA,FW,Seattle,29,1989,9,4,429,4.8,2,1,2,0,0,1,0,0.42,0.21,0.63,0.42,0.63,1.5,1.5,0,1.5,0.3,0.01,0.31,0.3,0.31,Matches,87a6ac29
96,Tajon Buchanan,ca CAN,MF,New England,19,1999,10,4,392,4.4,0,2,0,0,0,0,0,0,0.46,0.46,0,0.46,0.8,0.8,1.3,2.1,0.19,0.29,0.47,0.19,0.47,Matches,3aca6420
97,Rece Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.02,0.06,0.07,0.02,0.07,Matches,6e0d9f17
98,Teal Bunbury,us USA,FWMF,New England,28,1990,32,25,2189,24.3,6,2,6,0,0,2,0,0.25,0.08,0.33,0.25,0.33,6.5,6.5,1.6,8.1,0.27,0.07,0.33,0.27,0.33,Matches,3077fce8
99,Cory Burke,jm JAM,FW,Philadelphia,27,1991,7,5,490,5.4,2,0,2,0,0,2,0,0.37,0,0.37,0.37,0.37,1.8,1.1,0.3,1.5,0.32,0.06,0.39,0.2,0.27,Matches,39fde61c
100,Evan Bush,us USA,GK,Montreal Impact,32,1986,32,32,2880,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69a57596
101,Gianluca Busio,us USA,MF,Sporting KC,16,2002,22,10,928,10.3,3,1,3,0,0,1,0,0.29,0.1,0.39,0.29,0.39,4.2,4,0.7,4.7,0.41,0.07,0.48,0.39,0.46,Matches,4a0b7f07
102,Handwalla Bwana,so SOM,FWMF,Seattle,21,1997,15,6,572,6.4,1,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,0.8,0.8,1.3,2.1,0.13,0.2,0.33,0.13,0.33,Matches,b56080ee
103,Brandon Bye,us USA,DF,New England,23,1995,30,30,2655,29.5,2,2,2,0,0,6,1,0.07,0.07,0.14,0.07,0.14,1.6,1.6,2.7,4.2,0.05,0.09,0.14,0.05,0.14,Matches,9fcd12af
104,Víctor Cabrera,ar ARG,DF,Montreal Impact,25,1993,16,13,1180,13.1,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0,0.03,0.02,0.03,Matches,2332941c
105,Luís Caicedo,co COL,MF,New England,22,1996,31,27,2354,26.2,0,0,-1,1,1,5,0,0,0,0,-0.04,-0.04,1.5,0.7,1,1.7,0.06,0.04,0.09,0.03,0.06,Matches,008ddeb9
106,Scott Caldwell,us USA,MF,New England,27,1991,20,12,1082,12,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matches,4a54592d
107,Alexander Callens,pe PER,DF,NYCFC,26,1992,24,24,2160,24,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.03,0.01,0.04,0.03,0.04,Matches,af34f10d
108,Eric Calvillo,sv SLV,MFDF,San Jose,21,1998,2,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f984f68b
109,Francisco Calvo,cr CRC,DF,Chicago Fire,26,1992,23,21,1936,21.5,3,1,3,0,0,4,0,0.14,0.05,0.19,0.14,0.19,2.7,2.7,1.3,4,0.13,0.06,0.18,0.13,0.18,Matches,706bd23f
110,Francisco Calvo,cr CRC,DF,Minnesota Utd,26,1992,7,7,629,7,1,0,1,0,0,4,1,0.14,0,0.14,0.14,0.14,0.8,0.8,0.2,1.1,0.12,0.03,0.15,0.12,0.15,Matches,706bd23f
111,Rudy Camacho,fr FRA,DF,Montreal Impact,27,1991,17,16,1463,16.3,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,1.1,1.1,0.3,1.4,0.07,0.02,0.08,0.07,0.08,Matches,6ad16d47
112,Jonathan Campbell,us USA,DF,Seattle,25,1993,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,868a8f30
113,Diego Campos,cr CRC,DF,Chicago Fire,23,1995,10,5,440,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.05,0.06,0,0.06,Matches,fcfb671e
114,Reggie Cannon,us USA,DF,FC Dallas,20,1998,28,26,2268,25.2,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,1.6,2.2,0.02,0.06,0.09,0.02,0.09,Matches,ad9ffc7e
115,Russell Canouse,us USA,MFDF,D.C. United,23,1995,26,25,2146,23.8,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0.5,0.3,0.9,0.02,0.01,0.04,0.02,0.04,Matches,ec730d9a
116,Andrew Carleton,us USA,MFFW,Atlanta Utd,18,2000,3,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,53b90314
117,Servando Carrasco,us USA,MF,LA Galaxy,30,1988,16,3,396,4.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04,Matches,8e5cbc2b
