,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
453,2017-03-12,Sun,MLS,Regular Season,Away,W 6–1,Atlanta Utd,Minnesota Utd,Y,GK,90,7,1,6,100.0,0,1,1,0,0,Match Report,4a8af93c,W,2017,False
454,2017-03-18,Sat,MLS,Regular Season,Home,W 4–0,Atlanta Utd,Chicago Fire,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,4a8af93c,W,2017,False
455,2017-03-31,Fri,MLS,Regular Season,Away,D 0–0,Atlanta Utd,Seattle,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,4a8af93c,D,2017,False
456,2017-04-08,Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Toronto FC,Y,GK,90,9,2,7,77.8,0,0,0,0,0,Match Report,4a8af93c,D,2017,False
457,2017-04-15,Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Montreal Impact,Y,GK,90,5,2,3,80.0,0,1,1,0,0,Match Report,4a8af93c,L,2017,False
458,2017-04-22,Sat,MLS,Regular Season,Away,W 3–1,Atlanta Utd,Real Salt Lake,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,4a8af93c,W,2017,False
459,2017-04-30,Sun,MLS,Regular Season,Home,L 1–3,Atlanta Utd,D.C. United,Y,GK,90,7,3,4,57.1,0,0,0,0,0,Match Report,4a8af93c,L,2017,False
460,2017-05-07,Sun,MLS,Regular Season,Away,L 1–3,Atlanta Utd,NYCFC,Y,GK,90,11,3,5,72.7,0,0,0,0,0,Match Report,4a8af93c,L,2017,False
461,2017-05-14,Sun,MLS,Regular Season,Away,D 1–1,Atlanta Utd,Portland Timbers,Y,GK,90,4,1,4,75.0,0,0,0,0,0,Match Report,4a8af93c,D,2017,False
462,2017-05-20,Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Houston Dynamo,Y,GK,90,5,1,4,100.0,0,1,1,0,0,Match Report,4a8af93c,W,2017,False
463,2017-05-28,Sun,MLS,Regular Season,Home,W 3–1,Atlanta Utd,NYCFC,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,4a8af93c,W,2017,False
464,2017-06-03,Sat,MLS,Regular Season,Away,L 1–3,Atlanta Utd,Vancouver,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report,4a8af93c,L,2017,False
465,2017-06-10,Sat,MLS,Regular Season,Away,L 0–2,Atlanta Utd,Chicago Fire,Y,GK,90,6,2,4,83.3,0,1,1,0,0,Match Report,4a8af93c,L,2017,False
466,2017-06-17,Sat,MLS,Regular Season,Home,W 3–1,Atlanta Utd,Columbus Crew,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,4a8af93c,W,2017,False
467,2017-06-21,Wed,MLS,Regular Season,Away,L 1–2,Atlanta Utd,D.C. United,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,4a8af93c,L,2017,False
468,2017-06-24,Sat,MLS,Regular Season,Home,W 1–0,Atlanta Utd,Colorado Rapids,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,4a8af93c,W,2017,False
469,2017-07-01,Sat,MLS,Regular Season,Away,W 2–0,Atlanta Utd,Columbus Crew,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,4a8af93c,W,2017,False
470,2017-06-03,Sat,MLS,Regular Season,Away,D 0–0,LA Galaxy,D.C. United,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report,063adc5e,D,2017,False
471,2017-08-23,Wed,MLS,Regular Season,Away,L 0–2,LA Galaxy,Columbus Crew,Y,GK,90,7,2,5,71.4,0,1,0,1,0,Match Report,063adc5e,L,2017,False
472,2017-08-27,Sun,MLS,Regular Season,Home,L 0–3,LA Galaxy,San Jose,Y,GK,90,11,3,8,72.7,0,0,0,0,0,Match Report,063adc5e,L,2017,False
473,2017-09-02,Sat,MLS,Regular Season,Home,W 3–0,LA Galaxy,Colorado Rapids,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,063adc5e,W,2017,False
474,2017-09-10,Sun,MLS,Regular Season,Away,D 1–1,LA Galaxy,Seattle,Y,GK,29,1,0,1,100.0,0,0,0,0,0,Match Report,063adc5e,D,2017,False
475,2017-09-16,Sat,MLS,Regular Season,Home,L 0–4,LA Galaxy,Toronto FC,Y,GK,90,8,4,4,50.0,0,0,0,0,0,Match Report,063adc5e,L,2017,False
476,2017-09-20,Wed,MLS,Regular Season,Away,L 0–4,LA Galaxy,Atlanta Utd,Y,GK,90,5,4,1,20.0,0,0,0,0,0,Match Report,063adc5e,L,2017,False
477,2017-05-31,Wed,MLS,Regular Season,Away,D 2–2,New England,NYCFC,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,9903a3cb,D,2017,False
478,2017-07-22,Sat,MLS,Regular Season,Home,W 4–3,New England,LA Galaxy,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report,9903a3cb,W,2017,False
479,2017-09-16,Sat,MLS,Regular Season,Away,L 1–3,New England,Sporting KC,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report,9903a3cb,L,2017,False
480,2017-09-30,Sat,MLS,Regular Season,Home,D 0–0,New England,Atlanta Utd,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,9903a3cb,D,2017,False
481,2017-10-15,Sun,MLS,Regular Season,Home,W 2–1,New England,NYCFC,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,9903a3cb,W,2017,False
482,2017-10-22,Sun,MLS,Regular Season,Away,W 3–2,New England,Montreal Impact,Y,GK,90,9,2,7,88.9,0,1,1,0,0,Match Report,9903a3cb,W,2017,False
483,2017-05-06,Sat,MLS,Regular Season,Away,D 2–2,Chicago Fire,LA Galaxy,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report,44a7dc84,D,2017,False
484,2017-05-13,Sat,MLS,Regular Season,Home,W 4–1,Chicago Fire,Seattle,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,44a7dc84,W,2017,False
485,2017-05-17,Wed,MLS,Regular Season,Home,W 3–0,Chicago Fire,Colorado Rapids,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
486,2017-05-20,Sat,MLS,Regular Season,Away,W 1–0,Chicago Fire,D.C. United,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
487,2017-05-25,Thu,MLS,Regular Season,Home,W 2–1,Chicago Fire,FC Dallas,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report,44a7dc84,W,2017,False
488,2017-06-04,Sun,MLS,Regular Season,Away,D 0–0,Chicago Fire,Orlando City,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,44a7dc84,D,2017,False
489,2017-06-10,Sat,MLS,Regular Season,Home,W 2–0,Chicago Fire,Atlanta Utd,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
490,2017-06-17,Sat,MLS,Regular Season,Away,W 2–1,Chicago Fire,New England,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,44a7dc84,W,2017,False
491,2017-06-24,Sat,MLS,Regular Season,Home,W 4–0,Chicago Fire,Orlando City,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
492,2017-07-01,Sat,MLS,Regular Season,Home,W 4–0,Chicago Fire,Vancouver,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
493,2017-07-05,Wed,MLS,Regular Season,Away,D 2–2,Chicago Fire,Portland Timbers,Y,GK,90,9,2,7,88.9,0,1,1,0,0,Match Report,44a7dc84,D,2017,False
494,2017-07-22,Sat,MLS,Regular Season,Away,L 1–2,Chicago Fire,NYCFC,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
495,2017-07-29,Sat,MLS,Regular Season,Away,L 2–3,Chicago Fire,Sporting KC,Y,GK,90,9,3,6,66.7,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
496,2017-08-05,Sat,MLS,Regular Season,Home,W 4–1,Chicago Fire,New England,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,44a7dc84,W,2017,False
497,2017-08-12,Sat,MLS,Regular Season,Away,L 1–3,Chicago Fire,Columbus Crew,Y,GK,90,4,3,1,50.0,0,1,1,0,0,Match Report,44a7dc84,L,2017,False
498,2017-08-16,Wed,MLS,Regular Season,Away,L 0–3,Chicago Fire,Montreal Impact,Y,GK,90,5,3,2,60.0,0,1,1,0,0,Match Report,44a7dc84,L,2017,False
499,2017-08-19,Sat,MLS,Regular Season,Home,L 1–3,Chicago Fire,Toronto FC,Y,GK,90,9,3,5,66.7,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
500,2017-08-26,Sat,MLS,Regular Season,Home,L 1–2,Chicago Fire,Minnesota Utd,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
501,2017-09-02,Sat,MLS,Regular Season,Away,W 1–0,Chicago Fire,Montreal Impact,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
502,2017-09-09,Sat,MLS,Regular Season,Home,D 1–1,Chicago Fire,NY Red Bulls,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,44a7dc84,D,2017,False
503,2017-09-16,Sat,MLS,Regular Season,Home,W 3–0,Chicago Fire,D.C. United,Y,GK,90,5,0,4,100.0,1,0,0,0,0,Match Report,44a7dc84,W,2017,False
504,2017-09-23,Sat,MLS,Regular Season,Away,L 1–3,Chicago Fire,Philadelphia,Y,GK,90,6,3,2,50.0,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
505,2017-09-30,Sat,MLS,Regular Season,Home,D 1–1,Chicago Fire,NYCFC,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,44a7dc84,D,2017,False
506,2017-10-15,Sun,MLS,Regular Season,Home,W 3–2,Chicago Fire,Philadelphia,Y,GK,90,2,2,1,0.0,0,0,0,0,0,Match Report,44a7dc84,W,2017,False
507,2017-10-25,Wed,MLS,Knockout round,Home,L 0–4,Chicago Fire,NY Red Bulls,Y,GK,90,6,4,2,33.3,0,0,0,0,0,Match Report,44a7dc84,L,2017,False
508,2017-03-04,Sat,MLS,Regular Season,Home,W 1–0,Colorado Rapids,New England,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,06caac45,W,2017,False
509,2017-04-15,Sat,MLS,Regular Season,Home,L 1–2,Colorado Rapids,Real Salt Lake,Y*,GK,90,3,2,1,66.7,0,1,1,0,0,Match Report,06caac45,L,2017,False
510,2017-04-23,Sun,MLS,Regular Season,Away,L 0–1,Colorado Rapids,Minnesota Utd,Y*,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,06caac45,L,2017,False
511,2017-04-29,Sat,MLS,Regular Season,Away,L 0–2,Colorado Rapids,Orlando City,Y*,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report,06caac45,L,2017,False
512,2017-06-03,Sat,MLS,Regular Season,Home,W 2–1,Colorado Rapids,Columbus Crew,Y*,GK,90,5,1,3,80.0,0,0,0,0,0,Match Report,06caac45,W,2017,False
513,2017-07-22,Sat,MLS,Regular Season,Away,D 1–1,Colorado Rapids,Toronto FC,Y*,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,06caac45,D,2017,False
514,2017-07-29,Sat,MLS,Regular Season,Away,L 0–1,Colorado Rapids,San Jose,Y*,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,06caac45,L,2017,False
515,2017-09-02,Sat,MLS,Regular Season,Away,L 0–3,Colorado Rapids,LA Galaxy,Y*,GK,90,6,3,3,66.7,0,1,1,0,0,Match Report,06caac45,L,2017,False
516,2017-10-07,Sat,MLS,Regular Season,Home,D 1–1,Colorado Rapids,FC Dallas,Y*,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report,06caac45,D,2017,False
517,2017-08-12,Sat,MLS,Regular Season,Away,L 0–1,Vancouver,New England,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,581cfcab,L,2017,False
518,2017-08-26,Sat,MLS,Regular Season,Away,W 2–1,Vancouver,Orlando City,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,581cfcab,W,2017,False
519,2017-09-30,Sat,MLS,Regular Season,Away,W 1–0,Vancouver,Sporting KC,Y,GK,90,7,0,7,100.0,1,1,0,0,1,Match Report,581cfcab,W,2017,False
520,2017-10-15,Sun,MLS,Regular Season,Home,D 1–1,Vancouver,San Jose,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,581cfcab,D,2017,False
521,2017-10-22,Sun,MLS,Regular Season,Away,L 1–2,Vancouver,Portland Timbers,Y,GK,90,7,2,4,71.4,0,0,0,0,0,Match Report,581cfcab,L,2017,False
522,2017-10-25,Wed,MLS,Knockout round,Home,W 5–0,Vancouver,San Jose,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report,581cfcab,W,2017,False
523,2017-10-29,Sun,MLS,Conference Semifinals,Home,D 0–0,Vancouver,Seattle,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,581cfcab,D,2017,False
524,2017-11-02,Thu,MLS,Conference Semifinals,Away,L 0–2,Vancouver,Seattle,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report,581cfcab,L,2017,False
525,2017-07-06,Thu,MLS,Regular Season,Away,D 1–1,Philadelphia,Sporting KC,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report,249362e9,D,2017,False
526,2017-07-19,Wed,MLS,Regular Season,Away,L 1–2,Philadelphia,Montreal Impact,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,249362e9,L,2017,False
527,2017-07-22,Sat,MLS,Regular Season,Away,L 0–1,Philadelphia,Columbus Crew,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,249362e9,L,2017,False
528,2017-07-26,Wed,MLS,Regular Season,Home,W 3–0,Philadelphia,Columbus Crew,Y,GK,90,2,0,1,100.0,1,0,0,0,0,Match Report,249362e9,W,2017,False
529,2017-07-29,Sat,MLS,Regular Season,Away,L 0–3,Philadelphia,New England,Y,GK,90,7,3,3,57.1,0,0,0,0,0,Match Report,249362e9,L,2017,False
530,2017-08-05,Sat,MLS,Regular Season,Home,W 3–1,Philadelphia,FC Dallas,Y,GK,90,10,1,9,90.0,0,0,0,0,0,Match Report,249362e9,W,2017,False
531,2017-08-12,Sat,MLS,Regular Season,Home,L 0–3,Philadelphia,Montreal Impact,Y,GK,90,7,3,4,71.4,0,1,1,0,0,Match Report,249362e9,L,2017,False
532,2017-08-19,Sat,MLS,Regular Season,Away,D 2–2,Philadelphia,San Jose,Y,GK,90,6,2,4,83.3,0,1,1,0,0,Match Report,249362e9,D,2017,False
533,2017-03-04,Sat,MLS,Regular Season,Away,D 0–0,Sporting KC,D.C. United,Y,GK,90,6,0,5,100.0,1,1,0,1,0,Match Report,cc741f50,D,2017,False
534,2017-03-11,Sat,MLS,Regular Season,Home,D 0–0,Sporting KC,FC Dallas,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report,cc741f50,D,2017,False
535,2017-03-18,Sat,MLS,Regular Season,Home,W 2–1,Sporting KC,San Jose,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,cc741f50,W,2017,False
536,2017-03-31,Fri,MLS,Regular Season,Away,D 0–0,Sporting KC,Toronto FC,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,cc741f50,D,2017,False
537,2017-04-09,Sun,MLS,Regular Season,Home,W 3–1,Sporting KC,Colorado Rapids,Y,GK,90,3,1,2,100.0,0,1,1,0,0,Match Report,cc741f50,W,2017,False
538,2017-04-15,Sat,MLS,Regular Season,Away,W 1–0,Sporting KC,Portland Timbers,Y,GK,90,4,0,3,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
539,2017-04-22,Sat,MLS,Regular Season,Away,L 0–1,Sporting KC,FC Dallas,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,cc741f50,L,2017,False
540,2017-04-29,Sat,MLS,Regular Season,Home,W 3–0,Sporting KC,Real Salt Lake,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
541,2017-05-03,Wed,MLS,Regular Season,Home,W 2–0,Sporting KC,NY Red Bulls,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
542,2017-05-07,Sun,MLS,Regular Season,Away,L 0–2,Sporting KC,Minnesota Utd,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,cc741f50,L,2017,False
543,2017-05-13,Sat,MLS,Regular Season,Away,D 2–2,Sporting KC,Orlando City,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,cc741f50,D,2017,False
544,2017-05-17,Wed,MLS,Regular Season,Home,W 3–0,Sporting KC,Seattle,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
545,2017-05-20,Sat,MLS,Regular Season,Away,L 0–2,Sporting KC,Vancouver,Y,GK,90,7,2,5,71.4,0,1,0,1,0,Match Report,cc741f50,L,2017,False
546,2017-05-27,Sat,MLS,Regular Season,Away,L 0–1,Sporting KC,Colorado Rapids,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,cc741f50,L,2017,False
547,2017-06-03,Sat,MLS,Regular Season,Home,W 3–0,Sporting KC,Minnesota Utd,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
548,2017-06-10,Sat,MLS,Regular Season,Home,D 1–1,Sporting KC,Montreal Impact,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report,cc741f50,D,2017,False
549,2017-06-17,Sat,MLS,Regular Season,Away,D 0–0,Sporting KC,San Jose,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,cc741f50,D,2017,False
550,2017-06-24,Sat,MLS,Regular Season,Away,W 2–1,Sporting KC,LA Galaxy,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,cc741f50,W,2017,False
551,2017-07-01,Sat,MLS,Regular Season,Home,D 1–1,Sporting KC,Portland Timbers,Y,GK,90,3,1,2,66.7,0,1,0,1,0,Match Report,cc741f50,D,2017,False
552,2017-07-06,Thu,MLS,Regular Season,Home,D 1–1,Sporting KC,Philadelphia,Y,GK,90,2,1,1,100.0,0,1,1,0,0,Match Report,cc741f50,D,2017,False
553,2017-07-22,Sat,MLS,Regular Season,Away,D 1–1,Sporting KC,Real Salt Lake,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,cc741f50,D,2017,False
554,2017-07-29,Sat,MLS,Regular Season,Home,W 3–2,Sporting KC,Chicago Fire,Y,GK,90,3,2,2,33.3,0,0,0,0,0,Match Report,cc741f50,W,2017,False
555,2017-08-06,Sun,MLS,Regular Season,Home,D 1–1,Sporting KC,Atlanta Utd,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,cc741f50,D,2017,False
556,2017-08-12,Sat,MLS,Regular Season,Away,L 0–1,Sporting KC,Seattle,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,cc741f50,L,2017,False
557,2017-08-19,Sat,MLS,Regular Season,Home,W 2–0,Sporting KC,FC Dallas,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,cc741f50,W,2017,False
558,2017-09-06,Wed,MLS,Regular Season,Away,L 0–1,Sporting KC,NYCFC,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,cc741f50,L,2017,False
559,2017-09-10,Sun,MLS,Regular Season,Away,D 1–1,Sporting KC,Columbus Crew,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,cc741f50,D,2017,False
560,2017-09-16,Sat,MLS,Regular Season,Home,W 3–1,Sporting KC,New England,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,cc741f50,W,2017,False
561,2017-09-24,Sun,MLS,Regular Season,Home,W 2–1,Sporting KC,LA Galaxy,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,cc741f50,W,2017,False
562,2017-09-30,Sat,MLS,Regular Season,Home,L 0–1,Sporting KC,Vancouver,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,cc741f50,L,2017,False
563,2017-10-07,Sat,MLS,Regular Season,Away,D 1–1,Sporting KC,Minnesota Utd,Y,GK,58,2,0,2,100.0,0,0,0,0,0,Match Report,cc741f50,D,2017,False
564,2017-07-19,Wed,MLS,Regular Season,Home,W 4–3,Seattle,D.C. United,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report,7827a6b3,W,2017,False
565,2017-11-21,Tue,MLS,Conference Finals,Away,W 2–0,Seattle,Houston Dynamo,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,7827a6b3,W,2017,False
566,2017-03-05,Sun,MLS,Regular Season,Home,D 0–0,Vancouver,Philadelphia,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report,28269907,D,2017,False
567,2017-03-11,Sat,MLS,Regular Season,Away,L 2–3,Vancouver,San Jose,Y,GK,22,0,0,0,,0,0,0,0,0,Match Report,28269907,L,2017,False
568,2017-04-01,Sat,MLS,Regular Season,Home,W 4–2,Vancouver,LA Galaxy,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report,28269907,W,2017,False
569,2017-04-08,Sat,MLS,Regular Season,Away,L 0–3,Vancouver,Real Salt Lake,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report,28269907,L,2017,False
570,2017-04-14,Fri,MLS,Regular Season,Home,W 2–1,Vancouver,Seattle,Y,GK,90,7,1,5,85.7,0,0,0,0,0,Match Report,28269907,W,2017,False
571,2017-04-22,Sat,MLS,Regular Season,Away,L 1–2,Vancouver,Portland Timbers,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report,28269907,L,2017,False
572,2017-04-29,Sat,MLS,Regular Season,Away,W 2–1,Vancouver,Montreal Impact,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,28269907,W,2017,False
573,2017-05-05,Fri,MLS,Regular Season,Away,W 1–0,Vancouver,Colorado Rapids,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,28269907,W,2017,False
574,2017-05-12,Fri,MLS,Regular Season,Away,L 1–2,Vancouver,Houston Dynamo,Y,GK,90,4,2,2,75.0,0,1,1,0,0,Match Report,28269907,L,2017,False
575,2017-05-20,Sat,MLS,Regular Season,Home,W 2–0,Vancouver,Sporting KC,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,28269907,W,2017,False
576,2017-05-27,Sat,MLS,Regular Season,Home,L 0–1,Vancouver,D.C. United,Y,GK,90,4,1,3,100.0,0,1,1,0,0,Match Report,28269907,L,2017,False
577,2017-06-03,Sat,MLS,Regular Season,Home,W 3–1,Vancouver,Atlanta Utd,Y,GK,90,3,1,1,66.7,0,0,0,0,0,Match Report,28269907,W,2017,False
578,2017-06-17,Sat,MLS,Regular Season,Home,D 1–1,Vancouver,FC Dallas,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,28269907,D,2017,False
579,2017-06-24,Sat,MLS,Regular Season,Away,D 2–2,Vancouver,Minnesota Utd,Y*,GK,90,7,2,6,71.4,0,0,0,0,0,Match Report,28269907,D,2017,False
580,2017-07-01,Sat,MLS,Regular Season,Away,L 0–4,Vancouver,Chicago Fire,Y*,GK,90,12,4,7,66.7,0,0,0,0,0,Match Report,28269907,L,2017,False
581,2017-07-05,Wed,MLS,Regular Season,Home,W 3–2,Vancouver,NYCFC,Y,GK,90,5,2,3,80.0,0,1,1,0,0,Match Report,28269907,W,2017,False
582,2017-07-19,Wed,MLS,Regular Season,Away,W 1–0,Vancouver,LA Galaxy,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report,28269907,W,2017,False
583,2017-07-23,Sun,MLS,Regular Season,Home,L 1–2,Vancouver,Portland Timbers,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report,28269907,L,2017,False
584,2017-07-29,Sat,MLS,Regular Season,Away,W 4–0,Vancouver,FC Dallas,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,28269907,W,2017,False
585,2017-08-05,Sat,MLS,Regular Season,Away,D 2–2,Vancouver,Colorado Rapids,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,28269907,D,2017,False
586,2017-08-19,Sat,MLS,Regular Season,Home,W 2–1,Vancouver,Houston Dynamo,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,28269907,W,2017,False
587,2017-08-23,Wed,MLS,Regular Season,Home,D 1–1,Vancouver,Seattle,Y,GK,90,8,1,7,100.0,0,1,1,0,0,Match Report,28269907,D,2017,False
588,2017-09-09,Sat,MLS,Regular Season,Home,W 3–2,Vancouver,Real Salt Lake,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report,28269907,W,2017,False
589,2017-09-13,Wed,MLS,Regular Season,Home,W 3–0,Vancouver,Minnesota Utd,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,28269907,W,2017,False
590,2017-09-16,Sat,MLS,Regular Season,Home,D 2–2,Vancouver,Columbus Crew,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report,28269907,D,2017,False
591,2017-09-23,Sat,MLS,Regular Season,Home,W 2–1,Vancouver,Colorado Rapids,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,28269907,W,2017,False
592,2017-09-27,Wed,MLS,Regular Season,Away,L 0–3,Vancouver,Seattle,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report,28269907,L,2017,False
593,2017-10-07,Sat,MLS,Regular Season,Away,L 0–3,Vancouver,NY Red Bulls,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report,28269907,L,2017,False
594,2017-07-04,Tue,MLS,Regular Season,Home,W 4–2,Atlanta Utd,San Jose,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,ce84320f,W,2017,False
595,2017-10-03,Tue,MLS,Regular Season,Home,L 2–3,Atlanta Utd,Minnesota Utd,Y,GK,59,1,1,0,0.0,0,0,0,0,0,Match Report,ce84320f,L,2017,False
596,2017-03-18,Sat,MLS,Regular Season,Home,L 0–2,Vancouver,Toronto FC,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report,d9178ea2,L,2017,False
597,2017-03-04,Sat,MLS,Regular Season,Home,D 0–0,Real Salt Lake,Toronto FC,Y,GK,90,3,0,3,100.0,1,1,0,1,0,Match Report,cf975d73,D,2017,False
598,2017-03-11,Sat,MLS,Regular Season,Away,L 0–2,Real Salt Lake,Chicago Fire,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,cf975d73,L,2017,False
599,2017-03-18,Sat,MLS,Regular Season,Home,L 1–2,Real Salt Lake,LA Galaxy,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,cf975d73,L,2017,False
600,2017-04-01,Sat,MLS,Regular Season,Away,L 2–4,Real Salt Lake,Minnesota Utd,Y,GK,90,9,4,5,55.6,0,0,0,0,0,Match Report,cf975d73,L,2017,False
601,2017-04-08,Sat,MLS,Regular Season,Home,W 3–0,Real Salt Lake,Vancouver,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,cf975d73,W,2017,False
602,2017-04-15,Sat,MLS,Regular Season,Away,W 2–1,Real Salt Lake,Colorado Rapids,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,cf975d73,W,2017,False
