,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
12,2019-07-03,Wed,MLS,Regular Season,Away,L 0–1,Columbus Crew,Real Salt Lake,Y,GK,90,2,1,1,50.0,0,0.7,0,0,0,0,4,11,36.4,14,4,35.7,33.9,8,75.0,63.6,3,1,33.3,1,17.5,Match Report,c3e50b67,L,2019,True
13,2019-07-06,Sat,MLS,Regular Season,Home,L 1–2,Columbus Crew,Seattle,Y,GK,90,3,2,2,66.7,0,2.0,1,1,0,0,4,14,28.6,12,2,41.7,43.6,11,81.8,72.8,7,1,14.3,0,9.3,Match Report,c3e50b67,L,2019,True
14,2019-07-13,Sat,MLS,Regular Season,Away,L 0–1,Columbus Crew,Orlando City,Y,GK,90,1,1,0,0.0,0,0.7,0,0,0,0,4,8,50.0,15,2,53.3,45.3,4,0.0,24.0,5,1,20.0,0,8.2,Match Report,c3e50b67,L,2019,True
15,2019-07-17,Wed,MLS,Regular Season,Away,D 2–2,Columbus Crew,Chicago Fire,Y,GK,90,6,2,3,66.7,0,1.2,0,0,0,0,3,8,37.5,19,6,31.6,37.6,10,20.0,32.2,12,0,0.0,0,15.3,Match Report,c3e50b67,D,2019,True
16,2019-03-02,Sat,MLS,Regular Season,Home,W 2–1,LA Galaxy,Chicago Fire,Y,GK,90,5,1,4,80.0,0,1.5,0,0,0,0,9,15,60.0,18,5,44.4,38.1,13,53.8,47.1,12,0,0.0,0,11.9,Match Report,7fd42a85,W,2019,True
17,2019-03-09,Sat,MLS,Regular Season,Away,L 0–2,LA Galaxy,FC Dallas,Y,GK,90,3,2,2,66.7,0,1.5,1,1,0,0,4,13,30.8,16,6,43.8,38.9,7,85.7,70.3,2,0,0.0,1,15.0,Match Report,7fd42a85,L,2019,True
18,2019-03-16,Sat,MLS,Regular Season,Home,W 3–2,LA Galaxy,Minnesota Utd,Y,GK,90,4,2,2,50.0,0,1.2,0,0,0,0,5,12,41.7,12,4,58.3,43.4,10,50.0,40.8,10,0,0.0,0,12.5,Match Report,7fd42a85,W,2019,True
19,2019-03-31,Sun,MLS,Regular Season,Home,W 2–1,LA Galaxy,Portland Timbers,Y,GK,90,4,1,3,75.0,0,1.2,0,0,0,0,3,10,30.0,13,4,38.5,37.1,7,71.4,51.4,3,0,0.0,0,14.3,Match Report,7fd42a85,W,2019,True
20,2019-04-05,Fri,MLS,Regular Season,Away,W 2–0,LA Galaxy,Vancouver,Y,GK,90,4,0,4,100.0,1,1.8,1,0,1,0,10,19,52.6,17,2,76.5,50.7,6,100.0,62.0,4,1,25.0,0,12.8,Match Report,7fd42a85,W,2019,True
21,2019-04-13,Sat,MLS,Regular Season,Home,W 2–0,LA Galaxy,Philadelphia,Y,GK,90,2,0,2,100.0,1,0.0,0,0,0,0,8,16,50.0,19,2,57.9,44.2,9,55.6,45.7,10,2,20.0,0,17.8,Match Report,7fd42a85,W,2019,True
22,2019-04-19,Fri,MLS,Regular Season,Home,W 2–1,LA Galaxy,Houston Dynamo,Y,GK,90,2,1,2,100.0,0,1.1,1,1,0,0,6,9,66.7,17,4,29.4,34.2,11,36.4,38.0,10,1,10.0,0,12.5,Match Report,7fd42a85,W,2019,True
23,2019-04-24,Wed,MLS,Regular Season,Away,D 0–0,LA Galaxy,Minnesota Utd,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,10,21,47.6,14,2,78.6,51.4,13,76.9,58.2,9,2,22.2,0,11.0,Match Report,7fd42a85,D,2019,True
24,2019-04-28,Sun,MLS,Regular Season,Home,W 2–1,LA Galaxy,Real Salt Lake,Y,GK,90,7,1,6,85.7,0,1.4,0,0,0,0,9,27,33.3,37,6,64.9,47.9,6,50.0,42.3,13,0,0.0,0,9.9,Match Report,7fd42a85,W,2019,True
25,2019-05-04,Sat,MLS,Regular Season,Away,L 2–3,LA Galaxy,NY Red Bulls,Y,GK,90,7,3,4,57.1,0,2.2,0,0,0,0,12,26,46.2,30,5,66.7,48.2,8,75.0,51.3,3,0,0.0,0,14.2,Match Report,7fd42a85,L,2019,True
26,2019-05-08,Wed,MLS,Regular Season,Away,L 1–3,LA Galaxy,Columbus Crew,Y,GK,90,4,3,1,25.0,0,2.0,0,0,0,0,10,17,58.8,28,6,53.6,43.2,5,40.0,49.2,6,0,0.0,2,16.5,Match Report,7fd42a85,L,2019,True
27,2019-05-11,Sat,MLS,Regular Season,Home,L 0–2,LA Galaxy,NYCFC,Y,GK,90,4,2,3,75.0,0,1.4,1,1,0,0,8,15,53.3,23,7,47.8,40.1,5,80.0,56.4,6,1,16.7,0,15.0,Match Report,7fd42a85,L,2019,True
28,2019-05-19,Sun,MLS,Regular Season,Home,L 0–1,LA Galaxy,Colorado Rapids,Y,GK,90,5,1,4,80.0,0,1.4,0,0,0,0,6,19,31.6,22,4,40.9,36.1,10,100.0,59.6,8,2,25.0,0,16.0,Match Report,7fd42a85,L,2019,True
29,2019-05-24,Fri,MLS,Regular Season,Away,W 1–0,LA Galaxy,Orlando City,Y,GK,90,5,0,5,100.0,1,2.5,1,0,1,0,6,25,24.0,18,6,72.2,49.1,12,100.0,73.8,15,2,13.3,0,11.0,Match Report,7fd42a85,W,2019,True
30,2019-05-29,Wed,MLS,Regular Season,Away,W 2–0,LA Galaxy,Sporting KC,Y,GK,90,4,0,4,100.0,1,0.7,0,0,0,0,8,25,32.0,17,1,70.6,51.6,13,100.0,68.5,14,3,21.4,0,10.8,Match Report,7fd42a85,W,2019,True
31,2019-06-02,Sun,MLS,Regular Season,Home,L 1–2,LA Galaxy,New England,Y,GK,90,7,2,5,71.4,0,2.0,0,0,0,0,6,9,66.7,19,10,31.6,30.9,7,42.9,40.3,8,0,0.0,0,10.3,Match Report,7fd42a85,L,2019,True
32,2019-06-22,Sat,MLS,Regular Season,Away,W 2–0,LA Galaxy,FC Cincinnati,Y,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,16,31,51.6,21,3,81.0,55.5,16,87.5,62.5,13,0,0.0,1,10.9,Match Report,7fd42a85,W,2019,True
33,2019-06-29,Sat,MLS,Regular Season,Away,L 0–3,LA Galaxy,San Jose,Y,GK,90,8,3,6,62.5,0,0.9,0,0,0,0,7,15,46.7,22,3,40.9,40.2,11,54.5,54.6,11,0,0.0,0,9.0,Match Report,7fd42a85,L,2019,True
34,2019-07-04,Thu,MLS,Regular Season,Home,W 2–0,LA Galaxy,Toronto FC,Y,GK,90,5,0,5,100.0,1,0.5,0,0,0,0,17,23,73.9,23,2,65.2,46.3,9,88.9,65.0,8,2,25.0,0,9.5,Match Report,7fd42a85,W,2019,True
35,2019-07-12,Fri,MLS,Regular Season,Home,L 1–3,LA Galaxy,San Jose,Y,GK,90,17,3,14,82.4,0,3.6,0,0,0,0,8,19,42.1,27,3,44.4,39.6,8,87.5,57.3,8,1,12.5,1,18.7,Match Report,7fd42a85,L,2019,True
36,2019-07-19,Fri,MLS,Regular Season,Home,W 3–2,LA Galaxy,Los Angeles FC,Y,GK,90,4,2,3,75.0,0,2.2,1,1,0,0,14,26,53.8,15,1,86.7,60.0,16,81.3,59.3,2,0,0.0,0,12.7,Match Report,7fd42a85,W,2019,True
37,2019-07-27,Sat,MLS,Regular Season,Away,L 0–4,LA Galaxy,Portland Timbers,Y,GK,90,10,4,6,60.0,0,3.9,0,0,0,0,6,18,33.3,17,5,64.7,50.4,9,77.8,57.2,18,2,11.1,0,10.7,Match Report,7fd42a85,L,2019,True
38,2019-08-03,Sat,MLS,Regular Season,Away,L 0–3,LA Galaxy,Atlanta Utd,Y,GK,90,6,3,5,66.7,0,3.1,1,1,0,0,12,23,52.2,21,1,66.7,44.7,9,100.0,69.4,11,1,9.1,0,14.0,Match Report,7fd42a85,L,2019,False
39,2019-08-11,Sun,MLS,Regular Season,Away,L 1–2,LA Galaxy,D.C. United,Y,GK,90,6,2,4,66.7,0,1.3,0,0,0,0,4,14,28.6,20,6,40.0,38.6,6,100.0,67.8,7,1,14.3,1,15.8,Match Report,7fd42a85,L,2019,False
40,2019-08-14,Wed,MLS,Regular Season,Home,W 2–0,LA Galaxy,FC Dallas,Y,GK,90,1,0,0,100.0,1,0.3,0,0,0,0,5,18,27.8,15,2,46.7,40.3,11,100.0,70.6,8,0,0.0,0,12.8,Match Report,7fd42a85,W,2019,False
41,2019-08-17,Sat,MLS,Regular Season,Home,D 2–2,LA Galaxy,Seattle,Y,GK,90,7,2,6,71.4,0,3.2,0,0,0,0,13,29,44.8,28,3,82.1,57.6,6,100.0,70.8,16,2,12.5,1,10.5,Match Report,7fd42a85,D,2019,False
42,2019-08-25,Sun,MLS,Regular Season,Away,D 3–3,LA Galaxy,Los Angeles FC,Y,GK,90,9,3,6,66.7,0,3.4,0,0,0,0,18,34,52.9,25,4,80.0,56.2,16,87.5,66.0,9,2,22.2,1,11.0,Match Report,7fd42a85,D,2019,False
43,2019-09-01,Sun,MLS,Regular Season,Away,L 3–4,LA Galaxy,Seattle,Y,GK,90,6,4,2,33.3,0,3.5,0,0,0,0,6,15,40.0,26,4,42.3,38.3,8,50.0,45.5,7,1,14.3,0,12.9,Match Report,7fd42a85,L,2019,False
44,2019-09-11,Wed,MLS,Regular Season,Away,L 1–2,LA Galaxy,Colorado Rapids,Y,GK,90,11,2,10,90.9,0,2.7,1,1,0,0,9,25,36.0,22,5,72.7,57.1,9,100.0,70.7,5,1,20.0,2,21.7,Match Report,7fd42a85,L,2019,False
45,2019-09-15,Sun,MLS,Regular Season,Home,W 7–2,LA Galaxy,Sporting KC,Y,GK,90,6,2,4,66.7,0,2.2,0,0,0,0,13,16,81.3,19,6,47.4,36.4,14,50.0,42.4,13,2,15.4,0,12.4,Match Report,7fd42a85,W,2019,False
46,2019-09-21,Sat,MLS,Regular Season,Home,W 2–1,LA Galaxy,Montreal Impact,Y,GK,90,3,1,2,66.7,0,0.5,0,0,0,0,10,14,71.4,20,2,40.0,36.5,10,60.0,40.9,14,2,14.3,0,9.7,Match Report,7fd42a85,W,2019,False
47,2019-09-25,Wed,MLS,Regular Season,Away,W 2–1,LA Galaxy,Real Salt Lake,Y,GK,90,5,1,4,80.0,0,0.4,0,0,0,0,11,26,42.3,35,4,51.4,42.5,16,50.0,52.7,7,0,0.0,1,20.0,Match Report,7fd42a85,W,2019,False
48,2019-10-06,Sun,MLS,Regular Season,Away,L 2–4,LA Galaxy,Houston Dynamo,Y,GK,90,8,4,4,50.0,0,3.8,0,0,0,0,6,9,66.7,26,4,30.8,30.6,10,10.0,28.3,5,0,0.0,0,,Match Report,7fd42a85,L,2019,False
49,2019-10-20,Sun,MLS,Round 1,Away,W 2–1,LA Galaxy,Minnesota Utd,Y,GK,90,3,1,2,66.7,0,0.7,0,0,0,0,7,20,35.0,25,5,52.0,42.0,12,58.3,47.3,19,1,5.3,1,14.2,Match Report,7fd42a85,W,2019,False
50,2019-10-24,Thu,MLS,Conference Semifinals,Away,L 3–5,LA Galaxy,Los Angeles FC,Y,GK,90,7,5,2,28.6,0,3.6,0,0,0,0,4,8,50.0,15,2,46.7,39.1,6,16.7,28.0,1,0,0.0,2,13.7,Match Report,7fd42a85,L,2019,False
51,2019-03-02,Sat,MLS,Regular Season,Home,L 1–3,Philadelphia,Toronto FC,Y,GK,90,4,3,1,25.0,0,2.4,1,0,1,0,3,9,33.3,16,6,37.5,31.4,5,60.0,46.2,10,0,0.0,1,13.8,Match Report,b3b21a11,L,2019,True
52,2019-03-10,Sun,MLS,Regular Season,Away,L 0–2,Philadelphia,Sporting KC,Y,GK,90,2,2,2,50.0,0,1.2,1,1,0,0,7,14,50.0,13,3,61.5,46.0,6,100.0,61.7,9,0,0.0,0,10.0,Match Report,b3b21a11,L,2019,True
53,2019-03-17,Sun,MLS,Regular Season,Away,D 1–1,Philadelphia,Atlanta Utd,Y,GK,90,2,1,1,50.0,0,0.4,0,0,0,0,6,23,26.1,25,7,56.0,47.1,10,90.0,64.3,12,2,16.7,0,11.2,Match Report,b3b21a11,D,2019,True
54,2019-03-30,Sat,MLS,Regular Season,Away,W 2–0,Philadelphia,FC Cincinnati,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,5,11,45.5,22,2,36.4,34.7,4,75.0,52.0,9,0,0.0,0,16.0,Match Report,b3b21a11,W,2019,True
55,2019-04-06,Sat,MLS,Regular Season,Home,W 2–1,Philadelphia,FC Dallas,Y,GK,90,1,1,0,0.0,0,0.4,0,0,0,0,0,6,0.0,14,4,35.7,35.1,3,33.3,35.0,6,0,0.0,0,13.0,Match Report,b3b21a11,W,2019,True
56,2019-04-13,Sat,MLS,Regular Season,Away,L 0–2,Philadelphia,LA Galaxy,Y,GK,90,4,2,3,75.0,0,1.2,1,1,0,0,6,13,46.2,25,6,44.0,36.8,5,40.0,43.0,11,1,9.1,0,11.3,Match Report,b3b21a11,L,2019,True
57,2019-04-20,Sat,MLS,Regular Season,Home,W 3–0,Philadelphia,Montreal Impact,Y,GK,53,1,0,1,100.0,1,0.2,0,0,0,0,2,11,18.2,8,3,75.0,48.1,5,100.0,70.6,6,0,0.0,0,17.0,Match Report,b3b21a11,W,2019,True
58,2019-05-18,Sat,MLS,Regular Season,Home,D 0–0,Philadelphia,Seattle,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,4,8,50.0,21,6,28.6,32.2,7,28.6,37.6,5,0,0.0,0,15.0,Match Report,b3b21a11,D,2019,True
59,2019-05-25,Sat,MLS,Regular Season,Home,L 1–3,Philadelphia,Portland Timbers,Y,GK,90,7,3,4,57.1,0,2.1,0,0,0,0,1,3,33.3,14,9,14.3,28.1,2,50.0,48.5,5,3,60.0,0,14.7,Match Report,b3b21a11,L,2019,True
60,2019-05-29,Wed,MLS,Regular Season,Home,D 1–1,Philadelphia,Colorado Rapids,Y,GK,90,2,1,1,50.0,0,0.4,0,0,0,0,12,24,50.0,28,8,50.0,40.6,12,83.3,53.9,7,0,0.0,1,14.7,Match Report,b3b21a11,D,2019,True
61,2019-06-02,Sun,MLS,Regular Season,Away,W 3–2,Philadelphia,Minnesota Utd,Y,GK,90,6,2,4,66.7,0,1.4,0,0,0,0,6,25,24.0,21,5,61.9,43.4,12,100.0,67.4,18,0,0.0,1,17.0,Match Report,b3b21a11,W,2019,True
62,2019-06-08,Sat,MLS,Regular Season,Home,W 3–2,Philadelphia,NY Red Bulls,Y,GK,90,4,2,2,50.0,0,1.5,0,0,0,0,5,12,41.7,18,2,50.0,39.1,8,37.5,39.6,7,0,0.0,2,20.0,Match Report,b3b21a11,W,2019,True
63,2019-07-07,Sun,MLS,Regular Season,Home,D 2–2,Philadelphia,Orlando City,Y,GK,90,4,2,2,50.0,0,1.5,0,0,0,0,3,8,37.5,22,7,31.8,33.6,5,20.0,40.6,6,1,16.7,0,11.7,Match Report,b3b21a11,D,2019,True
64,2019-07-13,Sat,MLS,Regular Season,Away,L 0–4,Philadelphia,Real Salt Lake,Y,GK,90,8,4,4,50.0,0,2.6,0,0,0,0,7,15,46.7,13,4,46.2,41.0,10,90.0,59.1,4,1,25.0,0,15.0,Match Report,b3b21a11,L,2019,True
65,2019-07-20,Sat,MLS,Regular Season,Home,W 2–0,Philadelphia,Chicago Fire,Y,GK,90,3,0,3,100.0,1,0.3,0,0,0,0,4,11,36.4,24,5,37.5,36.4,9,22.2,34.2,7,0,0.0,0,15.3,Match Report,b3b21a11,W,2019,True
66,2019-07-27,Sat,MLS,Regular Season,Away,L 0–4,Philadelphia,Montreal Impact,Y,GK,90,6,4,2,33.3,0,2.4,0,0,0,0,5,7,71.4,12,2,25.0,28.5,6,66.7,40.5,2,0,0.0,1,15.8,Match Report,b3b21a11,L,2019,True
67,2019-08-04,Sun,MLS,Regular Season,Away,W 5–1,Philadelphia,D.C. United,Y,GK,90,2,1,1,50.0,0,0.9,0,0,0,0,8,20,40.0,25,6,48.0,43.0,9,88.9,64.1,9,0,0.0,1,12.5,Match Report,b3b21a11,W,2019,False
68,2019-08-11,Sun,MLS,Regular Season,Home,W 2–1,Philadelphia,Houston Dynamo,Y,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,11,19,57.9,24,4,62.5,44.3,7,57.1,48.1,9,0,0.0,1,17.0,Match Report,b3b21a11,W,2019,False
69,2019-08-17,Sat,MLS,Regular Season,Away,L 0–2,Philadelphia,Chicago Fire,Y,GK,90,2,2,1,50.0,0,2.2,1,1,0,0,5,9,55.6,22,5,36.4,34.1,1,100.0,68.0,7,0,0.0,1,16.4,Match Report,b3b21a11,L,2019,False
70,2019-08-24,Sat,MLS,Regular Season,Home,W 3–1,Philadelphia,D.C. United,Y,GK,90,4,1,3,75.0,0,0.9,0,0,0,0,9,17,52.9,25,5,48.0,39.1,5,100.0,53.8,12,0,0.0,2,16.3,Match Report,b3b21a11,W,2019,False
71,2019-08-31,Sat,MLS,Regular Season,Home,W 3–1,Philadelphia,Atlanta Utd,Y,GK,90,4,1,3,75.0,0,1.0,0,0,0,0,10,19,52.6,22,3,59.1,42.0,8,75.0,51.3,6,1,16.7,0,14.6,Match Report,b3b21a11,W,2019,False
72,2019-09-14,Sat,MLS,Regular Season,Home,D 1–1,Philadelphia,Los Angeles FC,Y,GK,90,4,1,3,75.0,0,1.9,0,0,0,0,13,22,59.1,26,8,57.7,41.1,12,58.3,46.2,3,0,0.0,0,12.2,Match Report,b3b21a11,D,2019,False
73,2019-09-22,Sun,MLS,Regular Season,Away,L 0–2,Philadelphia,NY Red Bulls,Y,GK,90,7,2,5,71.4,0,1.9,0,0,0,0,4,9,44.4,25,3,20.0,29.0,9,44.4,44.1,10,1,10.0,3,13.3,Match Report,b3b21a11,L,2019,False
74,2019-09-25,Wed,MLS,Regular Season,Away,W 2–1,Philadelphia,San Jose,Y,GK,90,4,1,3,75.0,0,1.2,0,0,0,0,7,20,35.0,20,8,60.0,41.4,9,88.9,63.7,9,0,0.0,0,9.4,Match Report,b3b21a11,W,2019,False
75,2019-09-29,Sun,MLS,Regular Season,Away,L 0–2,Philadelphia,Columbus Crew,Y,GK,90,7,2,5,71.4,0,0.7,0,0,0,0,3,8,37.5,21,3,28.6,31.2,7,28.6,37.6,9,0,0.0,2,24.7,Match Report,b3b21a11,L,2019,False
76,2019-10-06,Sun,MLS,Regular Season,Home,L 1–2,Philadelphia,NYCFC,Y,GK,90,2,2,1,0.0,0,1.0,0,0,0,0,4,8,50.0,17,5,29.4,32.8,6,50.0,41.0,5,0,0.0,0,9.3,Match Report,b3b21a11,L,2019,False
77,2019-10-20,Sun,MLS,Round 1,Home,W 4–3,Philadelphia,NY Red Bulls,Y,GK,120,5,3,2,40.0,0,1.9,0,0,0,0,4,13,30.8,26,9,34.6,34.3,9,44.4,40.1,9,0,0.0,1,14.1,Match Report,b3b21a11,W,2019,False
78,2019-10-24,Thu,MLS,Conference Semifinals,Away,L 0–2,Philadelphia,Atlanta Utd,Y,GK,90,5,2,3,60.0,0,1.6,0,0,0,0,3,9,33.3,17,8,35.3,34.3,4,75.0,51.3,6,0,0.0,0,9.1,Match Report,b3b21a11,L,2019,False
79,2019-03-02,Sat,MLS,Regular Season,Away,W 3–1,Toronto FC,Philadelphia,Y,GK,90,2,1,2,100.0,0,1.6,1,1,0,0,4,18,22.2,16,4,75.0,50.4,9,66.7,43.8,9,0,0.0,1,14.9,Match Report,aa28a396,W,2019,True
80,2019-03-17,Sun,MLS,Regular Season,Home,W 3–2,Toronto FC,New England,Y,GK,90,2,2,1,50.0,0,1.7,1,1,0,0,1,9,11.1,19,4,36.8,29.9,4,50.0,45.8,5,1,20.0,0,14.8,Match Report,aa28a396,W,2019,True
81,2019-03-29,Fri,MLS,Regular Season,Home,W 4–0,Toronto FC,NYCFC,Y,GK,90,3,0,3,100.0,1,1.4,0,0,0,0,4,11,36.4,25,4,32.0,35.6,5,60.0,46.6,4,1,25.0,2,21.4,Match Report,aa28a396,W,2019,True
82,2019-04-06,Sat,MLS,Regular Season,Home,D 2–2,Toronto FC,Chicago Fire,Y,GK,90,3,2,1,33.3,0,1.6,0,0,0,0,4,5,80.0,14,8,14.3,26.4,6,50.0,48.7,5,0,0.0,1,19.0,Match Report,aa28a396,D,2019,True
83,2019-04-19,Fri,MLS,Regular Season,Home,W 4–3,Toronto FC,Minnesota Utd,Y,GK,90,5,3,3,60.0,0,3.1,1,1,0,0,3,13,23.1,21,2,33.3,33.1,8,75.0,53.8,9,0,0.0,1,12.7,Match Report,aa28a396,W,2019,True
84,2019-05-08,Wed,MLS,Regular Season,Away,L 0–2,Toronto FC,Atlanta Utd,Y,GK,90,5,2,3,60.0,0,1.8,0,0,0,0,8,12,66.7,19,8,36.8,29.5,10,50.0,42.6,9,3,33.3,2,20.7,Match Report,aa28a396,L,2019,True
85,2019-09-29,Sun,MLS,Regular Season,Away,D 2–2,Toronto FC,Chicago Fire,N,GK,16,2,1,1,50.0,0,0.8,0,0,0,0,0,7,0.0,6,0,83.3,70.8,2,100.0,69.5,3,0,0.0,0,3.5,Match Report,aa28a396,D,2019,False
86,2019-03-02,Sat,MLS,Regular Season,Away,W 2–1,Montreal Impact,San Jose,Y,GK,90,4,1,3,75.0,0,1.4,0,0,0,0,6,19,31.6,26,5,42.3,42.0,8,100.0,61.5,15,0,0.0,0,7.8,Match Report,69a57596,W,2019,True
87,2019-03-09,Sat,MLS,Regular Season,Away,L 1–2,Montreal Impact,Houston Dynamo,Y,GK,90,4,2,2,50.0,0,1.1,0,0,0,0,7,14,50.0,27,7,29.6,32.4,8,75.0,59.5,8,0,0.0,1,16.4,Match Report,69a57596,L,2019,True
88,2019-03-16,Sat,MLS,Regular Season,Away,W 3–1,Montreal Impact,Orlando City,Y,GK,90,2,1,1,50.0,0,1.4,0,0,0,0,8,24,33.3,22,4,63.6,46.5,10,100.0,63.4,9,0,0.0,0,14.5,Match Report,69a57596,W,2019,True
89,2019-03-30,Sat,MLS,Regular Season,Away,L 1–7,Montreal Impact,Sporting KC,Y,GK,90,9,7,2,22.2,0,4.2,0,0,0,0,8,16,50.0,30,9,36.7,34.4,5,100.0,61.0,3,0,0.0,1,15.0,Match Report,69a57596,L,2019,True
90,2019-04-06,Sat,MLS,Regular Season,Away,D 0–0,Montreal Impact,NYCFC,Y,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,9,32,28.1,26,2,80.8,51.4,11,100.0,65.5,9,1,11.1,1,11.5,Match Report,69a57596,D,2019,True
91,2019-04-09,Tue,MLS,Regular Season,Away,D 0–0,Montreal Impact,D.C. United,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,5,25,20.0,35,4,42.9,37.7,11,90.9,60.8,8,1,12.5,1,13.8,Match Report,69a57596,D,2019,True
92,2019-04-13,Sat,MLS,Regular Season,Home,W 1–0,Montreal Impact,Columbus Crew,Y,GK,90,5,0,5,100.0,1,1.0,0,0,0,0,6,15,40.0,29,4,44.8,37.6,7,28.6,33.4,3,0,0.0,1,16.0,Match Report,69a57596,W,2019,True
93,2019-04-20,Sat,MLS,Regular Season,Away,L 0–3,Montreal Impact,Philadelphia,Y,GK,90,2,3,0,0.0,0,1.7,1,1,0,0,5,10,50.0,24,5,33.3,34.9,5,40.0,37.4,3,0,0.0,3,18.4,Match Report,69a57596,L,2019,True
94,2019-04-24,Wed,MLS,Regular Season,Away,W 3–0,Montreal Impact,New England,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,3,15,20.0,21,3,61.9,45.7,4,50.0,45.8,5,1,20.0,0,13.0,Match Report,69a57596,W,2019,True
95,2019-04-28,Sun,MLS,Regular Season,Home,W 1–0,Montreal Impact,Chicago Fire,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,7,16,43.8,25,5,56.0,39.3,2,100.0,62.0,2,0,0.0,0,13.3,Match Report,69a57596,W,2019,True
