,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
0,2019-03-02,Sat,MLS,Regular Season,Away,D 3–3,Portland Timbers,Colorado Rapids,Y,GK,90,5,3,2,40.0,0,2.5,0,0,0,0,9,14,64.3,17,7,47.1,41.2,9,66.7,45.3,9,2,22.2,0,13.0,Match Report,4277b946,D,2019,True
1,2019-03-10,Sun,MLS,Regular Season,Away,L 1–4,Portland Timbers,Los Angeles FC,Y,GK,90,7,4,3,42.9,0,3.8,0,0,0,0,13,19,68.4,22,8,40.9,37.3,11,90.9,56.2,5,0,0.0,1,13.3,Match Report,4277b946,L,2019,True
2,2019-03-17,Sun,MLS,Regular Season,Away,L 0–3,Portland Timbers,FC Cincinnati,Y,GK,90,7,3,4,57.1,0,2.4,0,0,0,0,12,21,57.1,25,8,40.0,34.4,12,91.7,57.0,10,1,10.0,0,18.7,Match Report,4277b946,L,2019,True
3,2019-03-31,Sun,MLS,Regular Season,Away,L 1–2,Portland Timbers,LA Galaxy,Y,GK,90,0,2,0,,0,1.3,2,2,0,0,10,24,41.7,31,9,54.8,40.4,9,77.8,48.3,13,0,0.0,1,15.2,Match Report,4277b946,L,2019,True
4,2019-04-06,Sat,MLS,Regular Season,Away,L 0–3,Portland Timbers,San Jose,Y,GK,90,13,3,10,76.9,0,4.4,0,0,0,0,4,5,80.0,22,12,18.2,30.5,4,25.0,36.3,6,2,33.3,0,12.9,Match Report,4277b946,L,2019,True
5,2019-04-13,Sat,MLS,Regular Season,Away,L 1–2,Portland Timbers,FC Dallas,Y,GK,90,4,2,3,75.0,0,1.8,1,1,0,0,4,20,20.0,16,3,75.0,52.8,8,100.0,68.4,11,1,9.1,0,11.5,Match Report,4277b946,L,2019,True
6,2019-04-20,Sat,MLS,Regular Season,Away,W 3–1,Portland Timbers,Columbus Crew,Y,GK,90,5,1,4,80.0,0,1.3,0,0,0,0,7,24,29.2,20,7,60.0,46.8,13,92.3,62.8,14,0,0.0,1,11.1,Match Report,4277b946,W,2019,True
7,2019-05-15,Wed,MLS,Regular Season,Away,D 1–1,Portland Timbers,Houston Dynamo,Y,GK,90,10,1,9,90.0,0,2.6,0,0,0,0,6,18,33.3,23,9,47.8,41.3,8,87.5,65.0,15,0,0.0,0,14.8,Match Report,4277b946,D,2019,True
8,2019-06-01,Sat,MLS,Regular Season,Home,L 2–3,Portland Timbers,Los Angeles FC,Y,GK,90,5,3,2,40.0,0,2.5,0,0,0,0,4,14,28.6,28,14,39.3,36.1,9,33.3,37.6,6,1,16.7,0,13.1,Match Report,4277b946,L,2019,True
9,2019-06-26,Wed,MLS,Regular Season,Away,L 1–2,Portland Timbers,Montreal Impact,Y*,GK,90,4,2,1,50.0,0,2.0,0,0,0,0,10,21,47.6,18,2,66.7,48.8,13,69.2,53.8,8,1,12.5,0,12.7,Match Report,4277b946,L,2019,True
10,2019-03-23,Sat,MLS,Regular Season,Away,L 0–3,Columbus Crew,Philadelphia,Y,GK,90,5,3,2,40.0,0,2.0,0,0,0,0,2,6,33.3,25,3,24.0,29.0,5,0.0,24.6,7,0,0.0,1,16.8,Match Report,c3e50b67,L,2019,True
11,2019-05-11,Sat,MLS,Regular Season,Home,L 0–3,Columbus Crew,Los Angeles FC,Y,GK,90,8,3,5,62.5,0,2.1,0,0,0,0,4,21,19.0,31,5,45.2,41.2,14,50.0,48.2,6,1,16.7,0,13.8,Match Report,c3e50b67,L,2019,True
