,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atlanta Utd,27,25.6,54.8,23,253,2070,23,23,17,20,3,4,49,3,1,0.74,1.74,0.87,1.61,21.6,18.6,13.8,32.4,0.94,0.6,1.54,0.81,1.41
Chicago Fire,25,26.7,51,23,253,2070,23,33,26,31,2,4,40,1,1.43,1.13,2.57,1.35,2.48,39,35.9,25.8,61.7,1.69,1.12,2.81,1.56,2.68
Colorado Rapids,22,25.8,52,18,198,1620,18,30,26,30,0,0,30,2,1.67,1.44,3.11,1.67,3.11,25.9,25.9,20.4,46.3,1.44,1.13,2.57,1.44,2.57
Columbus Crew,26,27.4,52.2,23,253,2070,23,34,26,33,1,4,45,0,1.48,1.13,2.61,1.43,2.57,30.8,27.7,23.1,50.7,1.34,1,2.34,1.2,2.21
D.C. United,26,26.6,46,23,253,2070,23,24,12,20,4,4,44,3,1.04,0.52,1.57,0.87,1.39,21.8,18.9,13.1,32.1,0.95,0.57,1.52,0.82,1.39
FC Cincinnati,30,27.5,49.3,23,253,2070,23,11,5,10,1,2,40,0,0.48,0.22,0.7,0.43,0.65,22.3,20.8,13.8,34.6,0.97,0.6,1.57,0.9,1.5
FC Dallas,27,27,51.4,22,242,1980,22,28,18,25,3,3,41,1,1.27,0.82,2.09,1.14,1.95,31.8,29.6,22.5,52.1,1.45,1.02,2.47,1.34,2.37
Houston Dynamo,26,27.7,48.5,23,253,2070,23,30,20,28,2,4,55,3,1.3,0.87,2.17,1.22,2.09,36.2,33.3,23.6,56.9,1.58,1.03,2.6,1.45,2.48
Inter Miami,28,26.8,47.1,23,253,2070,23,24,18,23,1,2,57,4,1.04,0.78,1.83,1,1.78,28.8,27.3,20.1,47.4,1.25,0.87,2.13,1.19,2.06
LA Galaxy,25,27.2,45,22,242,1980,22,26,17,23,3,4,42,4,1.18,0.77,1.95,1.05,1.82,26.6,23.5,19,42.5,1.21,0.86,2.07,1.07,1.93
Los Angeles FC,28,24.8,58.6,22,242,1980,22,45,32,43,2,2,36,1,2.05,1.45,3.5,1.95,3.41,41.7,40.2,29.5,69.7,1.9,1.34,3.24,1.83,3.17
Minnesota Utd,28,27.5,47.3,21,231,1890,21,33,27,31,2,3,40,2,1.57,1.29,2.86,1.48,2.76,29.9,27.5,21.3,48.8,1.42,1.01,2.44,1.31,2.32
Montreal Impact,26,26.2,48,23,253,2070,23,33,21,29,4,4,32,5,1.43,0.91,2.35,1.26,2.17,27.7,24.6,19,43.7,1.2,0.83,2.03,1.07,1.9
Nashville,26,26.9,44.5,23,253,2070,23,24,20,24,0,1,34,1,1.04,0.87,1.91,1.04,1.91,24,23.2,18.2,41.4,1.04,0.79,1.83,1.01,1.8
New England,25,26.6,51.2,23,253,2070,23,25,17,24,1,3,36,2,1.09,0.74,1.83,1.04,1.78,33.1,30.7,25,55.8,1.44,1.09,2.53,1.34,2.42
NY Red Bulls,27,25,45.7,23,253,2070,23,29,21,28,1,1,30,1,1.26,0.91,2.17,1.22,2.13,28.1,27.3,21.9,49.2,1.22,0.95,2.17,1.19,2.14
NYCFC,22,26.7,56,23,253,2070,23,36,26,33,3,3,50,1,1.57,1.13,2.7,1.43,2.57,38,35.7,27.5,63.2,1.65,1.19,2.85,1.55,2.75
Orlando City,28,26.2,50.3,23,253,2070,23,39,30,38,1,1,48,2,1.7,1.3,3,1.65,2.96,31.9,31.2,24,55.2,1.39,1.05,2.43,1.35,2.4
Philadelphia,23,25.8,47.9,23,253,2070,23,43,30,41,2,2,55,0,1.87,1.3,3.17,1.78,3.09,35.5,34,27.1,61.1,1.54,1.18,2.72,1.48,2.65
Portland Timbers,27,27.9,46.5,23,253,2070,23,46,34,43,3,3,45,1,2,1.48,3.48,1.87,3.35,31.5,29.2,22.2,51.4,1.37,0.96,2.34,1.27,2.24
Real Salt Lake,26,27,52.3,22,242,1980,22,23,14,21,2,3,49,2,1.05,0.64,1.68,0.95,1.59,26.3,24,16,40,1.19,0.73,1.92,1.09,1.82
San Jose,27,27.3,55.7,23,253,2070,23,34,23,30,4,5,38,1,1.48,1,2.48,1.3,2.3,32.2,28.5,20.3,48.8,1.4,0.88,2.29,1.24,2.12
Seattle,27,27.9,54.5,22,242,1980,22,42,30,37,5,5,32,0,1.91,1.36,3.27,1.68,3.05,41.9,38.3,29.5,67.7,1.91,1.34,3.24,1.74,3.08
Sporting KC,23,27.9,49.7,21,231,1890,21,37,24,36,1,1,45,2,1.76,1.14,2.9,1.71,2.86,33.1,32.3,22.1,54.4,1.58,1.05,2.63,1.54,2.59
Toronto FC,29,28,54.5,23,253,2070,23,33,22,28,5,6,35,0,1.43,0.96,2.39,1.22,2.17,35.8,31.4,23.2,54.6,1.56,1.01,2.56,1.37,2.37
Vancouver,27,25.5,41.8,23,253,2070,23,24,18,22,2,4,45,4,1.04,0.78,1.83,0.96,1.74,23.9,20.9,16.5,37.4,1.04,0.72,1.75,0.91,1.63
