,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
0,2021-04-18,Sun,MLS,Regular Season,Away,L 0–1,Portland Timbers,Vancouver,N,GK,13,0,0,0,,0,0.0,0,0,0,0,1,2,50.0,3,1,66.7,54.0,1,0.0,7.0,1,0,0.0,1,19.5,Match Report,4277b946,L,2021,True
1,2021-04-24,Sat,MLS,Regular Season,Home,W 2–1,Portland Timbers,Houston Dynamo,Y,GK,90,3,1,3,66.7,0,0.5,0,0,0,0,4,14,28.6,14,3,78.6,53.0,7,42.9,39.3,11,2,18.2,1,12.0,Match Report,4277b946,W,2021,True
2,2021-05-09,Sun,MLS,Regular Season,Home,L 1–2,Portland Timbers,Seattle,Y,GK,67,1,1,1,100.0,0,0.9,1,1,0,0,5,7,71.4,10,1,50.0,44.3,5,40.0,36.4,8,0,0.0,0,5.5,Match Report,4277b946,L,2021,True
3,2021-06-19,Sat,MLS,Regular Season,Away,W 3–2,Orlando City,Toronto FC,Y,GK,90,4,2,2,50.0,0,1.8,0,0,0,0,3,7,42.9,10,3,40.0,35.4,6,50.0,34.8,10,0,0.0,0,10.0,Match Report,5e253986,W,2021,True
4,2021-06-22,Tue,MLS,Regular Season,Home,W 5–0,Orlando City,San Jose,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,2,6,33.3,11,4,27.3,28.0,11,27.3,28.2,8,0,0.0,1,11.7,Match Report,5e253986,W,2021,True
5,2021-06-25,Fri,MLS,Regular Season,Away,W 2–1,Orlando City,Inter Miami,Y,GK,90,3,1,2,66.7,0,0.1,0,0,0,0,3,6,50.0,21,1,19.0,24.4,7,28.6,36.0,9,0,0.0,0,13.0,Match Report,5e253986,W,2021,True
6,2021-07-03,Sat,MLS,Regular Season,Home,L 1–2,Orlando City,NY Red Bulls,Y,GK,90,4,2,2,50.0,0,1.2,0,0,0,0,2,11,18.2,14,5,28.6,38.9,11,63.6,48.6,3,1,33.3,0,17.0,Match Report,5e253986,L,2021,True
7,2021-07-07,Wed,MLS,Regular Season,Away,L 1–3,Orlando City,Chicago Fire,Y,GK,90,4,3,1,25.0,0,1.6,0,0,0,0,7,14,50.0,16,3,62.5,45.3,9,44.4,39.8,4,0,0.0,2,15.4,Match Report,5e253986,L,2021,True
8,2021-07-07,Wed,MLS,Regular Season,Away,L 1–2,NYCFC,CF Montréal,Y,GK,90,3,2,2,66.7,0,2.8,1,1,0,0,3,7,42.9,19,2,21.1,31.0,4,75.0,50.3,3,0,0.0,1,16.0,Match Report,e6f22a6b,L,2021,True
9,2021-07-17,Sat,MLS,Regular Season,Away,L 1–2,NYCFC,Columbus Crew,Y,GK,90,3,2,1,33.3,0,1.6,0,0,0,0,4,7,57.1,21,4,23.8,28.8,5,40.0,39.8,5,1,20.0,2,21.3,Match Report,e6f22a6b,L,2021,True
10,2021-07-21,Wed,MLS,Regular Season,Home,W 1–0,NYCFC,CF Montréal,Y,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,5,18,27.8,27,3,44.4,36.6,6,100.0,68.8,8,1,12.5,0,11.3,Match Report,e6f22a6b,W,2021,True
11,2021-07-25,Sun,MLS,Regular Season,Home,W 5–0,NYCFC,Orlando City,Y,GK,90,3,0,3,100.0,1,0.4,0,0,0,0,4,8,50.0,18,1,27.8,33.8,3,100.0,67.3,5,0,0.0,0,14.8,Match Report,e6f22a6b,W,2021,True
12,2021-07-30,Fri,MLS,Regular Season,Home,W 4–1,NYCFC,Columbus Crew,Y,GK,90,0,1,0,,0,0.9,1,1,0,0,6,11,54.5,18,3,16.7,26.9,11,72.7,58.5,8,1,12.5,0,12.5,Match Report,e6f22a6b,W,2021,True
13,2021-07-08,Thu,MLS,Regular Season,Away,D 1–1,Philadelphia,NY Red Bulls,N,GK,32,1,1,1,100.0,0,1.0,1,1,0,0,0,7,0.0,5,0,60.0,52.6,4,100.0,77.5,2,1,50.0,0,10.5,Match Report,c3e50b67,D,2021,True
14,2021-07-17,Sat,MLS,Regular Season,Home,W 2–1,Philadelphia,D.C. United,Y,GK,90,2,1,1,100.0,0,1.4,1,1,0,0,7,16,43.8,13,0,84.6,55.1,6,83.3,63.8,6,0,0.0,0,7.0,Match Report,c3e50b67,W,2021,True
15,2021-09-03,Fri,MLS,Regular Season,Home,L 0–1,Philadelphia,New England,Y,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,9,22,40.9,30,6,46.7,43.1,9,88.9,65.1,11,1,9.1,1,18.2,Match Report,c3e50b67,L,2021,False
16,2021-09-29,Wed,MLS,Regular Season,Home,L 1–2,Los Angeles FC,Portland Timbers,Y,GK,90,2,2,0,0.0,0,1.7,0,0,0,0,5,10,50.0,10,2,60.0,50.9,7,57.1,42.9,5,0,0.0,0,11.8,Match Report,dd26b605,L,2021,False
17,2021-10-03,Sun,MLS,Regular Season,Away,D 1–1,Los Angeles FC,LA Galaxy,Y,GK,90,1,1,0,0.0,0,0.3,0,0,0,0,9,22,40.9,24,5,58.3,43.5,12,66.7,48.5,9,1,11.1,2,13.9,Match Report,dd26b605,D,2021,False
18,2021-10-16,Sat,MLS,Regular Season,Home,W 3–1,Los Angeles FC,San Jose,Y,GK,90,7,1,6,85.7,0,1.2,0,0,0,0,4,10,40.0,10,3,40.0,40.2,7,85.7,63.9,3,1,33.3,3,20.0,Match Report,dd26b605,W,2021,False
