,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Atlanta Utd,26,26.9,46,34,374,3060,34,44,29,38,6,7,69,6,1.29,0.85,2.15,1.12,1.97,37.8,32.6,24.5,57.1,1.11,0.72,1.83,0.96,1.68
vs Chicago Fire,31,27,52.3,34,374,3060,34,60,41,54,6,6,54,0,1.76,1.21,2.97,1.59,2.79,59.9,55.3,40.9,96.2,1.76,1.2,2.96,1.63,2.83
vs Colorado Rapids,29,27.2,54.6,34,374,3060,34,61,41,56,5,5,41,4,1.79,1.21,3,1.65,2.85,61.2,57.5,45.3,102.8,1.8,1.33,3.13,1.69,3.02
vs Columbus Crew,27,27.1,47.3,34,374,3060,34,43,27,38,5,5,63,2,1.26,0.79,2.06,1.12,1.91,38.1,34.3,24.8,59.1,1.12,0.73,1.85,1.01,1.74
vs D.C. United,27,27,52.3,34,374,3060,34,49,33,48,1,2,52,4,1.44,0.97,2.41,1.41,2.38,48.2,46.8,34,80.8,1.42,1,2.42,1.38,2.38
vs FC Dallas,27,27.3,51.3,34,374,3060,34,43,29,38,5,7,55,6,1.26,0.85,2.12,1.12,1.97,40.7,37,27.2,64.2,1.2,0.8,2,1.09,1.89
vs Houston Dynamo,27,27,51.8,34,374,3060,34,56,43,49,7,10,65,1,1.65,1.26,2.91,1.44,2.71,51.2,43.6,34.9,78.5,1.51,1.03,2.53,1.28,2.31
vs LA Galaxy,24,27,51.3,34,374,3060,34,61,42,55,6,8,49,5,1.79,1.24,3.03,1.62,2.85,54.7,48.6,38.4,87,1.61,1.13,2.74,1.43,2.56
vs Los Angeles FC,27,27.1,46.9,34,374,3060,34,52,34,46,6,8,85,4,1.53,1,2.53,1.35,2.35,45.6,40.3,29.5,69.8,1.34,0.87,2.21,1.18,2.05
vs Minnesota Utd,30,27,54.5,34,374,3060,34,70,55,65,5,5,45,2,2.06,1.62,3.68,1.91,3.53,53.9,50.4,39,89.4,1.58,1.15,2.73,1.48,2.63
vs Montreal Impact,26,26.9,52.4,34,374,3060,34,50,29,44,6,8,57,3,1.47,0.85,2.32,1.29,2.15,50.3,44.1,32,76.1,1.48,0.94,2.42,1.3,2.24
vs New England,25,26.9,51.5,34,374,3060,34,52,41,48,4,5,56,5,1.53,1.21,2.74,1.41,2.62,50.6,46.8,35.9,82.7,1.49,1.06,2.55,1.38,2.43
vs NY Red Bulls,29,27,51.1,34,374,3060,34,32,26,30,2,4,55,4,0.94,0.76,1.71,0.88,1.65,42,39.1,32.8,71.9,1.23,0.96,2.2,1.15,2.12
vs NYCFC,25,27.1,41.1,34,374,3060,34,44,33,43,1,3,56,5,1.29,0.97,2.26,1.26,2.24,40.9,38.6,27.5,66.1,1.2,0.81,2.01,1.13,1.94
vs Orlando City,30,26.7,50.1,34,374,3060,34,72,52,67,5,7,50,1,2.12,1.53,3.65,1.97,3.5,63,57.7,42.6,100.3,1.85,1.25,3.1,1.7,2.95
vs Philadelphia,24,26.9,50,34,374,3060,34,49,35,41,8,8,48,7,1.44,1.03,2.47,1.21,2.24,50.2,44.1,33.7,77.8,1.48,0.99,2.47,1.3,2.29
vs Portland Timbers,28,27.1,53,34,374,3060,34,45,36,43,2,2,67,2,1.32,1.06,2.38,1.26,2.32,44.8,43.3,31,74.3,1.32,0.91,2.23,1.27,2.19
vs Real Salt Lake,27,27.2,45.1,34,374,3060,34,57,43,52,5,7,56,7,1.68,1.26,2.94,1.53,2.79,53.8,48.4,37.3,85.7,1.58,1.1,2.68,1.42,2.52
vs San Jose,27,27,52.4,34,374,3060,34,71,53,69,2,3,54,0,2.09,1.56,3.65,2.03,3.59,61.1,58.9,45.1,104,1.8,1.33,3.13,1.73,3.06
vs Seattle,26,27.1,49.7,34,374,3060,34,36,29,34,2,2,60,4,1.06,0.85,1.91,1,1.85,44.7,43.2,33.2,76.4,1.32,0.98,2.29,1.27,2.25
vs Sporting KC,24,27,43.4,34,374,3060,34,39,26,34,5,8,66,11,1.15,0.76,1.91,1,1.76,42.9,37.8,26.5,64.3,1.26,0.78,2.04,1.11,1.89
vs Toronto FC,32,27,46.2,34,374,3060,34,64,42,58,6,7,66,0,1.88,1.24,3.12,1.71,2.94,54.7,49.5,38.4,87.8,1.61,1.13,2.74,1.46,2.58
vs Vancouver,25,27,55.9,34,374,3060,34,64,47,55,9,11,65,4,1.88,1.38,3.26,1.62,3,57.3,49,35.9,84.9,1.68,1.06,2.74,1.44,2.5
