,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atlanta Utd,24,26.8,55.5,34,374,3060,34,55,37,47,8,10,56,1,1.62,1.09,2.71,1.38,2.47,56.7,49.3,39,88.2,1.67,1.15,2.81,1.45,2.6
Chicago Fire,26,28.8,48.8,34,374,3060,34,53,37,50,3,5,62,3,1.56,1.09,2.65,1.47,2.56,53.2,49.2,37.4,86.6,1.56,1.1,2.66,1.45,2.55
Colorado Rapids,24,26.6,42,34,374,3060,34,57,37,52,5,8,70,8,1.68,1.09,2.76,1.53,2.62,51,45,31.5,76.5,1.5,0.93,2.43,1.32,2.25
Columbus Crew,33,27.4,49,34,374,3060,34,37,26,33,4,5,57,1,1.09,0.76,1.85,0.97,1.74,37.1,33.4,25.8,59.3,1.09,0.76,1.85,0.98,1.74
D.C. United,26,26.8,47.6,34,374,3060,34,41,25,37,4,4,49,5,1.21,0.74,1.94,1.09,1.82,37.8,35,25.9,60.8,1.11,0.76,1.87,1.03,1.79
FC Cincinnati,30,27.2,46.5,34,374,3060,34,29,20,25,4,5,57,4,0.85,0.59,1.44,0.74,1.32,33,29.3,22.2,51.5,0.97,0.65,1.62,0.86,1.51
FC Dallas,27,24.9,53.2,34,375,3060,34,51,34,47,4,5,67,1,1.5,1,2.5,1.38,2.38,49.5,45.9,32.2,78.1,1.46,0.95,2.4,1.35,2.3
Houston Dynamo,26,27.8,47.1,34,374,3060,34,45,36,41,4,5,66,4,1.32,1.06,2.38,1.21,2.26,47.4,43.6,33.2,76.9,1.39,0.98,2.37,1.28,2.26
LA Galaxy,26,27.6,50.2,34,374,3060,34,58,45,51,7,8,70,3,1.71,1.32,3.03,1.5,2.82,56.4,50.2,42.1,92.3,1.66,1.24,2.9,1.48,2.72
Los Angeles FC,28,25.7,56.9,34,374,3060,34,84,58,75,9,11,53,1,2.47,1.71,4.18,2.21,3.91,77.3,69.1,53.5,122.6,2.27,1.57,3.85,2.03,3.61
Minnesota Utd,26,28.6,44.8,34,374,3060,34,50,34,44,6,7,55,4,1.47,1,2.47,1.29,2.29,52.8,47.5,32.3,79.8,1.55,0.95,2.5,1.4,2.35
Montreal Impact,29,27.7,49.1,34,374,3060,34,44,30,38,6,6,55,3,1.29,0.88,2.18,1.12,2,38.4,33.9,24.9,58.8,1.13,0.73,1.86,1,1.73
New England,23,26.7,45.1,34,374,3060,34,49,38,44,5,7,68,6,1.44,1.12,2.56,1.29,2.41,44.8,39.4,30.1,69.4,1.32,0.88,2.2,1.16,2.04
NY Red Bulls,28,26.1,46.7,34,374,3060,34,49,34,45,4,5,52,5,1.44,1,2.44,1.32,2.32,49.5,45.7,34.8,80.5,1.46,1.02,2.48,1.35,2.37
NYCFC,25,26.2,57.1,34,374,3060,34,63,43,58,5,9,79,1,1.85,1.26,3.12,1.71,2.97,51.8,45.8,33.1,78.8,1.52,0.97,2.5,1.35,2.32
Orlando City,27,27,47.9,34,374,3060,34,44,29,41,3,5,61,3,1.29,0.85,2.15,1.21,2.06,43.6,39.6,28.9,68.5,1.28,0.85,2.13,1.16,2.02
Philadelphia,28,26.7,52.9,34,374,3060,34,57,42,53,4,8,58,3,1.68,1.24,2.91,1.56,2.79,54.8,48.6,34.2,82.8,1.61,1.01,2.62,1.43,2.44
Portland Timbers,27,27.9,50.2,34,374,3060,34,50,35,47,3,5,75,6,1.47,1.03,2.5,1.38,2.41,52.9,49.1,37.9,86.9,1.55,1.11,2.67,1.44,2.56
Real Salt Lake,25,27.4,49.6,34,374,3060,34,46,31,40,6,7,65,5,1.35,0.91,2.26,1.18,2.09,36.6,31.2,23.6,54.8,1.08,0.69,1.77,0.92,1.61
San Jose,25,27.7,57.6,34,374,3060,34,50,40,49,1,1,72,5,1.47,1.18,2.65,1.44,2.62,52.3,51.6,39.4,91,1.54,1.16,2.7,1.52,2.68
Seattle,29,27.7,50.5,34,374,3060,34,50,34,47,3,3,53,4,1.47,1,2.47,1.38,2.38,48.9,46.6,37,83.6,1.44,1.09,2.53,1.37,2.46
Sporting KC,29,28.7,52.6,34,374,3060,34,46,29,40,6,9,74,7,1.35,0.85,2.21,1.18,2.03,57.9,51.1,35,86.1,1.7,1.03,2.73,1.5,2.53
Toronto FC,29,27.8,54,34,374,3060,34,57,39,52,5,7,50,3,1.68,1.15,2.82,1.53,2.68,48.1,42.8,33.2,76,1.41,0.98,2.39,1.26,2.24
Vancouver,26,26,45.1,34,374,3060,34,37,22,32,5,7,61,1,1.09,0.65,1.74,0.94,1.59,34.5,29.2,21,50.2,1.01,0.62,1.63,0.86,1.48
