,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
0,2018-04-22,Sun,MLS,Regular Season,Home,W 3–0,Portland Timbers,NYCFC,Y,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,6,18,33.3,17,3,76.5,54.0,8,62.5,45.9,12,1,8.3,0,9.6,Match Report,4277b946,W,2018,True
1,2018-05-05,Sat,MLS,Regular Season,Away,W 1–0,Portland Timbers,San Jose,Y,GK,90,4,0,4,100.0,1,0.6,0,0,0,0,12,17,70.6,29,14,34.5,35.6,7,100.0,56.9,10,1,10.0,1,13.9,Match Report,4277b946,W,2018,True
2,2018-05-13,Sun,MLS,Regular Season,Home,W 1–0,Portland Timbers,Seattle,Y,GK,90,1,0,1,100.0,1,0.2,0,0,0,0,5,14,35.7,20,8,50.0,38.5,8,50.0,41.9,5,1,20.0,0,10.9,Match Report,4277b946,W,2018,True
3,2018-05-19,Sat,MLS,Regular Season,Home,W 2–1,Portland Timbers,Los Angeles FC,Y,GK,90,5,1,4,80.0,0,1.7,0,0,0,0,6,19,31.6,18,7,61.1,46.9,9,88.9,62.2,14,2,14.3,1,16.0,Match Report,4277b946,W,2018,True
4,2018-05-26,Sat,MLS,Regular Season,Away,W 3–2,Portland Timbers,Colorado Rapids,Y,GK,90,4,2,4,75.0,0,2.0,1,1,0,0,7,25,28.0,32,7,46.9,41.3,10,100.0,65.1,15,3,20.0,1,16.2,Match Report,4277b946,W,2018,True
5,2018-06-02,Sat,MLS,Regular Season,Home,D 1–1,Portland Timbers,LA Galaxy,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,5,15,33.3,19,5,36.8,38.7,11,72.7,53.5,7,0,0.0,1,15.6,Match Report,4277b946,D,2018,True
6,2018-06-09,Sat,MLS,Regular Season,Home,D 0–0,Portland Timbers,Sporting KC,Y,GK,90,4,0,4,100.0,1,0.3,0,0,0,0,9,18,50.0,21,7,42.9,37.8,11,81.8,55.4,16,2,12.5,0,9.5,Match Report,4277b946,D,2018,True
7,2018-06-24,Sun,MLS,Regular Season,Away,D 1–1,Portland Timbers,Atlanta Utd,Y,GK,90,9,1,8,88.9,0,3.2,0,0,0,0,10,26,38.5,21,9,71.4,51.0,11,100.0,66.2,23,1,4.3,0,10.8,Match Report,4277b946,D,2018,True
8,2018-06-30,Sat,MLS,Regular Season,Away,W 3–2,Portland Timbers,Seattle,Y,GK,90,5,2,3,60.0,0,1.7,0,0,0,0,6,22,27.3,22,6,59.1,44.4,10,90.0,57.9,13,1,7.7,1,10.3,Match Report,4277b946,W,2018,True
9,2018-07-07,Sat,MLS,Regular Season,Home,W 2–1,Portland Timbers,San Jose,Y,GK,90,3,1,2,66.7,0,0.7,0,0,0,0,10,17,58.8,26,7,46.2,43.6,5,100.0,68.2,8,0,0.0,0,8.3,Match Report,4277b946,W,2018,True
10,2018-07-15,Sun,MLS,Regular Season,Away,D 0–0,Portland Timbers,Los Angeles FC,Y,GK,90,6,0,6,100.0,1,0.9,0,0,0,0,6,20,30.0,23,9,52.2,39.2,8,100.0,65.6,12,1,8.3,0,12.7,Match Report,4277b946,D,2018,True
11,2018-07-21,Sat,MLS,Regular Season,Home,D 2–2,Portland Timbers,Montreal Impact,Y,GK,90,2,2,0,0.0,0,0.4,0,0,0,0,8,13,61.5,15,5,40.0,33.7,11,63.6,48.7,6,0,0.0,0,16.2,Match Report,4277b946,D,2018,True
12,2018-07-28,Sat,MLS,Regular Season,Home,W 2–1,Portland Timbers,Houston Dynamo,Y,GK,90,3,1,2,66.7,0,1.4,0,0,0,0,5,11,45.5,16,3,37.5,37.1,7,71.4,50.3,5,0,0.0,0,14.0,Match Report,4277b946,W,2018,True
13,2018-08-04,Sat,MLS,Regular Season,Home,W 3–0,Portland Timbers,Philadelphia,Y,GK,90,3,0,3,100.0,1,0.6,0,0,0,0,9,19,47.4,27,6,51.9,43.6,6,83.3,61.0,11,3,27.3,1,19.3,Match Report,4277b946,W,2018,False
14,2018-08-11,Sat,MLS,Regular Season,Home,L 1–2,Portland Timbers,Vancouver,Y,GK,90,6,2,4,66.7,0,1.7,0,0,0,0,4,8,50.0,26,10,15.4,29.7,8,50.0,36.1,8,2,25.0,4,21.2,Match Report,4277b946,L,2018,False
15,2018-08-15,Wed,MLS,Regular Season,Away,L 1–4,Portland Timbers,D.C. United,Y,GK,90,5,4,1,20.0,0,2.6,0,0,0,0,5,15,33.3,17,4,47.1,37.9,7,100.0,63.0,6,1,16.7,0,10.6,Match Report,4277b946,L,2018,False
16,2018-08-18,Sat,MLS,Regular Season,Away,L 0–3,Portland Timbers,Sporting KC,Y,GK,90,10,3,7,70.0,0,2.3,0,0,0,0,10,20,50.0,16,6,37.5,34.8,16,87.5,61.3,6,1,16.7,1,19.8,Match Report,4277b946,L,2018,False
17,2018-08-26,Sun,MLS,Regular Season,Home,L 0–1,Portland Timbers,Seattle,Y,GK,90,2,1,2,50.0,0,0.1,0,0,0,0,6,9,66.7,25,12,12.0,32.9,7,85.7,53.0,10,2,20.0,2,17.4,Match Report,4277b946,L,2018,False
