,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
12,Ali Adnan Kadhim,iq IRQ,DFMF,Vancouver,26,1993,22,20,1767,19.6,2,4,2,0,0,2,0,0.1,0.2,0.31,0.1,0.31,0.5,0.5,3.5,4.1,0.03,0.18,0.21,0.03,0.21,Matches,06050480
13,Harrison Afful,gh GHA,DF,Columbus Crew,33,1986,21,20,1796,20,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,0.3,0.3,1.4,1.7,0.02,0.07,0.09,0.02,0.09,Matches,7d8ede09
14,Juan Agudelo,us USA,FWMF,Inter Miami,27,1992,14,9,845,9.4,3,0,3,0,0,4,1,0.32,0,0.32,0.32,0.32,3,3,0.6,3.6,0.32,0.06,0.38,0.32,0.38,Matches,0cb2115f
15,Matheus Aiás,br BRA,FWMF,Orlando City,23,1996,4,0,20,0.2,1,0,1,0,0,0,0,4.5,0,4.5,4.5,4.5,0.1,0.1,0,0.1,0.62,0,0.62,0.62,0.62,Matches,3ac4ee49
16,José Aja,uy URU,DF,Minnesota Utd,26,1993,13,12,1070,11.9,1,0,1,0,0,6,0,0.08,0,0.08,0.08,0.08,1.1,1.1,0.6,1.7,0.09,0.05,0.14,0.09,0.14,Matches,d47341b9
17,Jacob Akanyirige,us USA,DF,San Jose,18,2001,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,760e85e2
18,Tesho Akindele,ca CAN,FW,Orlando City,27,1992,17,8,822,9.1,3,0,3,0,0,0,0,0.33,0,0.33,0.33,0.33,2.6,2.6,0.9,3.4,0.28,0.1,0.38,0.28,0.38,Matches,897304e5
19,Ayo Akinola,ca CAN,FW,Toronto FC,20,2000,15,11,1060,11.8,9,0,9,0,0,1,0,0.76,0,0.76,0.76,0.76,8.1,8.1,0.3,8.4,0.69,0.02,0.71,0.69,0.71,Matches,214d2406
20,Oswaldo Alanís,mx MEX,DF,San Jose,30,1989,14,14,1188,13.2,2,0,2,0,0,1,0,0.15,0,0.15,0.15,0.15,0.7,0.7,0,0.7,0.05,0,0.05,0.05,0.05,Matches,e97787d9
21,Fatai Alashe,us USA,MF,FC Cincinnati,26,1993,3,0,27,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eb67fa0a
22,Fatai Alashe,us USA,MF,Columbus Crew,26,1993,8,6,436,4.8,1,0,1,0,0,2,0,0.21,0,0.21,0.21,0.21,0.7,0.7,0.2,0.8,0.14,0.03,0.17,0.14,0.17,Matches,eb67fa0a
23,Ignacio Aliseda,ar ARG,FWMF,Chicago Fire,19,2000,20,16,1399,15.5,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,2.4,2.4,1.8,4.2,0.15,0.12,0.27,0.15,0.27,Matches,bb8099ee
24,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,34,1985,10,9,750,8.3,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.02,0.04,0.06,0.02,0.06,Matches,8449bfda
25,Jozy Altidore,us USA,FWMF,Toronto FC,30,1989,13,10,744,8.3,2,0,2,0,0,3,0,0.24,0,0.24,0.24,0.24,4,4,0.8,4.8,0.49,0.1,0.58,0.49,0.58,Matches,8db8ad1e
26,Alexander Alvarado,ec ECU,FWMF,Orlando City,20,1999,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7302ba2b
27,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,16,6,724,8,1,1,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,1.8,1.8,1.9,3.8,0.23,0.24,0.47,0.23,0.47,Matches,3cd08ab7
28,Luis Amarilla,py PAR,FW,Minnesota Utd,24,1995,7,5,423,4.7,2,1,2,0,1,2,0,0.43,0.21,0.64,0.43,0.64,2.4,1.7,0.1,1.7,0.52,0.02,0.53,0.35,0.37,Matches,fa66adb6
29,Frankie Amaya,us USA,MF,FC Cincinnati,19,2000,21,21,1733,19.3,1,0,1,0,0,7,0,0.05,0,0.05,0.05,0.05,1.2,1.2,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches,2e8bd00c
30,Mikey Ambrose,us USA,DF,Inter Miami,26,1993,6,3,304,3.4,1,0,1,0,0,0,0,0.3,0,0.3,0.3,0.3,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches,f649d6aa
31,José Andrés Martínez,ve VEN,MF,Philadelphia,25,1994,14,14,1143,12.7,0,2,0,0,0,7,0,0,0.16,0.16,0,0.16,0.4,0.4,1.1,1.5,0.03,0.08,0.12,0.03,0.12,Matches,c8364e8e
32,Jalil Anibaba,us USA,DF,Nashville,31,1988,12,6,588,6.5,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05,Matches,e44593b0
33,Brian Anunga,cm CMR,MF,Nashville,23,1996,14,8,780,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.2,0.01,0,0.02,0.01,0.02,Matches,17b28ec7
34,Julian Araujo,mx MEX,DFFW,LA Galaxy,18,2001,17,17,1290,14.3,1,2,1,0,0,7,2,0.07,0.14,0.21,0.07,0.21,0.6,0.6,1.5,2.1,0.04,0.11,0.15,0.04,0.15,Matches,8f4541c2
35,Luis Argudo,us USA,MF,Inter Miami,24,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,71e5d21d
36,Daniel Armando Ríos,mx MEX,FW,Nashville,24,1995,18,8,701,7.8,4,0,4,0,0,0,0,0.51,0,0.51,0.51,0.51,3.7,3.7,0.7,4.4,0.48,0.09,0.57,0.48,0.57,Matches,078b2c07
37,Xavier Arreaga,ec ECU,DF,Seattle,25,1994,14,13,1146,12.7,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,0.4,0.4,0.4,0.8,0.03,0.03,0.07,0.03,0.07,Matches,7f2b7640
38,Paul Arriola,us USA,MF,D.C. United,24,1995,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.82,0,0.82,0.82,0.82,Matches,1bb2acce
39,Artur,br BRA,MF,Columbus Crew,23,1996,22,20,1831,20.3,2,2,2,0,0,3,0,0.1,0.1,0.2,0.1,0.2,0.9,0.9,0.7,1.6,0.04,0.03,0.08,0.04,0.08,Matches,ea6803c7
40,Yamil Asad,ar ARG,MFFW,D.C. United,25,1994,23,18,1576,17.5,3,2,1,2,2,5,0,0.17,0.11,0.29,0.06,0.17,2.7,1.2,1.3,2.5,0.16,0.08,0.23,0.07,0.15,Matches,a444689a
41,Dairon Asprilla,co COL,FWMF,Portland Timbers,27,1992,3,0,49,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.58,0,0.58,0.58,0.58,Matches,218d336c
42,Joshua Atencio,us USA,MFDF,Seattle,18,2002,5,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1f084637
43,Jeff Attinella,us USA,GK,Portland Timbers,31,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4277b946
44,Eduard Atuesta,co COL,MF,Los Angeles FC,22,1997,17,14,1326,14.7,1,2,0,1,1,3,0,0.07,0.14,0.2,0,0.14,2.3,1.5,1.9,3.4,0.15,0.13,0.28,0.1,0.23,Matches,60990b81
45,Auro,br BRA,DF,Toronto FC,24,1996,18,17,1493,16.6,0,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,2.4,2.7,0.01,0.15,0.16,0.01,0.16,Matches,b234cb0e
46,Micheal Azira,ug UGA,MF,Chicago Fire,32,1987,6,1,129,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,87c0db23
47,Dominique Badji,sn SEN,FW,Nashville,27,1992,12,10,743,8.3,1,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,2.4,2.4,0.9,3.3,0.29,0.11,0.4,0.29,0.4,Matches,758ac389
48,Zico Bailey,us USA,DF,FC Cincinnati,19,2000,5,3,294,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.4,0.01,0.1,0.11,0.01,0.11,Matches,aa9e1161
49,Theo Bair,ca CAN,FWMF,Vancouver,20,1999,16,6,445,4.9,1,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0.3,0.3,0.1,0.5,0.07,0.03,0.1,0.07,0.1,Matches,c724745e
50,Corey Baird,us USA,FWMF,Real Salt Lake,24,1996,21,17,1528,17,2,2,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24,3.4,3.4,1.9,5.3,0.2,0.11,0.31,0.2,0.31,Matches,2d0d1442
51,Michael Baldisimo,ca CAN,MF,Vancouver,19,2000,13,7,705,7.8,1,0,1,0,0,5,0,0.13,0,0.13,0.13,0.13,0.1,0.1,0.4,0.6,0.02,0.06,0.07,0.02,0.07,Matches,894b41c5
52,Ezequiel Barco,ar ARG,FWMF,Atlanta Utd,20,1999,15,11,1033,11.5,2,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,3.6,2.8,0.7,3.5,0.31,0.06,0.37,0.25,0.3,Matches,7fa737c4
53,Tom Barlow,us USA,FW,NY Red Bulls,24,1995,21,12,973,10.8,3,0,3,0,0,0,0,0.28,0,0.28,0.28,0.28,6.7,6.7,0.5,7.2,0.62,0.05,0.67,0.62,0.67,Matches,da4821de
54,Álvaro Barreal,ar ARG,FW,FC Cincinnati,19,2000,5,4,324,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,Matches,ffca53e1
55,Michael Barrios,co COL,FW,FC Dallas,28,1991,21,19,1675,18.6,1,3,1,0,0,5,0,0.05,0.16,0.21,0.05,0.21,4.2,4.2,4.6,8.8,0.23,0.25,0.47,0.23,0.47,Matches,df782c79
56,Cole Bassett,us USA,MF,Colorado Rapids,18,2001,14,12,979,10.9,5,5,5,0,0,1,0,0.46,0.46,0.92,0.46,0.92,2.7,2.7,1.7,4.5,0.25,0.16,0.41,0.25,0.41,Matches,2c8da8a1
57,Clement Bayiha,ca CAN,DFFW,Montreal Impact,20,1999,4,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,ca9f2034
58,Tanner Beason,us USA,DF,San Jose,22,1997,9,9,810,9,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,Matches,3f1b018e
59,Brayan Beckeles,hn HON,DF,Nashville,34,1985,2,1,72,0.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5a19e4b8
60,Kyle Beckerman,us USA,MF,Real Salt Lake,37,1982,10,5,390,4.3,0,0,0,0,0,5,1,0,0,0,0,0,0.3,0.3,0.1,0.4,0.07,0.03,0.1,0.07,0.1,Matches,3485cb96
61,Alejandro Bedoya,us USA,MF,Philadelphia,32,1987,21,21,1827,20.3,3,2,3,0,0,9,0,0.15,0.1,0.25,0.15,0.25,2.4,2.4,4.1,6.5,0.12,0.2,0.32,0.12,0.32,Matches,9a6f8dfd
62,George Bello,us USA,DF,Atlanta Utd,18,2002,20,19,1643,18.3,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.6,0.6,0.6,1.2,0.04,0.03,0.07,0.04,0.07,Matches,aca0a525
63,Jordan Bender,us USA,MFFW,Orlando City,18,2001,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0.05,0.12,0.06,0.12,Matches,c4a74a57
64,Joe Bendik,us USA,GK,Philadelphia,30,1989,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c3e50b67
65,Nicolas Benezet,fr FRA,FWMF,Colorado Rapids,28,1991,12,5,492,5.5,0,1,0,0,0,1,0,0,0.18,0.18,0,0.18,0.5,0.5,1.7,2.2,0.09,0.32,0.41,0.09,0.41,Matches,30395d3b
66,Sebastian Berhalter,us USA,MF,Columbus Crew,18,2001,9,4,397,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches,f33ee427
67,Robert Beri?,si SVN,FW,Chicago Fire,28,1991,23,22,1926,21.4,12,1,11,1,2,1,0,0.56,0.05,0.61,0.51,0.56,10.1,8.6,2,10.6,0.47,0.09,0.57,0.4,0.49,Matches,9001138b
68,Matt Besler,us USA,DF,Sporting KC,32,1987,10,9,810,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8393a973
69,Nick Besler,us USA,MFDF,Real Salt Lake,26,1993,12,6,570,6.3,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.4,0,0.5,0.11,0,0.12,0.07,0.07,Matches,cc9fa1a8
70,Janio Bikel,gw GNB,MFDF,Vancouver,24,1995,12,12,944,10.5,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7d944245
71,Noah Billingsley,nz NZL,DF,Minnesota Utd,22,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6bacc3bd
72,David Bingham,us USA,GK,LA Galaxy,30,1989,18,18,1620,18,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0,0,0.1,0.1,0,0,0,0,0,Matches,7fd42a85
73,Luis Binks,eng ENG,DF,Montreal Impact,18,2001,21,20,1763,19.6,0,0,0,0,0,7,1,0,0,0,0,0,0.8,0.8,0.6,1.4,0.04,0.03,0.07,0.04,0.07,Matches,36e88fbc
74,Steve Birnbaum,us USA,DF,D.C. United,29,1991,10,10,900,10,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,Matches,26637ac8
75,José Bizama,cl CHI,DF,Houston Dynamo,25,1994,8,6,569,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.4,1,0.09,0.07,0.16,0.09,0.16,Matches,fbcb25ab
76,Tristan Blackmon,us USA,DF,Los Angeles FC,23,1996,14,11,978,10.9,0,0,0,0,0,2,0,0,0,0,0,0,0.9,0.9,0.5,1.4,0.09,0.05,0.13,0.09,0.13,Matches,7f35d14e
77,Andre Blake,jm JAM,GK,Philadelphia,29,1990,21,21,1889,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b3b21a11
78,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,31,1988,9,8,664,7.4,2,4,2,0,0,1,0,0.27,0.54,0.81,0.27,0.81,1.7,1.7,2.2,3.9,0.23,0.3,0.52,0.23,0.52,Matches,4ddd0834
79,Latif Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,21,18,1721,19.1,1,2,1,0,0,4,0,0.05,0.1,0.16,0.05,0.16,3,3,2,5.1,0.16,0.11,0.26,0.16,0.26,Matches,5153d32e
80,Emmanuel Boateng,gh GHA,FWMF,Columbus Crew,26,1994,10,3,328,3.6,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.14,0.07,0.22,0.14,0.22,Matches,25f77a5f
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,20,1999,12,10,882,9.8,0,1,0,0,0,4,0,0,0.1,0.1,0,0.1,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09,Matches,da23cdc3
82,Alex Bono,us USA,GK,Toronto FC,25,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aa28a396
83,Jonathan Bornstein,us USA,DF,Chicago Fire,35,1984,20,13,1142,12.7,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,0.2,0.2,1.1,1.3,0.02,0.09,0.11,0.02,0.11,Matches,79a6c95f
84,Gustavo Bou,ar ARG,MFFW,New England,29,1990,18,14,1330,14.8,5,1,5,0,0,0,0,0.34,0.07,0.41,0.34,0.41,5,5,3.3,8.3,0.34,0.22,0.56,0.34,0.56,Matches,3dfcc735
85,Michael Boxall,nz NZL,DF,Minnesota Utd,31,1988,19,19,1710,19,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0.04,0,0.04,0.04,0.04,Matches,6bfa0d3a
86,Michael Bradley,us USA,MF,Toronto FC,32,1987,12,11,1061,11.8,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.07,0.03,0.1,0.07,0.1,Matches,fd5e3a73
87,Zachary Brault-Guillard,ca CAN,DF,Montreal Impact,21,1998,21,19,1787,19.9,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,2,2.3,0.02,0.1,0.12,0.02,0.12,Matches,948a58c2
88,Bressan,br BRA,DF,FC Dallas,27,1993,18,11,1173,13,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches,3db1684c
89,Frédéric Brillant,fr FRA,DF,D.C. United,34,1985,19,18,1680,18.7,2,0,2,0,0,5,1,0.11,0,0.11,0.11,0.11,0.5,0.5,0,0.5,0.03,0,0.03,0.03,0.03,Matches,5b14180f
90,Brandt Bronico,us USA,DFMF,Chicago Fire,24,1995,10,3,280,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0.01,0.07,0.06,0.07,Matches,bd4460b1
91,Will Bruin,us USA,FWMF,Seattle,30,1989,15,5,564,6.3,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,2.3,2.3,0.6,2.9,0.36,0.1,0.47,0.36,0.47,Matches,87a6ac29
92,Tajon Buchanan,ca CAN,FWDF,New England,20,1999,23,11,1087,12.1,2,2,2,0,0,1,0,0.17,0.17,0.33,0.17,0.33,2.9,2.9,1.7,4.6,0.24,0.14,0.38,0.24,0.38,Matches,3aca6420
93,Adam Buksa,pl POL,FW,New England,23,1996,23,16,1500,16.7,6,1,6,0,1,4,0,0.36,0.06,0.42,0.36,0.42,6.8,5.8,2,7.7,0.41,0.12,0.53,0.35,0.46,Matches,3b676989
94,Teal Bunbury,us USA,FWMF,New England,29,1990,22,19,1458,16.2,8,1,8,0,0,3,0,0.49,0.06,0.56,0.49,0.56,5.1,5.1,1.6,6.7,0.31,0.1,0.41,0.31,0.41,Matches,3077fce8
95,Cory Burke,jm JAM,FW,Philadelphia,28,1991,5,0,115,1.3,2,0,2,0,0,0,0,1.57,0,1.57,1.57,1.57,1.4,1.4,0,1.4,1.07,0,1.07,1.07,1.07,Matches,39fde61c
96,Evan Bush,us USA,GK,Vancouver,33,1986,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69a57596
97,Gianluca Busio,us USA,MFFW,Sporting KC,17,2002,19,15,1272,14.1,1,3,1,0,0,5,0,0.07,0.21,0.28,0.07,0.28,1.7,1.7,1.8,3.5,0.12,0.13,0.25,0.12,0.25,Matches,4a0b7f07
98,Alexander Büttner,nl NED,DF,New England,30,1989,17,15,1248,13.9,0,3,0,0,0,0,0,0,0.22,0.22,0,0.22,0.4,0.4,1.7,2.1,0.03,0.12,0.15,0.03,0.15,Matches,a44f7c60
99,Handwalla Bwana,so SOM,FWMF,Seattle,22,1997,5,2,178,2,1,0,1,0,0,0,0,0.51,0,0.51,0.51,0.51,1,1,0.5,1.5,0.5,0.25,0.75,0.5,0.75,Matches,b56080ee
100,Handwalla Bwana,so SOM,FWMF,Nashville,22,1997,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25,Matches,b56080ee
101,Brandon Bye,us USA,DF,New England,24,1995,22,18,1636,18.2,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,1.1,1.1,3.3,4.3,0.06,0.18,0.24,0.06,0.24,Matches,9fcd12af
102,Víctor Cabrera,ar ARG,DF,Houston Dynamo,26,1993,10,8,654,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03,Matches,2332941c
103,Chris Cadden,sct SCO,DF,Columbus Crew,23,1996,8,3,354,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.06,0.06,0,0.06,Matches,25a40b06
104,Jhonder Cádiz,ve VEN,FW,Nashville,24,1995,7,0,224,2.5,2,0,2,0,0,0,0,0.8,0,0.8,0.8,0.8,1.7,1.7,0,1.7,0.66,0,0.66,0.66,0.66,Matches,e8edfdc9
105,Scott Caldwell,us USA,MF,New England,28,1991,18,15,1152,12.8,0,0,0,0,0,4,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches,4a54592d
106,Alexander Callens,pe PER,DF,NYCFC,27,1992,22,22,1934,21.5,2,0,2,0,0,6,0,0.09,0,0.09,0.09,0.09,1.1,1.1,0.1,1.2,0.05,0.01,0.06,0.05,0.06,Matches,af34f10d
107,Eric Calvillo,sv SLV,MFFW,San Jose,22,1998,6,1,189,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,0.2,0.02,0.22,0.2,0.22,Matches,f984f68b
108,Francisco Calvo,cr CRC,DF,Chicago Fire,27,1992,22,22,1909,21.2,1,1,1,0,0,6,1,0.05,0.05,0.09,0.05,0.09,1.5,1.5,0.1,1.6,0.07,0.01,0.08,0.07,0.08,Matches,706bd23f
109,Rudy Camacho,fr FRA,DFMF,Montreal Impact,28,1991,14,14,1188,13.2,1,0,1,0,0,2,1,0.08,0,0.08,0.08,0.08,0.4,0.4,0.2,0.5,0.03,0.01,0.04,0.03,0.04,Matches,6ad16d47
110,George Campbell,us USA,DF,Atlanta Utd,18,2001,1,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,45e1a597
111,Reggie Cannon,us USA,DF,FC Dallas,21,1998,5,5,450,5,0,1,0,0,0,1,0,0,0.2,0.2,0,0.2,0.2,0.2,0.5,0.6,0.03,0.09,0.12,0.03,0.12,Matches,ad9ffc7e
112,Russell Canouse,us USA,DFMF,D.C. United,24,1995,15,15,1233,13.7,2,0,2,0,0,7,1,0.15,0,0.15,0.15,0.15,0.5,0.5,0.2,0.7,0.03,0.02,0.05,0.03,0.05,Matches,ec730d9a
113,Antonio Carlos,br BRA,DF,Orlando City,26,1993,20,18,1636,18.2,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,1.5,1.5,0.3,1.8,0.08,0.02,0.1,0.08,0.1,Matches,949fe1e8
114,Julián Carranza,ar ARG,FW,Inter Miami,19,2000,16,5,548,6.1,2,0,2,0,0,3,0,0.33,0,0.33,0.33,0.33,1.8,1.8,0.2,2,0.29,0.04,0.34,0.29,0.34,Matches,3e9ae1db
115,Julio Cascante,cr CRC,DF,Portland Timbers,26,1993,5,4,405,4.5,1,0,1,0,0,0,0,0.22,0,0.22,0.22,0.22,0.4,0.4,0.1,0.5,0.09,0.02,0.1,0.09,0.1,Matches,cc120b4f
116,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,20,2000,19,14,1313,14.6,2,2,2,0,0,3,0,0.14,0.14,0.27,0.14,0.27,0.7,0.7,1.1,1.8,0.05,0.08,0.12,0.05,0.12,Matches,f86fe8c1
117,Valentín Castellanos,ar ARG,FW,NYCFC,21,1998,22,14,1344,14.9,6,2,4,2,2,7,0,0.4,0.13,0.54,0.27,0.4,9.7,8.2,2.3,10.6,0.65,0.16,0.81,0.55,0.71,Matches,da76bab4
118,Edgar Castillo,us USA,DF,Atlanta Utd,33,1986,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Matches,3cdde01b
119,Manuel Castro,uy URU,FWMF,Atlanta Utd,24,1995,10,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,0.26,0.07,0.33,0.26,0.33,Matches,654973c7
