,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Brenden Aaronson,us USA,MF,Philadelphia,19,2000,23,23,1904,21.2,4,4,4,0,0,0,0,0.19,0.19,0.38,0.19,0.38,5.1,5.1,2.7,7.8,0.24,0.13,0.37,0.24,0.37,Matches,5bc43860
2,Saad Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,8,5,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.01,0.01,0.03,0.01,0.03,Matches,4705543b
3,Mohammed Abu,gh GHA,MF,D.C. United,28,1991,6,4,333,3.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,c1f17b17
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,25,1994,17,17,1514,16.8,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches,4a67f05b
5,David Accam,gh GHA,FWMF,Nashville,29,1990,7,2,207,2.3,1,0,1,0,0,0,0,0.43,0,0.43,0.43,0.43,0.7,0.7,0.1,0.8,0.3,0.04,0.34,0.3,0.34,Matches,f5220ece
6,Nicolás Acevedo,uy URU,MFFW,NYCFC,20,1999,12,1,134,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6140be7b
7,Ifunanyachi Achara,us USA,MF,Toronto FC,22,1997,1,1,89,1,1,0,1,0,0,0,0,1.01,0,1.01,1.01,1.01,0.9,0.9,0.1,1,0.87,0.15,1.02,0.87,1.02,Matches,d31bf83e
8,Bryan Acosta,hn HON,MF,FC Dallas,26,1993,11,10,752,8.4,0,2,0,0,0,3,1,0,0.24,0.24,0,0.24,0.8,0.8,1.7,2.5,0.1,0.2,0.3,0.1,0.3,Matches,c5f400f4
9,Kellyn Acosta,us USA,MF,Colorado Rapids,24,1995,15,14,1146,12.7,2,1,2,0,0,5,0,0.16,0.08,0.24,0.16,0.24,3.2,3.2,1,4.1,0.25,0.08,0.32,0.25,0.32,Matches,ece10cfe
10,Mo Adams,eng ENG,MF,Atlanta Utd,23,1996,13,9,779,8.7,0,1,0,0,0,3,0,0,0.12,0.12,0,0.12,0,0,0.6,0.6,0,0.07,0.07,0,0.07,Matches,00362ef7
11,Fanendo Adi,ng NGA,FW,Columbus Crew,29,1990,11,1,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,0.22,0.02,0.24,0.22,0.24,Matches,ae2dd50a
