,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
500,Jayden Nelson,ca CAN,FWMF,Toronto FC,18,2002,7,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.12,0,0.12,0.12,0.12,Matches,92305a81
501,John Nelson,us USA,DF,FC Dallas,22,1998,10,6,555,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.08,0.08,0,0.08,Matches,df8c4d49
502,Michael Nelson,us USA,GK,Houston Dynamo,25,1995,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f4a12161
503,Jake Nerwinski,us USA,DF,Vancouver,26,1994,25,19,1721,19.1,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,0.8,0.8,0.2,1,0.04,0.01,0.05,0.04,0.05,Matches,2b5801d0
504,Michee Ngalina,cd COD,FW,Los Angeles FC,20,2000,2,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.25,0.19,0.44,0.25,0.44,Matches,9837830f
505,Jaros?aw Niezgoda,pl POL,FW,Portland Timbers,25,1995,13,3,257,2.9,3,1,3,0,0,0,0,1.05,0.35,1.4,1.05,1.4,1.4,1.4,0.7,2.1,0.48,0.24,0.72,0.48,0.72,Matches,60c659b6
506,Moses Nyeman,us USA,MF,D.C. United,17,2003,19,10,804,8.9,0,1,0,0,0,2,1,0,0.11,0.11,0,0.11,0.4,0.4,0.9,1.3,0.05,0.1,0.15,0.05,0.15,Matches,09d33255
507,Shane O'Neill,us USA,DF,Seattle,27,1993,27,19,1856,20.6,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.1,0.7,0.03,0.01,0.03,0.03,0.03,Matches,a62a56b4
508,Jáder Obrian,co COL,FW,FC Dallas,25,1995,34,25,2181,24.2,9,3,9,0,0,7,0,0.37,0.12,0.5,0.37,0.5,6.7,6.7,4.6,11.3,0.28,0.19,0.47,0.28,0.47,Matches,1471b2a8
509,David Ochoa,us USA,GK,Real Salt Lake,20,2001,25,25,2250,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dba6b279
510,Chris Odoi-Atsem,us USA,DF,D.C. United,25,1995,9,2,376,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.03,0.03,0.06,0.03,0.06,Matches,375ec69e
511,Chinonso Offor,ng NGA,FW,Chicago Fire,20,2000,34,11,1320,14.7,1,2,1,0,0,4,0,0.07,0.14,0.2,0.07,0.2,3.5,3.5,0.7,4.2,0.24,0.05,0.29,0.24,0.29,Matches,dc590664
512,Noble Okello,ca CAN,MF,Toronto FC,20,2000,14,10,852,9.5,0,1,0,0,0,1,1,0,0.11,0.11,0,0.11,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,6bc16162
513,Wyatt Omsberg,us USA,DF,Chicago Fire,25,1995,18,9,755,8.4,0,0,0,0,0,2,1,0,0,0,0,0,0.4,0.4,0.5,0.9,0.05,0.06,0.11,0.05,0.11,Matches,cd44ba68
514,Kwadwo Opoku,gh GHA,FW,Los Angeles FC,19,2001,4,2,250,2.8,0,1,0,0,0,0,0,0,0.36,0.36,0,0.36,0.2,0.2,1,1.2,0.09,0.36,0.45,0.09,0.45,Matches,226a288e
515,Arquimides Ordonez,gt GUA,FWDF,FC Cincinnati,17,2003,4,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.38,0.38,0,0.38,Matches,8941d9b2
516,Jonathan Osorio,ca CAN,MFFW,Toronto FC,28,1992,24,19,1650,18.3,4,2,4,0,0,2,0,0.22,0.11,0.33,0.22,0.33,4.3,4.3,2.2,6.5,0.23,0.12,0.35,0.23,0.35,Matches,70106ff6
517,Leonard Owusu,gh GHA,MF,Vancouver,23,1997,24,14,1063,11.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,a06c6c8a
518,Diego Palacios,ec ECU,DFMF,Los Angeles FC,21,1999,27,19,1756,19.5,0,2,0,0,0,2,0,0,0.1,0.1,0,0.1,0.7,0.7,2,2.7,0.03,0.1,0.14,0.03,0.14,Matches,6ec37f2e
519,James Pantemis,ca CAN,GK,CF Montréal,23,1997,18,18,1620,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,901408ac
520,Cristhian Paredes,py PAR,MF,Portland Timbers,22,1998,20,13,1184,13.2,3,2,3,0,0,6,0,0.23,0.15,0.38,0.23,0.38,2.7,2.7,0.7,3.3,0.2,0.05,0.25,0.2,0.25,Matches,0d8a2551
521,Kevin Paredes,us USA,DFFW,D.C. United,17,2003,24,19,1543,17.1,3,1,3,0,0,4,0,0.17,0.06,0.23,0.17,0.23,2.3,2.3,1.6,3.9,0.13,0.09,0.23,0.13,0.23,Matches,5c50fdbc
522,Isaiah Parente,us USA,MFFW,Columbus Crew,20,2000,6,2,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,6dbc74d6
523,Tim Parker,us USA,DF,Houston Dynamo,27,1993,34,34,3060,34,0,0,0,0,0,3,0,0,0,0,0,0,1.2,1.2,0.4,1.6,0.03,0.01,0.05,0.03,0.05,Matches,4988a44d
524,Keaton Parks,us USA,MF,NYCFC,23,1997,31,28,2437,27.1,4,1,4,0,0,3,2,0.15,0.04,0.18,0.15,0.18,2.3,2.3,2.7,5,0.09,0.1,0.19,0.09,0.19,Matches,77986763
525,Tyler Pasher,ca CAN,FW,Houston Dynamo,26,1994,19,9,847,9.4,4,2,4,0,0,0,0,0.43,0.21,0.64,0.43,0.64,1.8,1.8,2.2,4,0.19,0.24,0.42,0.19,0.42,Matches,3a7bec1b
526,Alexandre Pato,br BRA,FWMF,Orlando City,31,1989,4,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4,Matches,7dd83c7d
527,João Paulo Mior,br BRA,MF,Seattle,29,1991,31,28,2536,28.2,3,8,3,0,0,7,0,0.11,0.28,0.39,0.11,0.39,1.7,1.7,5.2,7,0.06,0.19,0.25,0.06,0.25,Matches,b96aa1d6
528,Jason Pendant,fr FRA,DF,NY Red Bulls,23,1997,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,22fe9049
529,Joshua Penn,us USA,FW,Inter Miami,20,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25,Matches,29c8decb
530,Ricardo Pepi,us USA,FW,FC Dallas,18,2003,31,24,2092,23.2,13,2,13,0,1,1,0,0.56,0.09,0.65,0.56,0.65,9.7,9,2.2,11.2,0.42,0.1,0.51,0.39,0.48,Matches,a2b1ed42
531,Andrés Perea,us USA,MFFW,Orlando City,20,2000,27,16,1736,19.3,2,0,2,0,0,3,1,0.1,0,0.1,0.1,0.1,2,2,1.3,3.4,0.11,0.07,0.17,0.11,0.17,Matches,7e1dbecf
532,Daniel Pereira,ve VEN,MF,Austin,20,2000,25,18,1557,17.3,0,0,0,0,0,7,0,0,0,0,0,0,0.7,0.7,1,1.7,0.04,0.06,0.1,0.04,0.1,Matches,b8862e65
533,Mauricio Pereyra,uy URU,MF,Orlando City,30,1990,29,26,2157,24,1,7,1,0,1,5,0,0.04,0.29,0.33,0.04,0.33,2.3,1.5,5.5,7,0.09,0.23,0.32,0.06,0.29,Matches,f45eb18d
534,Adrien Perez,us USA,FWMF,D.C. United,25,1995,17,10,869,9.7,0,2,0,0,0,0,0,0,0.21,0.21,0,0.21,2.6,2.6,1.6,4.2,0.27,0.16,0.43,0.27,0.43,Matches,298a167b
535,Jonathan Perez,mx MEX,FWDF,LA Galaxy,18,2003,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches,41e57408
536,Manny Perez,us USA,FWMF,Austin,21,1999,10,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,0.35,0.15,0.5,0.35,0.5,Matches,27162b95
537,Jordan Perruzza,ca CAN,FW,Toronto FC,20,2001,5,0,140,1.6,1,0,1,0,0,0,0,0.64,0,0.64,0.64,0.64,1,1,0,1,0.66,0,0.66,0.66,0.66,Matches,edc8791f
538,Tom Pettersson,se SWE,DF,FC Cincinnati,30,1990,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.2,0,0.2,0.2,0.2,Matches,c1268aa3
539,Fafà Picault,us USA,FWMF,Houston Dynamo,29,1991,31,29,2459,27.3,11,4,8,3,3,9,0,0.4,0.15,0.55,0.29,0.44,9.3,7,3,10,0.34,0.11,0.45,0.26,0.37,Matches,dbaa10c0
540,Samuel Piette,ca CAN,MF,CF Montréal,26,1994,25,19,1713,19,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,1.6,1.6,0.4,2,0.08,0.02,0.11,0.08,0.11,Matches,bc33c73b
541,Mauricio Pineda,us USA,DFMF,Chicago Fire,23,1997,29,28,2405,26.7,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.4,1.4,1,2.3,0.05,0.04,0.09,0.05,0.09,Matches,e0c17cde
542,Rodrigo Piñeiro,uy URU,MF,Nashville,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d2a78b5e
543,Donovan Pines,us USA,DF,D.C. United,22,1998,18,16,1383,15.4,0,0,0,0,0,2,0,0,0,0,0,0,1.2,1.2,0.2,1.4,0.08,0.02,0.09,0.08,0.09,Matches,7bd25363
544,Rodolfo Pizarro,mx MEX,FWMF,Inter Miami,26,1994,27,20,1693,18.8,3,4,3,0,0,3,0,0.16,0.21,0.37,0.16,0.37,2.9,2.9,1.6,4.6,0.16,0.09,0.24,0.16,0.24,Matches,4b49ed54
545,Tomas Pochettino,ar ARG,MFFW,Austin,24,1996,31,26,2221,24.7,2,1,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,3.9,3.9,2.3,6.2,0.16,0.09,0.25,0.16,0.25,Matches,fb36aa6b
546,Andy Polo,pe PER,FWMF,Portland Timbers,26,1994,4,3,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.09,0.09,0,0.09,Matches,d886b9b9
547,Matt Polster,us USA,MF,New England,27,1993,30,27,2277,25.3,2,0,2,0,0,7,0,0.08,0,0.08,0.08,0.08,1.2,1.2,1,2.2,0.05,0.04,0.09,0.05,0.09,Matches,d1d418f8
548,Paxton Pomykal,us USA,FWMF,FC Dallas,21,1999,31,18,1516,16.8,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.7,3.3,0.1,0.1,0.2,0.1,0.2,Matches,c1f0fb45
549,Justin Portillo,us USA,MF,Real Salt Lake,28,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b7aa9657
550,Noah Powder,tt TRI,DF,Real Salt Lake,22,1998,7,2,284,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.04,0.13,0.08,0.13,Matches,503561e4
551,Alvas Powell,jm JAM,DF,Philadelphia,26,1994,5,4,310,3.4,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.07,0.1,0.02,0.1,Matches,2f91124d
552,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,29,1991,19,14,1349,15,1,4,1,0,0,2,0,0.07,0.27,0.33,0.07,0.33,2.7,2.7,5.1,7.8,0.18,0.34,0.52,0.18,0.52,Matches,5e1280ff
553,Jack Price,eng ENG,MF,Colorado Rapids,28,1992,30,30,2531,28.1,0,12,0,0,0,9,0,0,0.43,0.43,0,0.43,0.6,0.6,4.9,5.5,0.02,0.17,0.19,0.02,0.19,Matches,6217c92d
554,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,18,2002,11,7,570,6.3,1,0,1,0,0,3,0,0.16,0,0.16,0.16,0.16,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches,acb3e899
555,Kacper Przyby?ko,pl POL,FW,Philadelphia,27,1993,34,29,2651,29.5,12,3,10,2,2,2,0,0.41,0.1,0.51,0.34,0.44,11.4,9.9,2.7,12.6,0.39,0.09,0.48,0.34,0.43,Matches,4c53a714
556,Alan Pulido,mx MEX,FW,Sporting KC,29,1991,21,15,1449,16.1,8,2,6,2,2,1,0,0.5,0.12,0.62,0.37,0.5,7.9,6.4,2.5,8.9,0.49,0.15,0.65,0.4,0.55,Matches,b3085df7
557,John Pulskamp,us USA,GK,Sporting KC,19,2001,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6b306c92
558,Roberto Pun?ec,hr CRO,DF,Sporting KC,29,1991,3,2,130,1.4,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,a97afc61
559,Andrew Putna,us USA,GK,Real Salt Lake,26,1994,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5ba8a3f3
560,Álvaro Quezada,us USA,DF,Los Angeles FC,21,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,621a4365
561,Facundo Quignon,ar ARG,MF,FC Dallas,27,1993,18,16,1335,14.8,0,0,0,0,0,2,0,0,0,0,0,0,1.3,1.3,0.6,1.9,0.09,0.04,0.13,0.09,0.13,Matches,5b33b84c
562,Darwin Quintero,co COL,MFFW,Houston Dynamo,33,1987,20,9,1019,11.3,3,2,2,1,1,2,0,0.26,0.18,0.44,0.18,0.35,4,3.3,3.4,6.6,0.36,0.3,0.65,0.29,0.59,Matches,0cc00553
563,Romell Quioto,hn HON,FW,CF Montréal,29,1991,19,14,1231,13.7,8,5,7,1,1,2,0,0.58,0.37,0.95,0.51,0.88,9.5,8.7,2.8,11.5,0.69,0.21,0.9,0.64,0.84,Matches,122e850d
564,Kaveh Rad,us USA,DF,Sporting KC,19,2001,5,2,246,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.08,0.08,0,0.08,Matches,ec7cb356
565,Jukka Raitala,fi FIN,DF,Minnesota Utd,32,1988,9,6,544,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,67b054d1
566,Christian Ramirez,us USA,FW,Houston Dynamo,29,1991,6,1,91,1,1,0,1,0,0,0,0,0.99,0,0.99,0.99,0.99,0.1,0.1,0,0.2,0.15,0.02,0.17,0.15,0.17,Matches,316d5521
567,Ryan Raposo,ca CAN,MFFW,Vancouver,21,1999,21,3,381,4.2,0,1,0,0,0,0,0,0,0.24,0.24,0,0.24,1,1,0.8,1.8,0.23,0.2,0.43,0.23,0.43,Matches,f006a9b3
568,Rayan Raveloson,mg MAD,MFDF,LA Galaxy,24,1997,22,22,1928,21.4,5,0,5,0,0,2,0,0.23,0,0.23,0.23,0.23,2.4,2.4,0.6,3,0.11,0.03,0.14,0.11,0.14,Matches,fb3236a7
569,Matthew Real,us USA,DFMF,Philadelphia,21,1999,8,1,151,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1c2c030a
570,Rodney Redes,py PAR,FWMF,Austin,20,2000,25,5,721,8,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,1.8,1.8,0.5,2.3,0.23,0.06,0.29,0.23,0.29,Matches,426c3982
571,Eric Remedi,ar ARG,MF,San Jose,25,1995,29,26,2360,26.2,0,0,0,0,0,13,0,0,0,0,0,0,0.3,0.3,1.2,1.5,0.01,0.05,0.06,0.01,0.06,Matches,38e2cbd6
572,Justin Rennicks,us USA,FW,New England,21,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0aaa1c04
573,Andrés Reyes,co COL,DF,NY Red Bulls,21,1999,19,17,1415,15.7,2,1,2,0,0,7,1,0.13,0.06,0.19,0.13,0.19,1.2,1.2,0.2,1.3,0.08,0.01,0.08,0.08,0.08,Matches,36ab14f5
574,Yordy Reyna,pe PER,FWMF,D.C. United,27,1993,18,8,941,10.5,4,1,4,0,0,2,0,0.38,0.1,0.48,0.38,0.48,3.3,3.3,0.9,4.2,0.32,0.08,0.4,0.32,0.4,Matches,eec316d9
575,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,25,1995,29,28,2381,26.5,5,4,4,1,1,8,1,0.19,0.15,0.34,0.15,0.3,5.6,4.9,8.8,13.7,0.21,0.33,0.55,0.18,0.52,Matches,614b26e3
576,Andrés Ricaurte,co COL,MF,FC Dallas,29,1991,26,9,984,10.9,1,2,1,0,0,5,0,0.09,0.18,0.27,0.09,0.27,1.5,1.5,2.4,3.9,0.14,0.22,0.35,0.14,0.35,Matches,4db5b8cb
577,Spencer Richey,us USA,GK,Seattle,28,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9178ea2
578,Tosaint Ricketts,ca CAN,FW,Vancouver,33,1987,14,0,185,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.15,0.18,0.33,0.15,0.33,Matches,54769358
579,Alexander Ring,fi FIN,MF,Austin,29,1991,31,31,2701,30,4,3,4,0,0,7,2,0.13,0.1,0.23,0.13,0.23,3.5,3.5,2.7,6.1,0.12,0.09,0.2,0.12,0.2,Matches,6c1221d6
580,Andrés Ríos,ar ARG,FWMF,San Jose,31,1989,31,8,960,10.7,0,0,0,0,0,3,0,0,0,0,0,0,2.4,2.4,1.1,3.5,0.23,0.1,0.33,0.23,0.33,Matches,f825bd33
581,Damien Rivera,us USA,MF,New England,18,2002,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2822f3dd
582,Nigel Robertha,nl NED,FWMF,D.C. United,22,1998,18,9,943,10.5,4,1,4,0,0,1,0,0.38,0.1,0.48,0.38,0.48,4.2,4.2,1.4,5.6,0.4,0.13,0.53,0.4,0.53,Matches,a94bad97
583,Miles Robinson,us USA,DF,Atlanta Utd,23,1997,26,25,2295,25.5,1,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,1.6,0.03,0.03,0.06,0.03,0.06,Matches,782a95d9
584,Robbie Robinson,us USA,FWMF,Inter Miami,22,1998,24,16,1369,15.2,4,0,4,0,0,5,0,0.26,0,0.26,0.26,0.26,5.1,5.1,1.1,6.2,0.34,0.07,0.41,0.34,0.41,Matches,e0dae99f
585,Tony Rocha,bz BLZ,MFFW,NYCFC,27,1993,5,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,2.25,0.1,2.34,2.25,2.34,Matches,85538cdd
586,Brian Rodríguez,uy URU,FWMF,Los Angeles FC,20,2000,15,13,1019,11.3,4,2,4,0,0,1,0,0.35,0.18,0.53,0.35,0.53,3.5,3.5,3.3,6.8,0.31,0.29,0.6,0.31,0.6,Matches,c86041d7
587,Memo Rodriguez,us USA,MFFW,Houston Dynamo,25,1995,31,18,1564,17.4,2,1,2,0,0,3,0,0.12,0.06,0.17,0.12,0.17,3.6,3.6,2.1,5.7,0.21,0.12,0.33,0.21,0.33,Matches,fc6c6b2b
588,Santiago Rodríguez,uy URU,FWMF,NYCFC,21,2000,21,11,985,10.9,3,0,3,0,0,1,0,0.27,0,0.27,0.27,0.27,3.9,3.9,1.1,4.9,0.35,0.1,0.45,0.35,0.45,Matches,86dff811
589,Alex Roldan,sv SLV,DF,Seattle,24,1996,29,26,2270,25.2,1,3,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,0.4,0.4,2.8,3.2,0.01,0.11,0.13,0.01,0.13,Matches,1255a82a
590,Cristian Roldan,us USA,MFFW,Seattle,25,1995,28,27,2358,26.2,6,5,6,0,0,1,0,0.23,0.19,0.42,0.23,0.42,6.3,6.3,5.6,11.9,0.24,0.21,0.45,0.24,0.45,Matches,48875649
591,Jhohan Romaña,co COL,DF,Austin,22,1998,25,19,1801,20,0,0,0,0,0,5,0,0,0,0,0,0,0.6,0.6,1.4,1.9,0.03,0.07,0.1,0.03,0.1,Matches,4e32c2d6
592,Tomas Romero,sv SLV,GK,Los Angeles FC,20,2000,18,18,1620,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3349dcba
593,David Romney,us USA,DF,Nashville,27,1993,33,33,2970,33,0,2,0,0,0,0,0,0,0.06,0.06,0,0.06,1.3,1.3,0.5,1.8,0.04,0.02,0.05,0.04,0.05,Matches,b7b6e781
594,Eloy Room,cw CUW,GK,Columbus Crew,31,1989,30,30,2700,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,6b33d86b
595,Joseph Rosales,hn HON,MFFW,Minnesota Utd,20,2000,6,0,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.06,0.02,0.06,Matches,6a29d06b
596,Andy Rose,au AUS,DF,Vancouver,30,1990,19,19,1646,18.3,2,0,2,0,0,1,0,0.11,0,0.11,0.11,0.11,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches,a16d3560
597,Oriol Rosell,es ESP,MF,Orlando City,28,1992,14,6,512,5.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,2a17ef3e
598,Keegan Rosenberry,us USA,DF,Colorado Rapids,27,1993,30,30,2666,29.6,2,0,2,0,0,2,0,0.07,0,0.07,0.07,0.07,1.1,1.1,0.6,1.7,0.04,0.02,0.06,0.04,0.06,Matches,f940c69e
599,Matheus Rossetto,br BRA,MF,Atlanta Utd,24,1996,21,15,1403,15.6,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.02,0.04,0.02,0.04,Matches,daf8c775
600,Diego Rossi,uy URU,FW,Los Angeles FC,22,1998,19,18,1653,18.4,6,1,5,1,1,2,0,0.33,0.05,0.38,0.27,0.33,9.1,8.3,1.6,10,0.5,0.09,0.58,0.45,0.54,Matches,a81dba8c
601,Kelyn Rowe,us USA,MFDF,Seattle,29,1991,34,24,2207,24.5,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.8,1.8,2.6,4.3,0.07,0.1,0.18,0.07,0.18,Matches,cf928adb
602,Daniel Royer,at AUT,FWMF,NY Red Bulls,30,1990,15,3,493,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,2.5,0.37,0.09,0.46,0.37,0.46,Matches,a92a4407
603,Ruan,br BRA,DF,Orlando City,25,1995,24,21,1884,20.9,2,4,2,0,0,1,0,0.1,0.19,0.29,0.1,0.29,1.6,1.6,3.8,5.4,0.08,0.18,0.26,0.08,0.26,Matches,f2665f7c
604,Rubio Rubin,gt GUA,FW,Real Salt Lake,24,1996,34,25,2233,24.8,8,5,8,0,0,0,0,0.32,0.2,0.52,0.32,0.52,9.8,9.8,3.6,13.4,0.39,0.15,0.54,0.39,0.54,Matches,9bad7100
605,Diego Rubio,cl CHI,FWMF,Colorado Rapids,27,1993,26,19,1656,18.4,5,4,5,0,1,7,0,0.27,0.22,0.49,0.27,0.49,5.9,5.2,3.7,8.9,0.32,0.2,0.52,0.28,0.48,Matches,3f082234
606,Raúl Ruidíaz,pe PER,FW,Seattle,30,1990,26,24,2147,23.9,17,0,13,4,5,5,0,0.71,0,0.71,0.54,0.54,15.4,11.7,1.8,13.5,0.65,0.08,0.72,0.49,0.56,Matches,7a4296e1
607,Pablo Ruíz,ar ARG,MF,Real Salt Lake,22,1998,29,24,2054,22.8,0,2,0,0,0,7,0,0,0.09,0.09,0,0.09,1.3,1.3,1.9,3.2,0.06,0.08,0.14,0.06,0.14,Matches,7368cd70
608,Albert Rusnák,sk SVK,MFFW,Real Salt Lake,26,1994,34,34,3043,33.8,11,7,8,3,3,6,0,0.33,0.21,0.53,0.24,0.44,8.2,5.9,7.2,13.1,0.24,0.21,0.45,0.17,0.39,Matches,0adeafaa
609,Johnny Russell,sct SCO,FW,Sporting KC,30,1990,30,26,2221,24.7,15,7,12,3,3,1,0,0.61,0.28,0.89,0.49,0.77,9.1,6.8,6.1,12.9,0.37,0.25,0.62,0.28,0.52,Matches,a30e1562
610,Shea Salinas,us USA,DFFW,San Jose,34,1986,27,14,1395,15.5,0,2,0,0,0,3,0,0,0.13,0.13,0,0.13,2.5,2.5,1.9,4.3,0.16,0.12,0.28,0.16,0.28,Matches,4c10838d
611,Dániel Sallói,hu HUN,FW,Sporting KC,24,1996,30,26,2453,27.3,16,7,16,0,0,4,0,0.59,0.26,0.84,0.59,0.84,11.3,11.3,4.7,16,0.41,0.17,0.59,0.41,0.59,Matches,6fcddf5f
612,Ilie Sánchez,es ESP,DFMF,Sporting KC,30,1990,30,27,2508,27.9,1,0,1,0,0,6,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0.3,1.4,0.04,0.01,0.05,0.04,0.05,Matches,72979f65
613,James Sands,us USA,DFMF,NYCFC,20,2000,26,26,2257,25.1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.4,0.5,0,0.02,0.02,0,0.02,Matches,dccd127f
614,Sergio Santos Gomes,br BRA,FWMF,Philadelphia,26,1994,26,17,1363,15.1,6,1,6,0,0,5,0,0.4,0.07,0.46,0.4,0.46,6.7,6.7,3.6,10.3,0.45,0.24,0.68,0.45,0.68,Matches,a930b263
615,Pedro Santos,pt POR,FWDF,Columbus Crew,32,1988,32,30,2553,28.4,4,6,2,2,3,5,0,0.14,0.21,0.35,0.07,0.28,5.7,3.4,3,6.4,0.2,0.1,0.31,0.12,0.22,Matches,789da0f2
616,C.J. Sapong,us USA,FW,Nashville,32,1988,33,27,2207,24.5,12,4,12,0,0,1,0,0.49,0.16,0.65,0.49,0.65,9.4,9.4,3.9,13.3,0.38,0.16,0.54,0.38,0.54,Matches,ef4e4c5d
617,Rodrigo Schlegel,ar ARG,DF,Orlando City,23,1997,23,16,1571,17.5,0,0,0,0,0,6,0,0,0,0,0,0,0.3,0.3,0,0.4,0.02,0,0.02,0.02,0.02,Matches,5bb02df4
618,Szabolcs Schön,hu HUN,FW,FC Dallas,20,2000,24,9,950,10.6,0,6,0,0,0,5,0,0,0.57,0.57,0,0.57,2.7,2.7,1.2,3.9,0.26,0.11,0.37,0.26,0.37,Matches,d5ff481a
