,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
435,Jimmy Maurer,us USA,GK,FC Dallas,32,1988,24,24,2130,23.7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ca1c6f3d
436,José Mauri,it ITA,MF,Sporting KC,24,1996,9,8,603,6.7,1,1,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,0.1,0.1,0.2,0.3,0.02,0.03,0.05,0.02,0.05,Matches,644faf10
437,Chris Mavinga,cd COD,DF,Toronto FC,29,1991,22,21,1674,18.6,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,0.1,0.7,0.04,0,0.04,0.04,0.04,Matches,fda36cfb
438,Olivier Mbaizo,cm CMR,DF,Philadelphia,23,1997,30,28,2484,27.6,0,3,0,0,0,7,0,0,0.11,0.11,0,0.11,0.2,0.2,2.9,3.1,0.01,0.11,0.11,0.01,0.11,Matches,f6315619
439,John McCarthy,us USA,GK,Inter Miami,28,1992,13,12,1141,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,249362e9
440,Dax McCarty,us USA,MF,Nashville,33,1987,28,24,2063,22.9,0,2,0,0,0,6,1,0,0.09,0.09,0,0.09,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08,Matches,b74e58c0
441,Jack McGlynn,us USA,MF,Philadelphia,17,2003,19,7,638,7.1,0,1,0,0,0,0,0,0,0.14,0.14,0,0.14,0.7,0.7,2.1,2.8,0.1,0.3,0.4,0.1,0.4,Matches,e2b8c25c
442,Zac McGraw,us USA,DF,Portland Timbers,23,1997,11,2,282,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0,0.1,0.1,0.1,Matches,83129dc7
443,Justin McMaster,jm JAM,FWMF,Minnesota Utd,21,1999,7,0,134,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0.3,0.3,0.6,0.9,0.18,0.4,0.58,0.18,0.58,Matches,7256a113
444,Thomas McNamara,us USA,MF,New England,29,1991,32,21,1967,21.9,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,2.7,2.7,1.6,4.2,0.12,0.07,0.19,0.12,0.19,Matches,ab36595d
445,Jesús Medina,py PAR,FWMF,NYCFC,23,1997,33,27,2254,25,9,2,9,0,0,8,0,0.36,0.08,0.44,0.36,0.44,8.5,8.5,4.5,13,0.34,0.18,0.52,0.34,0.52,Matches,7c4628c4
446,Álvaro Medrán,es ESP,MF,Chicago Fire,26,1994,32,26,2285,25.4,3,6,3,0,0,5,0,0.12,0.24,0.35,0.12,0.35,2.8,2.8,5.5,8.3,0.11,0.22,0.33,0.11,0.33,Matches,31223bcf
447,Jimmy Medranda,co COL,DFMF,Seattle,26,1994,25,15,1293,14.4,4,3,4,0,0,2,0,0.28,0.21,0.49,0.28,0.49,1.5,1.5,2.9,4.4,0.1,0.2,0.3,0.1,0.3,Matches,6f7ac622
448,Haris Medunjanin,ba BIH,MF,FC Cincinnati,35,1985,29,18,1548,17.2,3,0,3,0,0,1,0,0.17,0,0.17,0.17,0.17,0.7,0.7,1.7,2.5,0.04,0.1,0.14,0.04,0.14,Matches,de5d5d41
449,Phelipe Megiolaro,br BRA,GK,FC Dallas,21,1999,11,10,930,10.3,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,0,0,0.4,0.4,0,0.04,0.04,0,0.04,Matches,73aaa27d
450,Tim Melia,us USA,GK,Sporting KC,34,1986,28,28,2520,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches,cc741f50
451,Jhegson Méndez,ec ECU,MF,Orlando City,23,1997,17,15,1188,13.2,1,0,1,0,0,6,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.2,0.7,0.04,0.02,0.05,0.04,0.05,Matches,db0c5324
452,Jonathan Mensah,gh GHA,DF,Columbus Crew,30,1990,29,28,2538,28.2,2,0,2,0,0,5,0,0.07,0,0.07,0.07,0.07,1.8,1.8,0.2,2.1,0.07,0.01,0.07,0.07,0.07,Matches,8087e6cb
453,Justin Meram,iq IRQ,FWMF,Real Salt Lake,32,1988,31,15,1397,15.5,2,5,2,0,0,5,0,0.13,0.32,0.45,0.13,0.45,1.9,1.9,2.5,4.4,0.12,0.16,0.28,0.12,0.28,Matches,ae34c71d
