Season,Player,Nation,Pos,Age,fbref_ID
2022,Cory Burke,JAM,FW,30,39fde61c
2022,Kendall Burks,USA,DF,23,38e88892
2022,Handwalla Bwana,SOM,FW,25,b56080ee
2022,Brandon Bye,USA,DF,26,9fcd12af
2022,Nathan Byrne,ENG,DF,30,c4041fbc
2022,Kevin Cabral,FRA,FWMF,23,42af215b
2022,Martín Cáceres,URU,DF,35,e94d79e3
2022,Deiber Caicedo,COL,FWMF,22,9bfa2f52
2022,Scott Caldwell,USA,MF,31,4a54592d
2022,Drake Callender,USA,GK,25,c4d9567d
2022,Alexander Callens,PER,DF,30,af34f10d
2022,Francisco Calvo,CRC,DF,30,706bd23f
2022,Rudy Camacho,FRA,DF,31,6ad16d47
2022,Geoff Cameron,USA,DF,37,1a160ea3
2022,Leonardo Campana,ECU,FW,22,bf9c0749
2022,George Campbell,USA,DF,21,45e1a597
2022,Russell Canouse,USA,MF,27,ec730d9a
2022,Nathan Cardoso,BRA,DF,27,d4438745
2022,Antonio Carlos,BRA,DF,29,949fe1e8
2022,Wikelman Carmona,VEN,FWMF,19,cab97dd2
2022,Julián Carranza,ARG,FW,22,3e9ae1db
2022,Adalberto Carrasquilla,PAN,MF,23,f087912d
2022,Wilder Cartagena,PER,MF,28,9f0f5d15
2022,Javier Casas,USA,MF,19,2ed8d81b
2022,Julio Cascante,CRC,DF,29,cc120b4f
2022,Cristian Cásseres Jr.,VEN,MF,22,f86fe8c1
2022,Valentín Castellanos,ARG,FW,24,da76bab4
2022,Lucas Cavallini,CAN,FW,29,dd8de641
2022,Roman Celentano,USA,GK,22,42ba8628
2022,Darwin Cerén,SLV,MF,32,a58de3f0
2022,Edwin Cerrillo,USA,MF,22,bd060315
2022,Maikel Chang,CUB,MFFW,31,04cc9edd
2022,Maxime Chanot,LUX,DF,32,ca366055
2022,Diego Chará,COL,MF,36,6260cc9d
2022,Yimmi Chará,COL,MFFW,31,9df9baab
2022,Giorgio Chiellini,ITA,DF,38,e85fb9b8
2022,Mathieu Choiniere,CAN,DFMF,23,017459bb
2022,Léo Chú,BRA,FWMF,22,d88ebbe9
2022,Kadin Chung,CAN,DF,24,d616ce40
2022,José Cifuentes,ECU,MF,23,8c8c07a7
2022,Ronaldo Cisneros,MEX,FW,25,e526c193
2022,Abdoulaye Cissoko,FRA,DF,22,52a6ef30
2022,Caden Clark,USA,FWMF,19,6e327d0d
2022,Steve Clark,USA,GK,36,ed6320b7
2022,Stefan Cleveland,USA,GK,28,873fdbdf
2022,Jackson Conway,USA,FWMF,20,1cfa6e1a
2022,Gabriele Corbo,ITA,DF,22,091795f2
2022,Sergio Córdova,VEN,FW,25,229cd98a
2022,Carlos Coronel,BRA,GK,25,5c07e176
2022,Washington Corozo,ECU,FW,24,1391217a
2022,Guzmán Corujo,URU,DF,26,5c6051ad
2022,Douglas Costa,BRA,MFFW,32,4fa7cb9b
2022,Séga Coulibaly,FRA,DF,26,dab9537e
2022,Cade Cowell,USA,FWMF,19,f8e95f87
2022,Brandan Craig,USA,MF,18,4d0f7cb3
2022,Maxime Crépeau,CAN,GK,28,ea42e480
2022,Domenico Criscito,ITA,DF,35,35dd6d80
2022,Daniel Crisostomo,USA,MF,25,33fdd2aa
2022,Cody Cropper,USA,GK,29,aa133046
2022,Allan Cruz,CRC,MF,26,030105a5
2022,Adrián Cubas,PAR,MF,26,9b40a6ea
2022,Cucho,COL,FW,23,71b47ab9
2022,Rafael Czichos,GER,DF,32,b0a0698b
