,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
151,Tyler Deric,us USA,GK,Houston Dynamo,28,1988,26,26,2340,26,0,0,0,0,0,2,0,0,0,0,0,0,Matches,8a37dd84
152,Bradley Diallo,fr FRA,DF,LA Galaxy,26,1990,18,15,1383,15.4,0,0,0,0,0,7,2,0,0,0,0,0,Matches,f99722f8
153,Mauro Díaz,ar ARG,MF,FC Dallas,25,1991,19,13,1104,12.3,2,3,0,2,3,0,0,0.16,0.24,0.41,0,0.24,Matches,5b96081a
154,Claude Dielna,gp GLP,DF,New England,29,1987,11,11,945,10.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches,aa862ba0
155,Clément Diop,sn SEN,GK,LA Galaxy,23,1993,14,14,1260,14,0,0,0,0,0,1,1,0,0,0,0,0,Matches,0d5c0218
156,Marco Donadel,it ITA,MF,Montreal Impact,33,1983,19,18,1419,15.8,2,1,2,0,0,3,1,0.13,0.06,0.19,0.13,0.19,Matches,3169af41
157,Patrick Doody,us USA,DF,Chicago Fire,24,1992,7,7,628,7,0,4,0,0,0,0,0,0,0.57,0.57,0,0.57,Matches,4213525d
158,Giovani dos Santos,mx MEX,FWMF,LA Galaxy,27,1989,25,25,2186,24.3,6,3,3,3,3,3,0,0.25,0.12,0.37,0.12,0.25,Matches,7dba6233
159,Jonathan dos Santos,mx MEX,MF,LA Galaxy,26,1990,12,11,1004,11.2,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches,91872dec
160,Kevin Doyle,ie IRL,FWMF,Colorado Rapids,33,1983,25,23,1963,21.8,5,3,4,1,1,5,0,0.23,0.14,0.37,0.18,0.32,Matches,c4689de2
161,Dilly Duka,us USA,MFFW,NY Red Bulls,27,1989,3,2,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e1f503bf
162,Reagan Dunk,us USA,DF,Real Salt Lake,22,1994,3,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a19b505d
163,Chris Duvall,us USA,DF,Montreal Impact,25,1991,27,25,2207,24.5,1,2,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,Matches,39fae08b
164,Dom Dwyer,us USA,FW,Sporting KC,26,1990,15,14,1271,14.1,5,0,5,0,0,4,0,0.35,0,0.35,0.35,0.35,Matches,bdfc15f8
165,Dom Dwyer,us USA,FW,Orlando City,26,1990,12,11,973,10.8,4,4,4,0,0,0,0,0.37,0.37,0.74,0.37,0.74,Matches,bdfc15f8
166,Andrew Dykstra,us USA,GK,Sporting KC,31,1986,4,3,302,3.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches,35f5281d
167,Blerim Džemaili,ch SUI,MF,Montreal Impact,30,1986,22,22,1936,21.5,7,10,7,0,0,8,0,0.33,0.46,0.79,0.33,0.79,Matches,756959aa
168,Jeremy Ebobisse,us USA,FW,Portland Timbers,19,1997,14,2,326,3.6,1,3,1,0,0,0,0,0.28,0.83,1.1,0.28,1.1,Matches,5fa7b2ec
169,Earl Edwards Jr.,us USA,GK,Orlando City,25,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,10f6f942
170,Raheem Edwards,ca CAN,MFDF,Toronto FC,21,1995,21,10,1065,11.8,1,4,1,0,0,1,0,0.08,0.34,0.42,0.08,0.42,Matches,b828d56a
171,Alberth Elis,hn HON,FWMF,Houston Dynamo,20,1996,26,18,1641,18.2,10,3,9,1,1,8,0,0.55,0.16,0.71,0.49,0.66,Matches,104b4ad3
172,Jack Elliott,eng ENG,DF,Philadelphia,21,1995,30,29,2619,29.1,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,Matches,041deebd
173,Kevin Ellis,us USA,DF,Sporting KC,25,1991,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,Matches,93410fdb
174,Tsubasa Endoh,jp JPN,MFDF,Toronto FC,23,1993,4,3,268,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches,46dca6e8
175,Marcus Epps,us USA,MF,Philadelphia,22,1995,19,7,716,8,2,0,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches,7bb23f0e
176,José Escalante,hn HON,MF,Houston Dynamo,21,1995,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d1b0c97f
177,Fidel Escobar,pa PAN,DF,NY Red Bulls,22,1995,6,5,483,5.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches,4991ec66
178,Roger Espinoza,hn HON,MF,Sporting KC,30,1986,30,30,2677,29.7,1,2,1,0,0,9,1,0.03,0.07,0.1,0.03,0.1,Matches,60b7c195
179,Derrick Etienne,ht HAI,FWMF,NY Red Bulls,20,1996,18,8,706,7.8,0,2,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches,59059f1e
180,Brad Evans,us USA,DFMF,Seattle,31,1985,11,6,479,5.3,1,0,1,0,0,0,1,0.19,0,0.19,0.19,0.19,Matches,432430af
181,Fabinho,br BRA,DF,Philadelphia,31,1985,22,21,1902,21.1,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches,4e3a17fc
182,Diego Fagúndez,uy URU,MFFW,New England,21,1995,32,27,2432,27,7,7,7,0,0,2,0,0.26,0.26,0.52,0.26,0.52,Matches,fe81682e
183,Marco Farfan,us USA,DF,Portland Timbers,18,1998,6,5,403,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cfc68595
184,Andrew Farrell,us USA,DF,New England,24,1992,30,30,2662,29.6,0,3,0,0,0,5,1,0,0.1,0.1,0,0.1,Matches,71eda165
185,Benny Feilhaber,us USA,MF,Sporting KC,32,1985,30,24,2267,25.2,5,1,3,2,2,4,0,0.2,0.04,0.24,0.12,0.16,Matches,7ed107b1
186,Felipe,br BRA,MF,NY Red Bulls,26,1990,33,33,2960,32.9,2,3,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,Matches,2415bd0a
187,Gerso Fernandes,gw GNB,FW,Sporting KC,25,1991,32,26,2233,24.8,8,2,8,0,0,4,0,0.32,0.08,0.4,0.32,0.4,Matches,43cbe937
188,Álvaro Fernández,uy URU,MF,Seattle,31,1985,10,5,494,5.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches,e3c76233
189,Jesus Ferreira,us USA,FWMF,FC Dallas,16,2000,1,0,20,0.2,1,0,1,0,0,0,0,4.5,0,4.5,4.5,4.5,Matches,f61246d8
190,Maynor Figueroa,hn HON,DF,FC Dallas,33,1983,26,26,2324,25.8,3,0,3,0,0,7,0,0.12,0,0.12,0.12,0.12,Matches,d8524b21
191,Ethan Finlay,us USA,MFFW,Columbus Crew,26,1990,19,14,1283,14.3,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,c16a59af
192,Ethan Finlay,us USA,MF,Minnesota Utd,26,1990,11,11,977,10.9,3,2,3,0,0,1,0,0.28,0.18,0.46,0.28,0.46,Matches,c16a59af
193,Kyle Fisher,us USA,DF,Montreal Impact,22,1994,20,15,1459,16.2,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches,c1a447f8
194,Oniel Fisher,jm JAM,DF,Seattle,25,1991,9,7,537,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ed5fdca6
195,Mike da Fonte,us USA,DF,Colorado Rapids,25,1991,17,14,1224,13.6,0,0,0,0,0,5,0,0,0,0,0,0,Matches,6fa0a6c4
196,Kortne Ford,us USA,DF,Colorado Rapids,21,1996,20,19,1725,19.2,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches,552a7707
197,Shaun Francis,jm JAM,DF,San Jose,30,1986,8,8,689,7.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches,89ead6af
198,Shaun Francis,jm JAM,DFMF,Montreal Impact,30,1986,6,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,89ead6af
199,Waylon Francis,cr CRC,MFDF,Columbus Crew,26,1990,12,10,852,9.5,0,2,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches,a3a1849f
200,Sean Franklin,us USA,DF,D.C. United,31,1985,19,15,1419,15.8,0,2,0,0,0,5,0,0,0.13,0.13,0,0.13,Matches,a2cb3f2c
201,Stefan Frei,ch SUI,GK,Seattle,30,1986,33,33,2970,33,0,0,0,0,0,2,0,0,0,0,0,0,Matches,1d0a0f3e
202,Ray Gaddis,us USA,DF,Philadelphia,27,1990,26,23,2027,22.5,0,0,0,0,0,5,0,0,0,0,0,0,Matches,8348b24d
203,Boniek García,hn HON,MFDF,Houston Dynamo,32,1984,20,12,1168,13,0,4,0,0,0,4,0,0,0.31,0.31,0,0.31,Matches,889ce425
204,Kevin Garcia,us USA,DF,Houston Dynamo,26,1990,3,2,212,2.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches,bb978f2b
205,Rafael Garcia,us USA,MFDF,LA Galaxy,28,1988,18,12,1186,13.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches,b70e621c
206,Greg Garza,us USA,DF,Atlanta Utd,25,1991,26,25,2149,23.9,2,4,2,0,0,2,0,0.08,0.17,0.25,0.08,0.25,Matches,5ae88d65
207,Shkëlzen Gashi,al ALB,MFFW,Colorado Rapids,28,1988,17,12,1034,11.5,2,1,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,Matches,5bc0c164
208,Josh Gatt,us USA,MF,Colorado Rapids,25,1991,20,11,1068,11.9,2,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,e08ee390
209,Ali Ghazal,eg EGY,MF,Vancouver,24,1992,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5e8a3e39
210,Luis Gil,us USA,MF,Colorado Rapids,23,1993,4,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eda19e9e
211,Luis Gil,us USA,MF,Orlando City,23,1993,17,6,603,6.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches,eda19e9e
212,Sebastian Giovinco,it ITA,FW,Toronto FC,30,1987,25,25,2054,22.8,16,6,15,1,3,4,0,0.7,0.26,0.96,0.66,0.92,Matches,2b7c18ae
213,Justen Glad,us USA,DF,Real Salt Lake,19,1997,18,18,1620,18,0,0,0,0,0,2,0,0,0,0,0,0,Matches,5b768b0f
214,Jake Gleeson,nz NZL,GK,Portland Timbers,26,1990,21,21,1817,20.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31539d1e
215,Aníbal Godoy,pa PAN,MF,San Jose,26,1990,26,24,2134,23.7,2,0,2,0,0,10,2,0.08,0,0.08,0.08,0.08,Matches,2d496ca3
216,Jesse Gonzalez,mx MEX,GK,FC Dallas,21,1995,29,29,2610,29,0,0,0,0,0,3,0,0,0,0,0,0,Matches,203a7651
217,Luis González,ve VEN,FWMF,FC Dallas,26,1990,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1d8885d7
218,Leandro González Pirez,ar ARG,DF,Atlanta Utd,24,1992,32,32,2810,31.2,1,3,1,0,0,10,1,0.03,0.1,0.13,0.03,0.13,Matches,5ba1112c
219,John Goossens,nl NED,FW,Chicago Fire,28,1988,1,1,89,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches,b370178e
220,Alan Gordon,us USA,FW,Colorado Rapids,35,1981,26,6,828,9.2,3,3,3,0,0,5,2,0.33,0.33,0.65,0.33,0.65,Matches,853a8241
221,Hernán Grana,ar ARG,DF,FC Dallas,31,1985,30,30,2657,29.5,1,3,1,0,0,8,0,0.03,0.1,0.14,0.03,0.14,Matches,266112c6
222,Joseph Greenspan,us USA,DF,Minnesota Utd,24,1992,4,3,236,2.6,0,0,0,0,0,1,2,0,0,0,0,0,Matches,a1e2608a
223,Kyle Greig,us USA,FW,Vancouver,26,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c34d6fa
224,Mike Grella,us USA,MF,NY Red Bulls,30,1987,8,3,363,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,996c5a04
225,Julian Gressel,de GER,MF,Atlanta Utd,23,1993,32,24,2040,22.7,5,9,5,0,0,4,0,0.22,0.4,0.62,0.22,0.62,Matches,acd47bc0
226,Carlos Gruezo,ec ECU,MF,FC Dallas,21,1995,31,30,2610,29,0,3,0,0,0,7,1,0,0.1,0.1,0,0.1,Matches,f2dd9a21
227,Aaron Guillen,us USA,DF,FC Dallas,23,1993,6,4,374,4.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches,b4bb58c4
228,José Guillermo Ortiz,cr CRC,FW,D.C. United,24,1992,16,7,672,7.5,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches,e41ac42e
229,Fredrik Gulbrandsen,no NOR,FWMF,NY Red Bulls,24,1992,12,4,367,4.1,0,1,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches,b686f4c0
230,Brad Guzan,us USA,GK,Atlanta Utd,32,1984,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d899e3bf
231,David Guzmán,cr CRC,MF,Portland Timbers,26,1990,25,24,2024,22.5,1,6,1,0,1,11,0,0.04,0.27,0.31,0.04,0.31,Matches,bb62beaa
232,Nick Hagglund,us USA,DF,Toronto FC,24,1992,15,13,1123,12.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches,39632554
233,Marlon Hairston,us USA,MFDF,Colorado Rapids,22,1994,34,29,2600,28.9,3,4,3,0,0,2,0,0.1,0.14,0.24,0.1,0.24,Matches,1d531c57
234,Bill Hamid,us USA,GK,D.C. United,26,1990,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches,012fc030
235,Jordan Hamilton,ca CAN,FW,Toronto FC,20,1996,8,0,149,1.7,2,1,2,0,0,0,0,1.21,0.6,1.81,1.21,1.81,Matches,d80a3a57
236,Sam Hamilton,us USA,MF,Colorado Rapids,21,1995,3,1,125,1.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1e2207ff
237,Niko Hansen,dk DEN,MF,Columbus Crew,22,1994,14,3,409,4.5,1,2,1,0,0,0,0,0.22,0.44,0.66,0.22,0.66,Matches,9bebd450
238,Harold Hanson,us USA,DF,Portland Timbers,17,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,718ed84d
239,Ian Harkes,us USA,MF,D.C. United,21,1995,25,22,1948,21.6,2,1,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,Matches,73fdc4c2
240,Michael Harrington,us USA,DFMF,Chicago Fire,31,1986,9,9,797,8.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1009a56a
241,Atiba Harris,kn SKN,DF,FC Dallas,32,1985,29,21,2028,22.5,2,1,2,0,0,7,0,0.09,0.04,0.13,0.09,0.13,Matches,e41fdd03
242,Jack Harrison,eng ENG,FWMF,NYCFC,20,1996,34,33,2745,30.5,10,3,10,0,0,3,1,0.33,0.1,0.43,0.33,0.43,Matches,aa849a12
243,Jordan Harvey,us USA,DF,Vancouver,33,1984,28,28,2508,27.9,1,1,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,Matches,bb78f8a5
244,Nicolas Hasler,li LIE,MFDF,Toronto FC,25,1991,10,9,747,8.3,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,Matches,bac7a52f
245,Jacori Hayes,us USA,MF,FC Dallas,21,1995,3,2,91,1,0,0,0,0,0,1,2,0,0,0,0,0,Matches,d2173b7b
246,Harrison Heath,us USA,MF,Atlanta Utd,20,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,af08fa5f
247,Matt Hedges,us USA,DF,FC Dallas,26,1990,27,27,2424,26.9,2,0,2,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches,5e2a4d0e
248,Fabian Herbers,de GER,MF,Philadelphia,23,1993,12,4,399,4.4,1,1,1,0,0,1,0,0.23,0.23,0.45,0.23,0.45,Matches,5cbf5ccd
249,Jason Hernandez,pr PUR,DFFW,Toronto FC,33,1983,8,5,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,19633fcb
250,Jose Hernandez,us USA,MF,Real Salt Lake,20,1996,7,1,166,1.8,1,0,1,0,0,1,0,0.54,0,0.54,0.54,0.54,Matches,0c3e8aee
251,Yangel Herrera,ve VEN,MF,NYCFC,19,1998,18,14,1225,13.6,1,2,1,0,0,7,2,0.07,0.15,0.22,0.07,0.22,Matches,e778654a
252,Federico Higuaín,ar ARG,MF,Columbus Crew,32,1984,26,26,2230,24.8,9,9,7,2,3,3,0,0.36,0.36,0.73,0.28,0.65,Matches,ef8fc24c
253,Cristian Higuita,co COL,MF,Orlando City,23,1994,26,18,1549,17.2,0,2,0,0,0,9,0,0,0.12,0.12,0,0.12,Matches,0f31b38b
254,Seb Hines,eng ENG,DF,Orlando City,28,1988,6,5,445,4.9,1,0,1,0,0,1,1,0.2,0,0.2,0.2,0.2,Matches,5a2cabda
255,Danny Hoesen,nl NED,FWMF,San Jose,26,1991,32,20,1843,20.5,5,5,5,0,0,1,0,0.24,0.24,0.49,0.24,0.49,Matches,5ef1939b
256,Joe Holland,eng ENG,MF,Houston Dynamo,23,1993,5,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,00913c1e
257,Femi Hollinger-Janzen,bj BEN,MF,New England,23,1993,13,1,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2bcefa4f
258,Ryan Hollingshead,us USA,DFMF,FC Dallas,25,1991,18,9,828,9.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28b58797
259,Omar Holness,jm JAM,MF,Real Salt Lake,22,1994,9,3,264,2.9,1,0,1,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches,b5798530
260,David Horst,us USA,DF,Real Salt Lake,31,1985,12,8,884,9.8,0,1,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches,10d5ee91
261,Tim Howard,us USA,GK,Colorado Rapids,37,1979,25,25,2250,25,0,0,0,0,0,1,0,0,0,0,0,0,Matches,c444465e
262,Walker Hume,us USA,DF,FC Dallas,23,1993,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches,d11a5da5
263,Erik Hurtado,us USA,FW,Vancouver,26,1990,15,7,525,5.8,3,2,3,0,0,0,0,0.51,0.34,0.86,0.51,0.86,Matches,b11e6f2b
264,Baggio Husidi?,ba BIH,MF,LA Galaxy,29,1987,10,5,447,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4db2cd1
265,Jahmir Hyka,al ALB,MF,San Jose,28,1988,30,21,1866,20.7,3,3,3,0,0,0,0,0.14,0.14,0.29,0.14,0.29,Matches,844dc9d7
266,Miguel Ibarra,us USA,MF,Minnesota Utd,26,1990,29,20,1759,19.5,3,3,3,0,0,2,0,0.15,0.15,0.31,0.15,0.31,Matches,f6756592
267,Bernie Ibini-Isei,au AUS,MFFW,Vancouver,24,1992,17,7,632,7,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches,afdad265
268,Ibson,br BRA,MF,Minnesota Utd,33,1983,31,29,2658,29.5,0,2,0,0,0,6,0,0,0.07,0.07,0,0.07,Matches,8a7c22ca
269,Nosa Igiebor,ng NGA,MF,Vancouver,26,1990,1,1,72,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches,79d9bbd4
270,Ilsinho,br BRA,MF,Philadelphia,31,1985,27,24,1832,20.4,6,3,6,0,0,4,0,0.29,0.15,0.44,0.29,0.44,Matches,aa8683ae
271,Andrés Imperiale,ar ARG,DF,San Jose,30,1986,13,12,1112,12.4,0,0,0,0,0,7,0,0,0,0,0,0,Matches,2e229169
272,Clint Irwin,us USA,GK,Toronto FC,27,1989,6,6,489,5.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c1205184
273,R. J. Allen,us USA,DF,NYCFC,26,1990,15,10,1010,11.2,0,2,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches,04dd366f
274,Anthony Jackson-Hamel,ca CAN,FW,Montreal Impact,23,1993,21,11,1144,12.7,9,3,9,0,0,0,0,0.71,0.24,0.94,0.71,0.94,Matches,c9871e2b
275,Andrew Jacobson,us USA,MFDF,Vancouver,31,1985,21,19,1702,18.9,2,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,Matches,17d7954c
276,Adam Jahn,us USA,FW,Columbus Crew,26,1991,21,1,332,3.7,1,1,1,0,0,3,0,0.27,0.27,0.54,0.27,0.54,Matches,6afa14fb
277,Bradford Jamieson IV,us USA,MFFW,LA Galaxy,20,1996,24,11,989,11,3,1,3,0,0,2,0,0.27,0.09,0.36,0.27,0.36,Matches,21996ff4
278,Jared Jeffrey,us USA,MF,D.C. United,26,1990,23,19,1618,18,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches,90259d59
279,Hector Jiménez,us USA,DFMF,Columbus Crew,28,1988,19,15,1361,15.1,0,3,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches,2dc1e90e
280,Eirik Johansen,no NOR,GK,NYCFC,24,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,576ea36c
281,Daniel Johnson,us USA,MF,Chicago Fire,21,1995,8,0,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c91b5155
282,Sean Johnson,us USA,GK,NYCFC,27,1989,32,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,Matches,c164335e
283,Will Johnson,ca CAN,MFDF,Orlando City,30,1987,26,23,2056,22.8,2,3,2,0,0,6,0,0.09,0.13,0.22,0.09,0.22,Matches,83d80410
284,Ismaila Jome,us USA,DFMF,Minnesota Utd,22,1994,12,7,675,7.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches,26f559ba
285,Derrick Jones,us USA,MF,Philadelphia,19,1997,12,8,705,7.8,0,0,0,0,0,1,1,0,0,0,0,0,Matches,93c92d6c
286,Jermaine Jones,us USA,MF,LA Galaxy,35,1981,20,19,1588,17.6,1,4,1,0,0,8,1,0.06,0.23,0.28,0.06,0.28,Matches,0c577541
287,Joevin Jones,tt TRI,DFMF,Seattle,25,1991,30,28,2446,27.2,1,9,1,0,0,4,2,0.04,0.33,0.37,0.04,0.37,Matches,fc23d956
288,Kenwyne Jones,tt TRI,FW,Atlanta Utd,32,1984,17,5,509,5.7,2,0,2,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches,5f3b634e
289,Marcel de Jong,ca CAN,DFMF,Vancouver,30,1986,13,9,779,8.7,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches,ff89334e
290,Igor Julião,br BRA,DF,Sporting KC,22,1994,1,1,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches,103349a9
291,Florian Jungwirth,de GER,DF,San Jose,28,1989,30,30,2598,28.9,2,3,2,0,0,4,0,0.07,0.1,0.17,0.07,0.17,Matches,f179c207
292,Vitor Junior,br BRA,MF,Chicago Fire,28,1989,21,17,1526,17,1,1,1,0,0,3,2,0.06,0.06,0.12,0.06,0.12,Matches,bbdc19f2
293,Bashkim Kadrii,dk DEN,MFFW,Minnesota Utd,25,1991,11,5,425,4.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6bb360b
294,Kaká,br BRA,MFFW,Orlando City,34,1982,23,18,1564,17.4,6,4,6,0,0,6,1,0.35,0.23,0.58,0.35,0.58,Matches,b2d6ea70
295,Brent Kallman,us USA,DF,Minnesota Utd,26,1990,23,23,1937,21.5,2,0,2,0,0,7,0,0.09,0,0.09,0.09,0.09,Matches,2b24702b
296,Alhaji Kamara,sl SLE,FW,D.C. United,22,1994,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8846f47e
297,Kei Kamara,sl SLE,FW,New England,32,1984,31,27,2360,26.2,12,4,12,0,0,4,0,0.46,0.15,0.61,0.46,0.61,Matches,6e3f3809
298,Ola Kamara,no NOR,FW,Columbus Crew,27,1989,34,33,2859,31.8,18,3,16,2,3,0,0,0.57,0.09,0.66,0.5,0.6,Matches,e134351a
299,Alec Kann,us USA,GK,Atlanta Utd,26,1990,18,18,1620,18,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,Matches,4a8af93c
300,Johan Kappelhof,nl NED,DF,Chicago Fire,26,1990,33,33,2881,32,0,2,0,0,0,5,1,0,0.06,0.06,0,0.06,Matches,465015a5
301,Muhamed Keita,no NOR,MF,NY Red Bulls,26,1990,6,2,192,2.1,0,1,0,0,0,1,0,0,0.47,0.47,0,0.47,Matches,6498ad4b
302,Taylor Kemp,us USA,DF,D.C. United,26,1990,22,22,1980,22,0,0,0,0,0,2,0,0,0,0,0,0,Matches,a838b312
303,Jon Kempin,us USA,GK,LA Galaxy,23,1993,7,7,569,6.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,063adc5e
304,Sacha Kljestan,us USA,MFFW,NY Red Bulls,31,1985,32,28,2582,28.7,2,9,2,0,0,6,0,0.07,0.31,0.38,0.07,0.38,Matches,73682895
305,Brad Knighton,us USA,GK,New England,31,1985,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9903a3cb
306,Daigo Kobayashi,jp JPN,MFFW,New England,33,1983,12,4,509,5.7,1,0,1,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches,13e603fe
307,Gershon Koffie,gh GHA,MF,New England,25,1991,23,21,1917,21.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches,f5423530
308,Chris Korb,us USA,DF,D.C. United,29,1987,16,13,1159,12.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7bcb408
309,Xavier Kouassi,ci CIV,MF,New England,27,1989,23,14,1224,13.6,1,0,1,0,0,3,2,0.07,0,0.07,0.07,0.07,Matches,3c743257
310,Aaron Kovar,us USA,MF,Seattle,23,1993,7,1,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c08ff22d
311,Kevin Kratz,de GER,MF,Atlanta Utd,30,1987,20,5,601,6.7,1,1,1,0,0,1,0,0.15,0.15,0.3,0.15,0.3,Matches,efb1f5cf
312,Matías Laba,ar ARG,MF,Vancouver,25,1991,19,19,1609,17.9,2,0,2,0,0,6,1,0.11,0,0.11,0.11,0.11,Matches,6e434dbc
313,Connor Lade,us USA,DFMF,NY Red Bulls,27,1989,21,16,1378,15.3,0,2,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches,3629e2e6
314,Roland Lamah,be BEL,MF,FC Dallas,29,1987,32,29,2138,23.8,11,2,11,0,0,2,0,0.46,0.08,0.55,0.46,0.55,Matches,336a36fb
315,Matt Lampson,us USA,GK,Chicago Fire,27,1989,24,24,2160,24,0,0,0,0,0,4,0,0,0,0,0,0,Matches,44a7dc84
316,Jeff Larentowicz,us USA,MFDF,Atlanta Utd,33,1983,33,30,2599,28.9,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches,0c3f9d7f
317,Cyle Larin,ca CAN,FW,Orlando City,21,1995,28,24,2167,24.1,12,3,12,0,1,1,0,0.5,0.12,0.62,0.5,0.62,Matches,e7af9060
318,Richie Laryea,ca CAN,MF,Orlando City,22,1995,12,1,261,2.9,0,1,0,0,0,2,0,0,0.34,0.34,0,0.34,Matches,276fdbe4
319,Ariel Lassiter,cr CRC,FWMF,LA Galaxy,22,1994,14,0,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches,bd7b916c
