,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
37,Pele van Anholt,nl NED,DF,LA Galaxy,25,1991,5,5,354,3.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8f8883a9
38,Jalil Anibaba,us USA,DF,Houston Dynamo,28,1988,8,4,465,5.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e44593b0
39,Victor Arboleda,co COL,FWMF,Portland Timbers,20,1997,5,0,57,0.6,0,0,0,0,0,0,1,0,0,0,0,0,Matches,4c3f49a7
40,Hugo Arellano,us USA,DF,LA Galaxy,18,1998,4,4,333,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches,149a1165
41,Adrián Arregui,ar ARG,MF,Montreal Impact,24,1992,6,3,239,2.7,0,1,0,0,0,1,0,0,0.38,0.38,0,0.38,Matches,2b972b34
42,Paul Arriola,us USA,MF,D.C. United,21,1995,11,11,918,10.2,1,2,1,0,0,2,0,0.1,0.2,0.29,0.1,0.29,Matches,1bb2acce
43,David Arshakyan,am ARM,FW,Chicago Fire,22,1994,7,0,29,0.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3ccf45d0
44,Artur,br BRA,MF,Columbus Crew,20,1996,24,19,1701,18.9,0,3,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches,ea6803c7
45,Yamil Asad,ar ARG,MF,Atlanta Utd,22,1994,32,31,2758,30.6,7,11,6,1,1,7,1,0.23,0.36,0.59,0.2,0.55,Matches,a444689a
46,Dairon Asprilla,co COL,MF,Portland Timbers,24,1992,27,17,1393,15.5,2,4,2,0,0,1,0,0.13,0.26,0.39,0.13,0.39,Matches,218d336c
47,Jeff Attinella,us USA,GK,Portland Timbers,28,1988,14,13,1243,13.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4277b946
48,Kwame Awuah,ca CAN,DFMF,NYCFC,21,1995,4,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0becbc9b
49,Micheal Azira,ug UGA,MF,Colorado Rapids,29,1987,30,28,2567,28.5,0,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches,87c0db23
50,Dominique Badji,sn SEN,FWMF,Colorado Rapids,24,1992,33,29,2533,28.1,9,4,9,0,1,5,0,0.32,0.14,0.46,0.32,0.46,Matches,758ac389
51,Jack Barmby,eng ENG,FWMF,Portland Timbers,22,1994,10,0,108,1.2,1,0,1,0,0,3,0,0.83,0,0.83,0.83,0.83,Matches,1652adcc
52,Giles Barnes,jm JAM,MFFW,Orlando City,28,1988,34,23,2140,23.8,3,1,3,0,0,0,0,0.13,0.04,0.17,0.13,0.17,Matches,e663724a
53,Chad Barrett,us USA,FW,Real Salt Lake,31,1985,3,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1811bcb6
54,Michael Barrios,co COL,MFFW,FC Dallas,25,1991,34,28,2562,28.5,3,12,3,0,0,5,0,0.11,0.42,0.53,0.11,0.53,Matches,df782c79
55,Hadji Barry,gn GUI,FWMF,Orlando City,24,1992,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e32a89fc
56,Jorge Bava,uy URU,GK,Chicago Fire,35,1981,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,Matches,f4678d70
57,DaMarcus Beasley,us USA,DF,Houston Dynamo,34,1982,24,22,1986,22.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e4d6e7d9
