,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Saad Abdul-Salaam,us USA,DF,NYCFC,26,1991,4,3,274,3,0,1,0,0,0,1,0,0,0.33,0.33,0,0.33,0.1,0.1,0.9,1.1,0.04,0.3,0.35,0.04,0.35,Matches,4705543b
2,Mohammed Abu,gh GHA,MFDF,Columbus Crew,26,1991,4,0,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.03,0.11,0.14,0.03,0.14,Matches,c1f17b17
3,Lalas Abubakar,gh GHA,DF,Columbus Crew,23,1994,23,20,1771,19.7,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.1,1.1,0.05,0.01,0.05,0.05,0.05,Matches,4a67f05b
4,David Accam,gh GHA,FWMF,Philadelphia,27,1990,23,13,1213,13.5,1,0,1,0,0,3,0,0.07,0,0.07,0.07,0.07,3.1,3.1,1,4.1,0.23,0.07,0.3,0.23,0.3,Matches,f5220ece
5,Danilo Acosta,hn HON,DF,Real Salt Lake,20,1997,12,10,898,10,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matches,41f720a5
6,Kellyn Acosta,us USA,MFFW,FC Dallas,22,1995,13,8,675,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.1,1.1,0.7,1.9,0.15,0.1,0.25,0.15,0.25,Matches,ece10cfe
7,Kellyn Acosta,us USA,MFFW,Colorado Rapids,22,1995,12,12,1039,11.5,2,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,2.2,1.5,0.9,2.4,0.19,0.08,0.27,0.13,0.21,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,D.C. United,23,1994,33,32,2746,30.5,10,15,10,0,0,3,0,0.33,0.49,0.82,0.33,0.82,5.5,5.5,8.5,14,0.18,0.28,0.46,0.18,0.46,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Chicago Fire,21,1996,14,10,883,9.8,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,00362ef7
10,Tyler Adams,us USA,MF,NY Red Bulls,18,1999,27,26,2328,25.9,0,3,0,0,0,3,0,0,0.12,0.12,0,0.12,1.1,1.1,2.2,3.3,0.04,0.09,0.13,0.04,0.13,Matches,2b09d998
11,Fanendo Adi,ng NGA,FW,Portland Timbers,27,1990,14,9,823,9.1,3,2,3,0,0,0,0,0.33,0.22,0.55,0.33,0.55,4.5,4.5,0.7,5.1,0.49,0.07,0.56,0.49,0.56,Matches,ae2dd50a
12,Bismark Adjei-Boateng,gh GHA,MFDF,Colorado Rapids,23,1994,20,14,1233,13.7,1,0,1,0,0,6,1,0.07,0,0.07,0.07,0.07,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09,Matches,222bc419
13,François Affolter,ch SUI,DF,San Jose,26,1991,9,7,678,7.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3bab978e
14,Harrison Afful,gh GHA,DF,Columbus Crew,31,1986,32,32,2864,31.8,2,3,2,0,0,1,0,0.06,0.09,0.16,0.06,0.16,2.5,2.5,4.2,6.7,0.08,0.13,0.21,0.08,0.21,Matches,7d8ede09
15,Juan Agudelo,us USA,FWMF,New England,25,1992,30,13,1504,16.7,3,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,3.4,3.4,1.4,4.9,0.21,0.09,0.29,0.21,0.29,Matches,0cb2115f
16,Abel Aguilar,co COL,MF,FC Dallas,33,1985,4,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,6936b41b
17,Stefan Aigner,de GER,FW,Colorado Rapids,30,1987,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,17cc3f63
18,José Aja,uy URU,DF,Vancouver,24,1993,17,17,1511,16.8,1,0,1,0,0,4,1,0.06,0,0.06,0.06,0.06,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches,d47341b9
19,Ager Aketxe,es ESP,MF,Toronto FC,24,1993,11,9,729,8.1,0,1,0,0,1,1,0,0,0.12,0.12,0,0.12,1.7,1,1.1,2.1,0.21,0.14,0.35,0.12,0.26,Matches,c5eaff5c
20,Tesho Akindele,ca CAN,FWMF,FC Dallas,25,1992,19,5,586,6.5,2,0,2,0,0,0,0,0.31,0,0.31,0.31,0.31,1.7,1.7,0.8,2.5,0.26,0.12,0.38,0.26,0.38,Matches,897304e5
21,Ayo Akinola,ca CAN,FWMF,Toronto FC,18,2000,4,0,49,0.5,0,1,0,0,0,0,0,0,1.84,1.84,0,1.84,0,0,0.3,0.3,0,0.6,0.6,0,0.6,Matches,214d2406
22,Fatai Alashe,us USA,MF,San Jose,24,1993,12,2,362,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04,Matches,eb67fa0a
23,Romain Alessandrini,fr FRA,FWMF,LA Galaxy,28,1989,26,23,1909,21.2,11,8,10,1,1,7,0,0.52,0.38,0.9,0.47,0.85,5.2,4.4,6.1,10.5,0.24,0.29,0.53,0.21,0.49,Matches,7a7610d2
24,Eric Alexander,us USA,MF,Houston Dynamo,29,1988,21,20,1655,18.4,1,0,1,0,0,4,1,0.05,0,0.05,0.05,0.05,0.7,0.7,0.8,1.4,0.04,0.04,0.08,0.04,0.08,Matches,717d12ec
25,Tony Alfaro,us USA,DF,Seattle,24,1993,4,3,220,2.4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,4118b12a
26,Miguel Almirón,py PAR,MFFW,Atlanta Utd,23,1994,32,32,2756,30.6,12,11,8,4,5,4,0,0.39,0.36,0.75,0.26,0.62,14.9,11.1,10.4,21.5,0.49,0.34,0.83,0.36,0.7,Matches,862a1c15
27,Osvaldo Alonso,cu CUB,MF,Seattle,32,1985,25,21,1838,20.4,0,0,0,0,0,6,0,0,0,0,0,0,1.1,1.1,0.6,1.7,0.06,0.03,0.08,0.06,0.08,Matches,8449bfda
28,Jozy Altidore,us USA,FW,Toronto FC,28,1989,13,12,871,9.7,7,0,5,2,2,3,1,0.72,0,0.72,0.52,0.52,6.1,4.6,0.4,5,0.63,0.04,0.67,0.47,0.52,Matches,8db8ad1e
29,Arturo Alvarez,sv SLV,FWMF,Houston Dynamo,32,1985,18,2,355,3.9,0,1,0,0,0,1,0,0,0.25,0.25,0,0.25,0.5,0.5,0.9,1.3,0.12,0.22,0.34,0.12,0.34,Matches,06935cfc
30,Eloi Amagat,es ESP,MF,NYCFC,32,1985,8,5,430,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0.6,0.8,0.04,0.12,0.16,0.04,0.16,Matches,12a875ce
31,Quincy Amarikwa,us USA,FWMF,San Jose,30,1987,14,1,280,3.1,0,2,0,0,0,1,0,0,0.64,0.64,0,0.64,0.5,0.5,0.7,1.2,0.16,0.24,0.39,0.16,0.39,Matches,6a9e4cc0
32,Quincy Amarikwa,us USA,FW,Montreal Impact,30,1987,10,7,641,7.1,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,2.8,2.8,0.4,3.1,0.39,0.05,0.44,0.39,0.44,Matches,6a9e4cc0
33,Mikey Ambrose,us USA,DFMF,Atlanta Utd,24,1993,9,8,729,8.1,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.2,0.2,0.7,0.9,0.02,0.09,0.11,0.02,0.11,Matches,f649d6aa
34,Michael Amir Murillo,pa PAN,DF,NY Red Bulls,21,1996,23,21,1936,21.5,1,3,1,0,0,5,1,0.05,0.14,0.19,0.05,0.19,1.5,1.5,3.4,4.8,0.07,0.16,0.22,0.07,0.22,Matches,349cae8f
35,Emiliano Amor,ar ARG,DF,Sporting KC,22,1995,5,3,333,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.08,0.09,0.01,0.09,Matches,3fc6c051
36,Vytas Andriuškevi?ius,lt LTU,DFFW,Portland Timbers,27,1990,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3eb04035
37,Isaac Angking,pr PUR,FWMF,New England,18,2000,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.1,1.47,0.98,2.45,1.47,2.45,Matches,2c2fe2ad
38,Jalil Anibaba,us USA,DF,New England,29,1988,31,29,2708,30.1,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,0.5,0.5,0.7,1.1,0.02,0.02,0.04,0.02,0.04,Matches,e44593b0
39,Pablo Aránguiz,cl CHI,FWMF,FC Dallas,20,1997,9,3,283,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1.1,1.4,0.08,0.39,0.47,0.08,0.47,Matches,a14cf2e4
