,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
40,Victor Arboleda,co COL,FW,Portland Timbers,21,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,4c3f49a7
41,Luis Argudo,us USA,FWMF,Columbus Crew,22,1995,18,6,634,7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.8,1.4,0.08,0.12,0.2,0.08,0.2,Matches,71e5d21d
42,Samuel Armenteros,se SWE,FW,Portland Timbers,27,1990,28,19,1585,17.6,8,1,8,0,0,2,0,0.45,0.06,0.51,0.45,0.51,6.6,6.6,2,8.7,0.38,0.12,0.49,0.38,0.49,Matches,9c8f641a
43,Paul Arriola,us USA,MFFW,D.C. United,22,1995,28,25,2177,24.2,7,6,7,0,0,7,1,0.29,0.25,0.54,0.29,0.54,3.7,3.7,3.7,7.4,0.15,0.15,0.31,0.15,0.31,Matches,1bb2acce
44,Artur,br BRA,MF,Columbus Crew,21,1996,32,32,2780,30.9,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11,Matches,ea6803c7
45,Yamil Asad,ar ARG,MFFW,D.C. United,23,1994,30,27,2359,26.2,9,5,8,1,1,1,0,0.34,0.19,0.53,0.31,0.5,5.4,4.6,3,7.6,0.21,0.11,0.32,0.18,0.29,Matches,a444689a
46,Carlos Ascues,pe PER,DFMF,Orlando City,25,1992,9,9,753,8.4,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.04,0.02,0.05,0.04,0.05,Matches,38851eb2
47,Dairon Asprilla,co COL,FWMF,Portland Timbers,25,1992,17,7,693,7.7,1,0,0,1,1,3,0,0.13,0,0.13,0,0,2.6,1.8,1.6,3.4,0.34,0.21,0.55,0.24,0.45,Matches,218d336c
48,Jeff Attinella,us USA,GK,Portland Timbers,29,1988,22,22,1942,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches,4277b946
49,Eduard Atuesta,co COL,MF,Los Angeles FC,20,1997,25,16,1507,16.7,1,2,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,1,1,1.6,2.5,0.06,0.1,0.16,0.06,0.16,Matches,60990b81
50,Auro,br BRA,DFMF,Toronto FC,22,1996,18,16,1424,15.8,0,3,0,0,0,3,0,0,0.19,0.19,0,0.19,0.8,0.8,2.3,3,0.05,0.14,0.19,0.05,0.19,Matches,b234cb0e
51,Kwame Awuah,ca CAN,MFFW,NYCFC,22,1995,6,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.03,0.09,0.12,0.03,0.12,Matches,0becbc9b
52,Micheal Azira,ug UGA,MF,Montreal Impact,30,1987,10,8,724,8,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,0.5,0.5,0,0.5,0.06,0,0.06,0.06,0.06,Matches,87c0db23
53,Micheal Azira,ug UGA,MF,Colorado Rapids,30,1987,5,3,275,3.1,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,87c0db23
54,Dominique Badji,sn SEN,FW,FC Dallas,25,1992,10,9,613,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,2.3,2.3,1,3.3,0.37,0.17,0.54,0.37,0.54,Matches,758ac389
55,Dominique Badji,sn SEN,FW,Colorado Rapids,25,1992,16,15,1340,14.9,7,1,7,0,0,6,0,0.47,0.07,0.54,0.47,0.54,6.7,6.7,0.7,7.4,0.45,0.05,0.49,0.45,0.49,Matches,758ac389
56,Corey Baird,us USA,FW,Real Salt Lake,22,1996,31,21,1898,21.1,8,5,8,0,0,4,0,0.38,0.24,0.62,0.38,0.62,7.2,7.2,2.8,10,0.34,0.13,0.48,0.34,0.48,Matches,2d0d1442
57,Jon Bakero,es ESP,MFFW,Chicago Fire,21,1996,4,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,0.27,0.4,0.67,0.27,0.67,Matches,b7ee996f
58,Jon Bakero,es ESP,FWMF,Toronto FC,21,1996,3,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0.14,0.02,0.15,0.14,0.15,Matches,b7ee996f
59,Ezequiel Barco,ar ARG,FWMF,Atlanta Utd,18,1999,26,19,1723,19.1,4,2,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31,3.4,3.4,4.4,7.8,0.18,0.23,0.41,0.18,0.41,Matches,7fa737c4
60,Giles Barnes,jm JAM,FWMF,Colorado Rapids,29,1988,12,6,545,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.08,0.09,0.01,0.09,Matches,e663724a
61,Michael Barrios,co COL,FWMF,FC Dallas,26,1991,34,29,2530,28.1,6,5,6,0,0,3,0,0.21,0.18,0.39,0.21,0.39,8.3,8.3,7.8,16.1,0.3,0.29,0.59,0.3,0.59,Matches,df782c79
62,Shawn Barry,pr PUR,DF,Real Salt Lake,27,1990,4,3,202,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2bfeb599
63,Cole Bassett,us USA,MF,Colorado Rapids,16,2001,6,3,309,3.4,1,0,1,0,0,0,0,0.29,0,0.29,0.29,0.29,1.1,1.1,0.2,1.2,0.31,0.05,0.35,0.31,0.35,Matches,2c8da8a1
64,DaMarcus Beasley,us USA,DF,Houston Dynamo,35,1982,26,26,2206,24.5,1,2,1,0,0,0,1,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2,2.5,0.02,0.08,0.1,0.02,0.1,Matches,e4d6e7d9
65,Kyle Beckerman,us USA,MF,Real Salt Lake,35,1982,31,29,2622,29.1,1,0,1,0,0,8,0,0.03,0,0.03,0.03,0.03,1,1,1.4,2.4,0.03,0.05,0.08,0.03,0.08,Matches,3485cb96
66,Alejandro Bedoya,us USA,MF,Philadelphia,30,1987,33,31,2778,30.9,3,5,3,0,0,7,1,0.1,0.16,0.26,0.1,0.26,3.8,3.8,5.7,9.5,0.12,0.18,0.31,0.12,0.31,Matches,9a6f8dfd
67,Steven Beitashour,ir IRN,DF,Los Angeles FC,30,1987,30,30,2641,29.3,2,3,2,0,0,3,0,0.07,0.1,0.17,0.07,0.17,1.5,1.5,2.9,4.5,0.05,0.1,0.16,0.05,0.16,Matches,64f1680a
68,Louis Béland-Goyette,ca CAN,MFFW,Montreal Impact,22,1995,4,0,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,fd1f71f5
69,George Bello,us USA,MFDF,Atlanta Utd,16,2002,3,2,177,2,1,0,1,0,0,0,0,0.51,0,0.51,0.51,0.51,0.2,0.2,0.4,0.6,0.11,0.18,0.29,0.11,0.29,Matches,aca0a525
70,Kharlton Belmar,gd GRN,FWMF,Sporting KC,25,1992,4,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.16,0.1,0.25,0.16,0.25,Matches,a25e9c54
71,Joe Bendik,us USA,GK,Orlando City,28,1989,25,24,2219,24.7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches,c3e50b67
72,Matt Besler,us USA,DF,Sporting KC,30,1987,31,31,2745,30.5,0,2,0,0,0,2,0,0,0.07,0.07,0,0.07,0,0,1.5,1.5,0,0.05,0.05,0,0.05,Matches,8393a973
73,Nick Besler,us USA,DFMF,Real Salt Lake,24,1993,22,15,1435,15.9,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0,0.7,0.04,0,0.04,0.04,0.04,Matches,cc9fa1a8
74,Vincent Bezecourt,fr FRA,MFFW,NY Red Bulls,24,1993,9,5,396,4.4,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0.4,0.4,0.6,1,0.1,0.14,0.24,0.1,0.24,Matches,06545d47
75,David Bingham,us USA,GK,LA Galaxy,28,1989,34,34,3060,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7fd42a85
76,Eric Bird,us USA,MF,Houston Dynamo,24,1993,6,4,340,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.5,0.12,0.02,0.14,0.12,0.14,Matches,64b7bf0e
77,Steve Birnbaum,us USA,DF,D.C. United,27,1991,34,34,3060,34,2,0,2,0,0,4,0,0.06,0,0.06,0.06,0.06,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05,Matches,26637ac8
78,Tristan Blackmon,us USA,DF,Los Angeles FC,21,1996,10,5,496,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.02,0.03,0.05,0.02,0.05,Matches,7f35d14e
79,Andre Blake,jm JAM,GK,Philadelphia,27,1990,33,33,2970,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b3b21a11
80,Sebastián Blanco,ar ARG,MFFW,Portland Timbers,29,1988,31,29,2559,28.4,10,8,10,0,0,9,0,0.35,0.28,0.63,0.35,0.63,6.2,6.2,8.8,15,0.22,0.31,0.53,0.22,0.53,Matches,4ddd0834
81,Latif Blessing,gh GHA,FWMF,Los Angeles FC,21,1996,30,18,1808,20.1,5,6,5,0,0,0,0,0.25,0.3,0.55,0.25,0.55,7.2,7.2,3.7,10.9,0.38,0.19,0.57,0.38,0.57,Matches,5153d32e
82,Johan Blomberg,se SWE,MFDF,Colorado Rapids,30,1987,24,21,1649,18.3,0,3,0,0,0,5,0,0,0.16,0.16,0,0.16,0.8,0.8,2.4,3.2,0.04,0.13,0.17,0.04,0.17,Matches,b1794e60
83,Anthony Blondell,ve VEN,FW,Vancouver,23,1994,18,8,645,7.2,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,1.7,1.7,1.1,2.8,0.23,0.15,0.38,0.23,0.38,Matches,588587cc
84,Emmanuel Boateng,gh GHA,FW,LA Galaxy,24,1994,27,12,1192,13.2,2,5,2,0,0,2,0,0.15,0.38,0.53,0.15,0.53,3,3,2.2,5.1,0.22,0.16,0.39,0.22,0.39,Matches,25f77a5f
85,Fernando Bob,br BRA,MF,Minnesota Utd,30,1988,7,7,614,6.8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matches,d8e12b33
86,Yannick Boli,ci CIV,FW,Colorado Rapids,30,1988,17,9,769,8.5,2,0,1,1,1,3,1,0.23,0,0.23,0.12,0.12,2.9,2.1,0.2,2.3,0.34,0.03,0.36,0.25,0.27,Matches,9004db70
87,Alex Bono,us USA,GK,Toronto FC,23,1994,27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,aa28a396
88,Stefano Bonomo,us USA,FW,NY Red Bulls,25,1993,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.73,0,0.73,Matches,b0767366
89,Michael Boxall,nz NZL,DF,Minnesota Utd,29,1988,32,32,2880,32,2,0,2,0,0,7,0,0.06,0,0.06,0.06,0.06,1,1,0.4,1.3,0.03,0.01,0.04,0.03,0.04,Matches,6bfa0d3a
90,Michael Bradley,us USA,MFDF,Toronto FC,30,1987,32,32,2856,31.7,0,2,0,0,0,6,0,0,0.06,0.06,0,0.06,0.7,0.7,2,2.6,0.02,0.06,0.08,0.02,0.08,Matches,fd5e3a73
91,Shaft Brewer,us USA,FW,Los Angeles FC,18,1999,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.74,0.85,1.59,0.74,1.59,Matches,7fac343b
92,Frédéric Brillant,fr FRA,DF,D.C. United,32,1985,27,24,2182,24.2,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,1,1,0.7,1.7,0.04,0.03,0.07,0.04,0.07,Matches,5b14180f
93,Brandt Bronico,us USA,MF,Chicago Fire,22,1995,23,17,1532,17,1,4,1,0,0,4,0,0.06,0.23,0.29,0.06,0.29,1.5,1.5,1.2,2.7,0.09,0.07,0.16,0.09,0.16,Matches,bd4460b1
94,Will Bruin,us USA,FW,Seattle,28,1989,29,19,1797,20,7,5,7,0,0,1,0,0.35,0.25,0.6,0.35,0.6,5.9,5.9,3.2,9.1,0.29,0.16,0.46,0.29,0.46,Matches,87a6ac29
95,Teal Bunbury,us USA,FW,New England,27,1990,32,30,2559,28.4,11,2,10,1,2,5,0,0.39,0.07,0.46,0.35,0.42,10.8,9.3,2.1,11.4,0.38,0.07,0.45,0.33,0.4,Matches,3077fce8
96,Marc Burch,us USA,DF,Minnesota Utd,33,1984,6,5,403,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.08,0.08,0,0.08,Matches,bff42de6
97,Cory Burke,jm JAM,FW,Philadelphia,26,1991,29,15,1433,15.9,10,1,10,0,0,4,1,0.63,0.06,0.69,0.63,0.69,9,9,1.1,10.1,0.57,0.07,0.64,0.57,0.64,Matches,39fde61c
98,Evan Bush,us USA,GK,Montreal Impact,31,1986,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69a57596
99,Gianluca Busio,us USA,MF,Sporting KC,15,2002,7,1,159,1.8,1,1,1,0,0,0,0,0.57,0.57,1.13,0.57,1.13,1.5,1.5,0.3,1.8,0.87,0.18,1.05,0.87,1.05,Matches,4a0b7f07
100,Handwalla Bwana,so SOM,FWMF,Seattle,20,1997,12,6,490,5.4,2,1,2,0,0,0,0,0.37,0.18,0.55,0.37,0.55,1,1,0.5,1.5,0.19,0.09,0.28,0.19,0.28,Matches,b56080ee
101,Brandon Bye,us USA,DF,New England,22,1995,24,16,1474,16.4,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches,9fcd12af
102,Víctor Cabrera,ar ARG,DF,Montreal Impact,24,1993,13,10,922,10.2,0,0,0,0,0,2,1,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches,2332941c
103,Luís Caicedo,co COL,MF,New England,21,1996,30,29,2589,28.8,1,3,1,0,0,11,0,0.03,0.1,0.14,0.03,0.14,1.8,1.8,1.3,3.1,0.06,0.05,0.11,0.06,0.11,Matches,008ddeb9
104,Scott Caldwell,us USA,MF,New England,26,1991,24,20,1516,16.8,2,0,2,0,0,8,1,0.12,0,0.12,0.12,0.12,2.3,2.3,1,3.3,0.14,0.06,0.2,0.14,0.2,Matches,4a54592d
105,Alexander Callens,pe PER,DF,NYCFC,25,1992,31,31,2748,30.5,1,0,1,0,0,6,0,0.03,0,0.03,0.03,0.03,1.7,1.7,0.4,2.1,0.06,0.01,0.07,0.06,0.07,Matches,af34f10d
106,Caleb Calvert,us USA,FW,Colorado Rapids,21,1996,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.65,0.09,0.74,0.65,0.74,Matches,876aa017
107,Eric Calvillo,sv SLV,MF,San Jose,20,1998,3,2,164,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.08,0.09,0.17,0.08,0.17,Matches,f984f68b
108,Francisco Calvo,cr CRC,DF,Minnesota Utd,25,1992,26,26,2338,26,2,2,2,0,0,10,1,0.08,0.08,0.15,0.08,0.15,1.5,1.5,1.5,3,0.06,0.06,0.12,0.06,0.12,Matches,706bd23f
109,Rudy Camacho,fr FRA,DF,Montreal Impact,26,1991,18,18,1565,17.4,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0,0.8,0.04,0,0.05,0.04,0.05,Matches,6ad16d47
110,Jonathan Campbell,us USA,DF,Chicago Fire,24,1993,15,11,1007,11.2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.02,0,0.03,0.02,0.03,Matches,868a8f30
111,Diego Campos,cr CRC,FWDF,Chicago Fire,22,1995,23,13,1199,13.3,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,2,2,1.8,3.8,0.15,0.14,0.29,0.15,0.29,Matches,fcfb671e
112,Reggie Cannon,us USA,DF,FC Dallas,19,1998,33,33,2918,32.4,1,2,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,0.7,0.7,2.3,3,0.02,0.07,0.1,0.02,0.1,Matches,ad9ffc7e
113,Russell Canouse,us USA,MF,D.C. United,22,1995,20,17,1534,17,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,1.1,1.1,0.2,1.2,0.06,0.01,0.07,0.06,0.07,Matches,ec730d9a
114,Andrew Carleton,us USA,FWMF,Atlanta Utd,17,2000,7,2,161,1.8,0,1,0,0,0,0,0,0,0.56,0.56,0,0.56,0.3,0.3,0.5,0.8,0.18,0.26,0.44,0.18,0.44,Matches,53b90314
115,Servando Carrasco,us USA,MF,LA Galaxy,29,1988,19,10,1004,11.2,0,2,0,0,0,3,0,0,0.18,0.18,0,0.18,0.3,0.3,1,1.3,0.03,0.09,0.12,0.03,0.12,Matches,8e5cbc2b
116,Julio Cascante,cr CRC,DF,Portland Timbers,24,1993,21,18,1732,19.2,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,1.2,1.2,0.1,1.3,0.06,0,0.07,0.06,0.07,Matches,cc120b4f
117,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,18,2000,3,1,97,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,f86fe8c1
